Ac1 s2
Ac2 s2
Ac3 s1
Ac4 p6
Ac9 p1
Ac50 d4
Ac51 d3
Ac52 d2
Ac53 d1
Ac54 p6
Ac59 p1
Ac55 p5
Ac56 p4
Ac57 p3
Ac58 p2
Ac60 s2
Ac61 s1
Ac62 d10
Ac63 d9
Ac64 d8
Ac69 d3
Ac65 d7
Ac66 d6
Ac67 d5
Ac68 d4
Ac70 d2
Ac71 d1
Ac72 p6
Ac73 p5
Ac74 p4
Ac79 s1
Ac75 p3
Ac76 p2
Ac77 p1
Ac78 s2
Ac80 p6
Ac81 p5
Ac82 p4
Ac83 p1
Ac84 p2
Ac89 s1
Ac85 p1
Ac86 s2
Ac87 s1
Ac88 s2
Ac5 p5
Ac6 p4
Ac7 p3
Ac8 p2
Ac10 s2
Ac11 s1
Ac12 d10
Ac13 d9
Ac14 d8
Ac19 d3
Ac40 f4
Ac41 f3
Ac42 f2
Ac43 f1
Ac44 d10
Ac49 d5
Ac45 d9
Ac46 d8
Ac47 d7
Ac48 d6
Ac15 d7
Ac16 d6
Ac17 d5
Ac18 d4
Ac20 d2
Ac21 d1
Ac22 f14
Ac23 p5
Ac24 p4
Ac29 s1
Ac25 p3
Ac26 p2
Ac27 p1
Ac28 f14
Ac30 f14
Ac31 f13
Ac32 f12
Ac33 f11
Ac34 f10
Ac39 f5
Ac35 f9
Ac36 f8
Ac37 f7
Ac38 f6
Ag1 s1
Ag2 d10
Ag3 d9
Ag4 d8
Ag9 d3
Ag5 d7
Ag6 d6
Ag7 d5
Ag8 d4
Ag10 d2
Ag11 d1
Ag12 p6
Ag13 p5
Ag14 p4
Ag19 s1
Ag40 p4
Ag41 p1
Ag42 p2
Ag43 p1
Ag44 s2
Ag45 s1
Ag46 s2
Ag47 s1
Ag15 p3
Ag16 p2
Ag17 p1
Ag18 s2
Ag20 d10
Ag21 d9
Ag22 d8
Ag23 d7
Ag24 d6
Ag29 d1
Ag25 d5
Ag26 d4
Ag27 d3
Ag28 d2
Ag30 p6
Ag31 p5
Ag32 p4
Ag33 p3
Ag34 p2
Ag39 p5
Ag35 p1
Ag36 s2
Ag37 s1
Ag38 p6
Al1 p1
Al2 s2
Al3 s1
Al4 p6
Al9 p1
Al5 p5
Al6 p4
Al7 p3
Al8 p2
Al10 s2
Al11 s1
Al12 s2
Al13 s1
Am1 s2
Am2 s1
Am3 f7
Am4 f6
Am9 p4
Am50 d10
Am51 d9
Am52 d8
Am53 d7
Am54 d6
Am59 d1
Am55 d5
Am56 d4
Am57 d3
Am58 d2
Am60 p6
Am61 p5
Am62 p4
Am63 p3
Am64 p2
Am69 d9
Am65 p1
Am66 s2
Am67 s1
Am68 d10
Am70 d8
Am71 d7
Am72 d6
Am73 d5
Am74 d4
Am79 p5
Am75 d3
Am76 d2
Am77 d1
Am78 p6
Am80 p4
Am81 p3
Am82 p2
Am83 p1
Am84 s2
Am89 p1
Am85 s1
Am86 p6
Am87 p5
Am88 p4
Am5 f5
Am6 f4
Am7 p6
Am8 p5
Am10 p3
Am90 p2
Am91 p1
Am92 s2
Am93 s1
Am94 s2
Am95 s1
Am11 p2
Am12 p2
Am13 p2
Am14 p2
Am19 d9
Am40 f10
Am41 f9
Am42 f8
Am43 f7
Am44 f6
Am49 f1
Am45 f5
Am46 f4
Am47 f3
Am48 f2
Am15 p1
Am16 s2
Am17 s1
Am18 d10
Am20 d8
Am21 d7
Am22 d6
Am23 d5
Am24 d4
Am29 p5
Am25 d3
Am26 d2
Am27 d1
Am28 f14
Am30 p4
Am31 p3
Am32 p2
Am33 p1
Am34 f14
Am39 f11
Am35 s1
Am36 f14
Am37 f13
Am38 f12
Ar1 p6
Ar2 p5
Ar3 p4
Ar4 p3
Ar9 p6
Ar5 p2
Ar6 p1
Ar7 s2
Ar8 s1
Ar10 p5
Ar11 p4
Ar12 p3
Ar13 p2
Ar14 p1
Ar15 s2
Ar16 s1
Ar17 s2
Ar18 s1
As1 p3
As2 p2
As3 p1
As4 s2
As9 d7
As5 s1
As6 d10
As7 d9
As8 d8
As10 d6
As11 d5
As12 d4
As13 d3
As14 d2
As19 p3
As15 d1
As16 p6
As17 p5
As18 p4
As20 p2
As21 p1
As22 s2
As23 s1
As24 p6
As29 p1
As25 p5
As26 p4
As27 p3
As28 p2
As30 s2
As31 s1
As32 s2
As33 s1
At1 p5
At2 p4
At3 p3
At4 p2
At9 d9
At50 p6
At51 p5
At52 p4
At53 p3
At54 p2
At59 d9
At55 p1
At56 s2
At57 s1
At58 d10
At60 d8
At61 d7
At62 d6
At63 d5
At64 d4
At69 p5
At65 d3
At66 d2
At67 d1
At68 p6
At70 p4
At71 p3
At72 p2
At73 p1
At74 s2
At79 p1
At75 s1
At76 p6
At77 p5
At78 p4
At80 p2
At81 p1
At82 s2
At83 s1
At84 s2
At85 s1
At5 p1
At6 s2
At7 s1
At8 d10
At10 d8
At11 d7
At12 d6
At13 d5
At14 d4
At19 p5
At40 d10
At41 d9
At42 d8
At43 d7
At44 d6
At49 d1
At45 d5
At46 d4
At47 d3
At48 d2
At15 d3
At16 d2
At17 d1
At18 f14
At20 p4
At21 p3
At22 p2
At23 p1
At24 f14
At29 f11
At25 s1
At26 f14
At27 f13
At28 f12
At30 f10
At31 f9
At32 f8
At33 f7
At34 f6
At39 f1
At35 f5
At36 f4
At37 f3
At38 f2
Au1 s1
Au2 d10
Au3 d9
Au4 d8
Au9 d3
Au50 s2
Au51 s1
Au52 d10
Au53 d9
Au54 d8
Au59 d3
Au55 d7
Au56 d6
Au57 d5
Au58 d4
Au60 d2
Au61 d1
Au62 p6
Au63 p5
Au64 p4
Au69 s1
Au65 p3
Au66 p2
Au67 p1
Au68 s2
Au70 p6
Au71 p5
Au72 p4
Au73 p1
Au74 p2
Au79 s1
Au75 p1
Au76 s2
Au77 s1
Au78 s2
Au5 d7
Au6 d6
Au7 d5
Au8 d4
Au10 d2
Au11 d1
Au12 f14
Au13 p5
Au14 p4
Au19 s2
Au40 d4
Au41 d3
Au42 d2
Au43 d1
Au44 p6
Au49 p1
Au45 p5
Au46 p4
Au47 p3
Au48 p2
Au15 p3
Au16 p2
Au17 p1
Au18 f14
Au20 s2
Au21 s1
Au22 f12
Au23 f11
Au24 f10
Au29 f5
Au25 f9
Au26 f8
Au27 f7
Au28 f6
Au30 f4
Au31 f3
Au32 f2
Au33 f1
Au34 d10
Au39 d5
Au35 d9
Au36 d8
Au37 d7
Au38 d6
B1 p1
B2 s2
B3 s1
B4 s2
B5 s1
Ba1 s2
Ba2 s1
Ba3 p6
Ba4 p5
Ba9 s2
Ba50 p1
Ba51 p2
Ba52 p1
Ba53 s2
Ba54 s1
Ba55 s2
Ba56 s1
Ba5 p4
Ba6 p3
Ba7 p2
Ba8 p1
Ba10 s1
Ba11 d10
Ba12 d9
Ba13 d8
Ba14 d7
Ba19 d2
Ba40 p5
Ba41 p4
Ba42 p3
Ba43 p2
Ba44 p1
Ba49 s1
Ba45 s2
Ba46 s1
Ba47 p6
Ba48 p5
Ba15 d6
Ba16 d5
Ba17 d4
Ba18 d3
Ba20 d1
Ba21 p6
Ba22 p5
Ba23 p4
Ba24 p3
Ba29 d10
Ba25 p2
Ba26 p1
Ba27 s2
Ba28 s1
Ba30 d9
Ba31 d4
Ba32 d7
Ba33 d6
Ba34 d5
Ba39 p6
Ba35 d4
Ba36 d3
Ba37 d2
Ba38 d1
Be1 s2
Be2 s1
Be3 s2
Be4 s1
Bh100 p4
Bh101 p1
Bh102 p2
Bh103 p1
Bh104 s2
Bh105 s1
Bh106 s2
Bh107 s1
Bh1 s2
Bh2 s2
Bh3 s1
Bh4 d4
Bh9 f13
Bh50 f12
Bh51 f11
Bh52 f10
Bh53 f9
Bh54 f8
Bh59 f3
Bh55 f7
Bh56 f6
Bh57 f5
Bh58 f4
Bh60 f2
Bh61 f1
Bh62 d10
Bh63 d9
Bh64 d8
Bh69 d3
Bh65 d7
Bh66 d6
Bh67 d5
Bh68 d4
Bh70 d2
Bh71 d1
Bh72 p6
Bh73 p5
Bh74 p4
Bh79 s1
Bh75 p3
Bh76 p2
Bh77 p1
Bh78 s2
Bh80 d10
Bh81 d9
Bh82 d8
Bh83 d7
Bh84 d6
Bh89 d1
Bh85 d5
Bh86 d4
Bh87 d3
Bh88 d2
Bh5 d3
Bh6 d2
Bh7 d1
Bh8 f14
Bh10 f12
Bh90 p6
Bh91 p5
Bh92 p4
Bh93 p3
Bh94 p2
Bh99 p5
Bh95 p1
Bh96 s2
Bh97 s1
Bh98 p6
Bh11 f11
Bh12 f10
Bh13 f9
Bh14 f8
Bh40 f14
Bh41 p5
Bh42 p4
Bh43 p3
Bh44 p2
Bh49 f13
Bh45 p1
Bh46 f14
Bh47 s1
Bh48 f14
Bh15 f7
Bh16 f6
Bh17 f5
Bh18 f4
Bh30 d10
Bh31 d9
Bh32 d8
Bh33 d7
Bh34 d6
Bh39 d1
Bh35 d5
Bh36 d4
Bh37 d3
Bh38 d2
Bi1 p3
Bi2 p2
Bi3 p1
Bi4 s2
Bi9 d7
Bi50 p4
Bi51 p3
Bi52 p2
Bi53 p1
Bi54 s2
Bi59 d7
Bi55 s1
Bi56 d10
Bi57 d9
Bi58 d8
Bi60 d6
Bi61 d5
Bi62 d4
Bi63 d3
Bi64 d2
Bi69 p3
Bi65 d1
Bi66 p6
Bi67 p5
Bi68 p4
Bi70 p2
Bi71 p1
Bi72 s2
Bi73 s1
Bi74 p6
Bi79 p1
Bi75 p5
Bi76 p4
Bi77 p1
Bi78 p2
Bi80 s2
Bi81 s1
Bi82 s2
Bi83 s1
Bi5 s1
Bi6 d10
Bi7 d9
Bi8 d8
Bi10 d6
Bi11 d5
Bi12 d4
Bi13 d3
Bi14 d2
Bi19 p3
Bi40 d8
Bi41 d7
Bi42 d6
Bi43 d5
Bi44 d4
Bi49 p5
Bi45 d3
Bi46 d2
Bi47 d1
Bi48 p6
Bi15 d1
Bi16 f14
Bi17 p5
Bi18 p4
Bi20 p2
Bi21 p1
Bi22 f14
Bi23 s2
Bi24 s1
Bi29 f9
Bi25 f13
Bi26 f12
Bi27 f11
Bi28 f10
Bi30 f8
Bi31 f7
Bi32 f6
Bi33 f5
Bi34 f4
Bi39 d9
Bi35 f3
Bi36 f2
Bi37 f1
Bi38 d10
Bk1 s2
Bk2 s1
Bk3 f9
Bk4 f8
Bk9 p3
Bk50 f2
Bk51 f1
Bk52 d10
Bk53 d9
Bk54 d8
Bk59 d3
Bk55 d7
Bk56 d6
Bk57 d5
Bk58 d4
Bk60 d2
Bk61 d1
Bk62 p6
Bk63 p5
Bk64 p4
Bk69 s1
Bk65 p3
Bk66 p2
Bk67 p1
Bk68 s2
Bk70 d10
Bk71 d9
Bk72 d8
Bk73 d7
Bk74 d6
Bk79 d1
Bk75 d5
Bk76 d4
Bk77 d3
Bk78 d2
Bk80 p6
Bk81 p5
Bk82 p4
Bk83 p3
Bk84 p2
Bk89 p5
Bk85 p1
Bk86 s2
Bk87 s1
Bk88 p6
Bk5 f7
Bk6 f6
Bk7 f5
Bk8 f4
Bk10 p2
Bk90 p4
Bk91 p1
Bk92 p2
Bk93 p1
Bk94 s2
Bk95 s1
Bk96 s2
Bk97 s1
Bk11 p2
Bk12 p2
Bk13 p2
Bk14 p2
Bk19 s1
Bk40 f12
Bk41 f11
Bk42 f10
Bk43 f9
Bk44 f8
Bk49 f3
Bk45 f7
Bk46 f6
Bk47 f5
Bk48 f4
Bk15 p1
Bk16 f2
Bk17 f1
Bk18 s2
Bk20 d10
Bk21 d9
Bk22 d8
Bk23 d7
Bk24 d6
Bk29 d1
Bk25 d5
Bk26 d4
Bk27 d3
Bk28 d2
Bk30 f14
Bk31 p5
Bk32 p4
Bk33 p3
Bk34 p2
Bk39 f13
Bk35 p1
Bk36 f14
Bk37 s1
Bk38 f14
Br1 p5
Br2 p4
Br3 p3
Br4 p2
Br9 d9
Br5 p1
Br6 s2
Br7 s1
Br8 d10
Br10 d8
Br11 d7
Br12 d6
Br13 d5
Br14 d4
Br19 p5
Br15 d3
Br16 d2
Br17 d1
Br18 p6
Br20 p4
Br21 p3
Br22 p2
Br23 p1
Br24 s2
Br29 p3
Br25 s1
Br26 p6
Br27 p5
Br28 p4
Br30 p2
Br31 p1
Br32 s2
Br33 s1
Br34 s2
Br35 s1
C1 p2
C2 p1
C3 s2
C4 s1
C5 s2
C6 s1
Ca1 s2
Ca2 s1
Ca3 p6
Ca4 p5
Ca9 s2
Ca5 p4
Ca6 p3
Ca7 p2
Ca8 p1
Ca10 s1
Ca11 p6
Ca12 p5
Ca13 p4
Ca14 p3
Ca19 s2
