4d2                    | 3F     |   2 |                   0     |     L9809
                       |        |     |                         |           
4d2                    | 3P     |   0 |               67780     | L12340c24
                       |        |     |                         |           
4d2                    | 3F     |   3 |              141310     | L12340c24
                       |        |     |                         |           
4d2                    | 3P     |   2 |              174130     | L12340c24
                       |        |     |                         |           
4d2                    | 1G     |   4 |              182760?    | L12340c24
                       |        |     |                         |           
4d2                    | 3P     |   1 |              184610     | L12340c24
                       |        |     |                         |           
4d2                    | 3F     |   4 |              308530     | L12340c24
                       |        |     |                         |           
4d2                    | 1D     |   2 |              331480     | L12340c24
                       |        |     |                         |           
