3d4<3/2>.3d3<5/2>                 | (0,9/2)  |  9/2 |                     0     |    L16374
                                  |          |      |                           |           
3d4<3/2>.3d3<5/2>                 | (0,3/2)  |  3/2 |               (103000)+x  |    L16374
                                  |          |      |                           |           
3d4<3/2>.3d3<5/2>                 | (0,5/2)  |  5/2 |                158750     |    L16374
                                  |          |      |                           |           
3d3<3/2>.3d4<5/2>                 | (3/2,4)  |  7/2 |                529660     |    L16374
                                  |          |  9/2 |                584590     |    L16374
                                  |          |      |                           |           
3d3<3/2>.3d4<5/2>                 | (3/2,2)  |  3/2 |               (608000)    |    L16374
                                  |          |      |                           |           
3d3<3/2>.3d4<5/2>                 | (3/2,4)  |  5/2 |                628020+x   |    L16374
                                  |          |      |                           |           
3d3<3/2>.3d4<5/2>                 | (3/2,2)  |  1/2 |                638620+x   |    L16374
                                  |          |      |                           |           
3d3<3/2>.3d4<5/2>                 | (3/2,4)  | 11/2 |                650700     |    L16374
                                  |          |      |                           |           
3d3<3/2>.3d4<5/2>                 | (3/2,2)  |  7/2 |                705920     |    L16374
                                  |          |  5/2 |               (747000)    |    L16374
                                  |          |      |                           |           
3d3<3/2>.3d4<5/2>                 | (3/2,0)  |  3/2 |               (893000)    |    L16374
