3p6.3d7            | 4F     |  9/2 |               0     |      L9171
                   |        |  7/2 |            2132     |           
                   |        |  5/2 |            3618     |           
                   |        |  3/2 |            4613     |           
                   |        |      |                     |            
3p6.3d7            | 4P     |  5/2 |           23455     |           
                   |        |  3/2 |           23641     |           
                   |        |  1/2 |           24875     |           
                   |        |      |                     |            
3p6.3d7            | 2G     |  9/2 |           25266     |           
                   |        |  7/2 |           27286     |           
                   |        |      |                     |            
3p6.3d7            | 2P     |  3/2 |           30381     |           
                   |        |  1/2 |           32157     |           
                   |        |      |                     |            
3p6.3d7            | 2H     | 11/2 |           34066     |           
                   |        |      |                     |            
3p6.3d7            | 2D2    |  5/2 |           34770     |           
                   |        |      |                     |            
3p6.3d7            | 2H     |  9/2 |           35975     |           
                   |        |      |                     |            
3p6.3d7            | 2D2    |  3/2 |           37908     |           
                   |        |      |                     |            
3p6.3d7            | 2F     |  5/2 |           55347     |           
                   |        |  7/2 |           56137     |           
                   |        |      |                     |            
3p6.3d7            | 2D1    |  3/2 |           85958     |           
                   |        |  5/2 |           87036     |           
                   |        |      |                     |            
