3s2.3p5            | 2P*      | 3/2 |                   0     |    L17755
                   |          | 1/2 |             (739247)    |    L17755
                   |          |     |                         |           
                   | 1348533  | 3/2 |            (1348533)    |    L17755
                   |          |     |                         |           
                   | 1370928  | 1/2 |            (1370928)    |    L17755
                   |          |     |                         |           
                   | 1370945  | 5/2 |            (1370945)    |    L17755
                   |          |     |                         |           
                   | 1409696  | 7/2 |            (1409696)    |    L17755
                   |          |     |                         |           
                   | 1513941  | 3/2 |            (1513941)    |    L17755
                   |          |     |                         |           
                   | 1522118  | 1/2 |            (1522118)    |    L17755
                   |          |     |                         |           
                   | 1529547  | 7/2 |            (1529547)    |    L17755
                   |          |     |                         |           
                   | 1548756  | 9/2 |            (1548756)    |    L17755
                   |          |     |                         |           
                   | 1706969  | 5/2 |            (1706969)    |    L17755
                   |          |     |                         |           
                   | 1739978  | 3/2 |            (1739978)    |    L17755
                   |          |     |                         |           
                   | 1761412  | 5/2 |            (1761412)    |    L17755
                   |          |     |                         |           
                   | 1829131  | 1/2 |            (1829131)    |    L17755
                   |          |     |                         |           
                   | 2025913  | 1/2 |            (2025913)    |    L17755
                   |          |     |                         |           
                   | 2086973  | 3/2 |            (2086973)    |    L17755
                   |          |     |                         |           
                   | 2149991  | 5/2 |            (2149991)    |    L17755
                   |          |     |                         |           
                   | 2158934  | 7/2 |            (2158934)    |    L17755
                   |          |     |                         |           
                   | 2240413  | 7/2 |            (2240413)    |    L17755
                   |          |     |                         |           
                   | 2281658  | 3/2 |            (2281658)    |    L17755
                   |          |     |                         |           
                   | 2309587  | 5/2 |            (2309587)    |    L17755
                   |          |     |                         |           
                   | 2318207  | 9/2 |            (2318207)    |    L17755
                   |          |     |                         |           
                   | 2348184  | 5/2 |            (2348184)    |    L17755
                   |          |     |                         |           
                   | 2378797  | 3/2 |            (2378797)    |    L17755
                   |          |     |                         |           
                   | 2380796  | 5/2 |            (2380796)    |    L17755
                   |          |     |                         |           
                   | 2381753  | 1/2 |            (2381753)    |    L17755
                   |          |     |                         |           
                   | 2404811  | 7/2 |            (2404811)    |    L17755
                   |          |     |                         |           
                   | 2549220  | 3/2 |            (2549220)    |    L17755
                   |          |     |                         |           
                   | 2640230  | 1/2 |            (2640230)    |    L17755
                   |          |     |                         |           
                   | 3093486  | 3/2 |            (3093486)    |    L17755
                   |          |     |                         |           
                   | 3111673  | 5/2 |            (3111673)    |    L17755
