2p6.3s2           | 1S      |   0 |               0.00    |     L7147
                  |         |   5 |          378542.15    |          
                  |         |     |                       |           
3s.7f             | 1F*     |   3 |          378548.10    |          
                  |         |     |                       |           
3s.7h             | 3H*     |   6 |          379000.09    |          
                  |         |     |                       |           
3s.7h             | 1H*     |   5 |          379000.09    |          
                  |         |     |                       |           
3s.7h             | 3H*     |   5 |          379000.09    |          
                  |         |   4 |          379000.09    |          
                  |         |     |                       |           
3s.7i             | 1I      |   6 |          379060.00    |          
                  |         |     |                       |           
3s.7i             | 3I      |   7 |          379060.00    |          
                  |         |   6 |          379060.00    |          
                  |         |   5 |          379060.00    |          
                  |         |     |                       |           
3s.8s             | 3S      |   1 |          379968.82    |          
                  |         |     |                       |           
3p.4d             | 1D*     |   2 |          380145.04    |          
                  |         |     |                       |           
3s.8s             | 1S      |   0 |          380315.6     |          
                  |         |     |                       |           
3d2               | 3F      |   2 |          380647.21    |          
                  |         |   3 |          380673.19    |          
                  |         |   4 |          380712.65    |          
                  |         |     |                       |           
3p.4d             | 3F*     |   2 |          381247.18    |          
                  |         |   3 |          381428.02    |          
                  |         |     |                       |           
3p.4d             | 3D*     |   1 |          381614.80    |          
                  |         |     |                       |           
3s.8p             | 3P*     |   1 |          381715.1     |          
                  |         |   2 |          381715.1     |          
                  |         |   0 |          381715.1     |          
                  |         |     |                       |           
3p.4d             | 3F*     |   4 |          381729.38    |          
                  |         |     |                       |           
3p.4d             | 3D*     |   2 |          381809.62    |          
                  |         |   3 |          382012.68    |          
                  |         |     |                       |           
3s.8p             | 1P*     |   1 |          382450.8     |          
                  |         |     |                       |           
3p.4d             | 3P*     |   2 |          385205.91    |          
                  |         |   1 |          385424.96    |          
                  |         |   0 |          385546.60    |          
                  |         |     |                       |           
3s.8d             | 1D      |   2 |          385802.4     |          
                  |         |     |                       |           
3p.4d             | 1F*     |   3 |          385980.04    |          
                  |         |     |                       |           
3s.8d             | 3D      |   1 |          386083.5     |          
                  |         |   2 |          386083.5     |          
                  |         |   3 |          386083.5     |          
                  |         |     |                       |           
3s.8f             | 3F*     |   2 |          387268.1     |          
                  |         |   4 |          387268.1     |          
                  |         |   3 |          387268.1     |          
                  |         |     |                       |           
3s.8h             | 3H*     |   4 |          387423.4     |          
                  |         |   5 |          387423.4     |          
                  |         |     |                       |           
3s.8h             | 1H*     |   5 |          387423.4     |          
                  |         |     |                       |           
3s.8h             | 3H*     |   6 |          387423.4     |          
                  |         |     |                       |           
3s.8i             | 3I      |   5 |          387465.5     |          
                  |         |     |                       |           
3s.8i             | 1I      |   6 |          387465.5     |          
                  |         |     |                       |           
3s.8i             | 3I      |   6 |          387465.5     |          
                  |         |   7 |          387465.5     |          
                  |         |     |                       |           
3s.9s             | 3S      |   1 |          388078.6     |          
                  |         |     |                       |           
3s.8f             | 1F*     |   3 |          388124.17    |          
                  |         |     |                       |           
3s.9s             | 1S      |   0 |          388287.3     |          
                  |         |     |                       |           
3p.4d             | 1P*     |   1 |          388642.07    |          
                  |         |     |                       |           
3d2               | 1D      |   2 |          389296.50    |          
                  |         |     |                       |           
3s.9p             | 3P*     |   0 |          389810.6     |          
                  |         |   1 |          389810.6     |          
                  |         |   2 |          389810.6     |          
                  |         |     |                       |           
3s.9p             | 1P*     |   1 |          389935.0     |          
                  |         |     |                       |           
3s.9d             | 3D      |   3 |          392174.5     |          
                  |         |   2 |          392174.5     |          
                  |         |   1 |          392174.5     |          
                  |         |     |                       |           
3s.9f             | 3F*     |   4 |          393060.8     |          
                  |         |   3 |          393060.8     |          
                  |         |   2 |          393060.8     |          
                  |         |     |                       |           
3s.9i             | 3I      |   5 |          393229.2     |          
                  |         |     |                       |           
3s.9i             | 1I      |   6 |          393229.2     |          
                  |         |     |                       |           
3s.9i             | 3I      |   7 |          393229.2     |          
                  |         |   6 |          393229.2     |          
                  |         |     |                       |           
3s.9k             | 3K*     |   8 |          393239.1     |          
                  |         |     |                       |           
3s.9k             | 1K*     |   7 |          393239.1     |          
                  |         |     |                       |           
3s.9k             | 3K*     |   6 |          393239.1     |          
                  |         |   7 |          393239.1     |          
                  |         |     |                       |           
3s.9f             | 1F*     |   3 |          393444.3     |          
                  |         |     |                       |           
3s.10s            | 3S      |   1 |          393662.8     |          
                  |         |     |                       |           
3s.10s            | 1S      |   0 |          393799.0     |          
                  |         |     |                       |           
