3d4.4s2               | a 1I   |   6 |            32097.2978    |           L18327
                      |        |     |                          |                  
3d5.(2F1).4s          | b 3F   |   2 |            33039.969     |     L18327,L7185
                      |        |   3 |            33060.661     |     L18327,L7185
                      |        |   4 |            33113.212     |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | z 5D*  |   0 |            33338.2563    |     L18327,L7185
                      |        |   1 |            33423.7845    |     L18327,L7185
                      |        |   2 |            33542.0985    |     L18327,L7185
                      |        |   3 |            33671.5273    |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | z 3P*  |   0 |            33762.5326    |     L18327,L7185
                      |        |     |                          |                  
3d5.(2I).4s           | b 1I   |   6 |            33762.6622    |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | z 5D*  |   4 |            33816.0334    |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | z 3P*  |   1 |            33897.2506    |     L18327,L7185
                      |        |     |                          |                  
3d4.4s2               | c 3D   |   1 |            33906.539     |           L18327
                      |        |   3 |            33934.757     |           L18327
                      |        |   2 |            33935.613     |           L18327
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | z 3P*  |   2 |            34190.4320    |     L18327,L7185
                      |        |     |                          |                  
3d6                   | c 5D   |   4 |            35397.9566    |           L18327
                      |        |   3 |            35501.1774    |           L18327
                      |        |   2 |            35572.9194    |           L18327
                      |        |   1 |            35618.4806    |           L18327
                      |        |   0 |            35640.6434    |           L18327
                      |        |     |                          |                  
3d5.(4F).4s           | c 3F   |   2 |            35807.707     |     L18327,L7185
                      |        |   3 |            35813.685     |     L18327,L7185
                      |        |   4 |            35862.764     |     L18327,L7185
                      |        |     |                          |                  
3d5.(2H).4s           | b 3H   |   4 |            35870.458     |     L18327,L7185
                      |        |   5 |            35884.255     |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | z 3F*  |   2 |            35897.7833    |     L18327,L7185
                      |        |     |                          |                  
3d5.(2H).4s           | b 3H   |   6 |            35933.906     |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | z 3F*  |   3 |            36034.1524    |     L18327,L7185
                      |        |   4 |            36212.1339    |     L18327,L7185
                      |        |     |                          |                  
3d5.(2F2).4s          | d 3F   |   3 |            36552.1351    |     L18327,L7185
                      |        |   2 |            36558.446     |     L18327,L7185
                      |        |   4 |            36577.6545    |     L18327,L7185
                      |        |     |                          |                  
3d5.(6S).5s           | e 7S   |   3 |            36895.8060    |           L18327
                      |        |     |                          |                  
3d5.(2G2).4s          | c 3G   |   3 |            37205.851     |     L18327,L7185
                      |        |   5 |            37233.423     |     L18327,L7185
                      |        |   4 |            37244.011     |     L18327,L7185
                      |        |     |                          |                  
3d5.(6S).5s           | e 5S   |   2 |            37883.4010    |           L18327
                      |        |     |                          |                  
3d5.(2H).4s           | a 1H   |   5 |            38537.591     |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(3P*)  | z 3D*  |   1 |            38596.9917    |     L18327,L7185
                      |        |   2 |            38730.6379    |     L18327,L7185
                      |        |   3 |            38911.3046    |     L18327,L7185
                      |        |     |                          |                  
3d5.(2G2).4s          | b 1G   |   4 |            39158.64      |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(1P*)  | y 5F*  |   1 |            40906.418     |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(1P*)  | x 5P*  |   1 |            40930.2744    |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(1P*)  | y 5F*  |   2 |            40971.2599    |     L18327,L7185
                      |        |     |                          |                  
3d4.(5D).4s.4p.(1P*)  | x 5P*  |   2 |            40982.7898    |     L18327,L7185
                      |        |   3 |            41043.3464    |     L18327,L7185
                      |        |     |                          |                  
