2s2.2p3         | 4S*    |  3/2 |                 0     |     L7147
                |        |      |                       |           
2s2.2p3         | 2D*    |  3/2 |             75896     |          
                |        |  5/2 |             76481     |          
                |        |      |                       |           
2s2.2p3         | 2P*    |  1/2 |            116109     |          
                |        |  3/2 |            117149     |          
                |        |      |                       |           
2s.2p4          | 4P     |  5/2 |            345412     |          
                |        |  3/2 |            350429     |          
                |        |  1/2 |            353042     |          
                |        |      |                       |           
2s.2p4          | 2D     |  3/2 |            475299     |          
                |        |  5/2 |            475323     |          
                |        |      |                       |           
2s.2p4          | 2S     |  1/2 |            556480     |          
                |        |      |                       |           
2s.2p4          | 2P     |  3/2 |            583420     |          
                |        |  1/2 |            589684     |          
                |        |      |                       |           
2p5             | 2P*    |  3/2 |            905284     |          
                |        |  1/2 |            913434     |          
                |        |      |                       |           
2s2.2p2.(3P).3s | 4P     |  1/2 |           1743770?    |          
                |        |  3/2 |           1746840     |          
                |        |  5/2 |           1751930     |          
                |        |      |                       |           
2s2.2p2.(3P).3s | 2P     |  1/2 |           1767900     |          
                |        |  3/2 |           1771700     |          
                |        |      |                       |           
2s2.2p2.(1D).3s | 2D     |  3/2 |           1808500     |          
                |        |  5/2 |           1809900     |          
                |        |      |                       |           
2s2.2p2.(3P).3d | 2P     | 3/2? |           1965700     |          
                |        |      |                       |           
2s.2p3.(5S*).3s | 4S*    |  3/2 |           1966000?    |          
                |        |      |                       |           
2s2.2p2.(3P).3d | 2F     |  5/2 |           1973100     |          
                |        |  7/2 |           1979400     |          
                |        |      |                       |           
2s2.2p2.(3P).3d | 4P     |  3/2 |           1980900     |          
                |        |  1/2 |           1980900     |          
                |        |      |                       |           
2s2.2p2.(3P).3d | 2D     |  3/2 |           2002400     |          
                |        |  5/2 |           2004600     |          
                |        |      |                       |           
2s2.2p2.(1D).3d | 2D     |  5/2 |           2034500     |          
                |        |      |                       |           
2s2.2p2.(1D).3d | 2P     |  1/2 |           2041300?    |          
                |        |      |                       |           
2s.2p3.(5S*).3p | 4P     |  5/2 |           2044000     |          
                |        |  3/2 |           2044000     |          
                |        |  1/2 |           2044000     |          
                |        |      |                       |           
2s2.2p2.(1D).3d | 2P     |  3/2 |           2045100?    |          
                |        |      |                       |           
2s.2p3.(5S*).3d | 4D*    |  5/2 |           2161200     |          
                |        |  3/2 |           2161200     |          
                |        |  7/2 |           2161200     |          
                |        |  1/2 |           2161200     |          
                |        |      |                       |           
2s2.2p2.(3P).4s | 4P     |  5/2 |           2354100?    |          
                |        |      |                       |           
2s2.2p2.(3P).4s | 2P     |  3/2 |           2362300     |          
