3d10                | 1S         |   0 |             0      |     L9171
3d9.4f              | 1P*        |   1 |        260584.1    |          
                    |            |     |                    |           
3d9.4f              | 3H*        |   5 |        260613.1    |          
                    |            |   4 |        260623.1    |          
                    |            |     |                    |           
3d8.4s.(4P).4p      | 5P*        |   2 |        260710      |          
                    |            |     |                    |           
3d9.4f              | *          |   3 |        260783      |          
                    |            |     |                    |           
3d9.(2D<5/2>).6s    | (5/2,1/2)  |   3 |        260796.6    |          
                    |            |     |                    |           
3d9.4f              | 3F*        |   2 |        260805.9    |          
                    |            |     |                    |           
3d8.4s.(4P).4p      | 5P*        |   3 |        260879      |          
                    |            |     |                    |           
3d9.4f              | 3G*        |   3 |        260981.9    |          
                    |            |   4 |        260988.4    |          
                    |            |     |                    |           
3d9.(2D<5/2>).6s    | (5/2,1/2)  |   2 |        261007.3    |          
                    |            |     |                    |           
3d8.4s.(4P).4p      | 5P*        |   1 |        261090      |          
                    |            |     |                    |           
