2s                    | 2S     | 1/2 |                   0     |    L10539
                      |        |     |                         |           
2p                    | 2P*    | 1/2 |             (613400)    |    L10539
                      |        | 3/2 |            (1273900)    |    L10539
                      |        |     |                         |           
3s                    | 2S     | 1/2 |           (20897800)    |    L10539
                      |        |     |                         |           
3p                    | 2P*    | 1/2 |           (21068800)    |    L10539
                      |        | 3/2 |           (21268800)    |    L10539
                      |        |     |                         |           
3d                    | 2D     | 3/2 |           (21334200)    |    L10539
                      |        | 5/2 |           (21396300)    |    L10539
                      |        |     |                         |           
4s                    | 2S     | 1/2 |           (28110000)    |    L10539
                      |        |     |                         |           
4p                    | 2P*    | 1/2 |           (28181000)    |    L10539
                      |        | 3/2 |           (28264900)    |    L10539
                      |        |     |                         |           
4d                    | 2D     | 3/2 |           (28292300)    |    L10539
                      |        | 5/2 |           (28318100)    |    L10539
                      |        |     |                         |           
4f                    | 2F*    | 5/2 |           (28320500)    |    L10539
                      |        | 7/2 |           (28333500)    |    L10539
                      |        |     |                         |           
5s                    | 2S     | 1/2 |           (31420900)    |    L10539
                      |        |     |                         |           
5p                    | 2P*    | 1/2 |           (31456400)    |    L10539
                      |        | 3/2 |           (31499200)    |    L10539
                      |        |     |                         |           
5d                    | 2D     | 3/2 |           (31512900)    |    L10539
                      |        | 5/2 |           (31526600)    |    L10539
                      |        |     |                         |           
5f                    | 2F*    | 5/2 |           (31527400)    |    L10539
                      |        | 7/2 |           (31534700)    |    L10539
                      |        |     |                         |           
5g                    | 2G     | 7/2 |           (31534700)    |    L10539
                      |        | 9/2 |           (31538700)    |    L10539
