2s2.2p6                 | 1S          |   0 |                   0     |    L15024
                        |             |     |                         |           
2s2.2p5.3s              | (3/2,1/2)*  |   2 |           (35367900)    |    L10805
                        |             |   1 |           (35413900)    |    L10805
                        |             |     |                         |           
2s2.2p5.3p              | (3/2,1/2)   |   1 |           (36133500)    |    L10805
                        |             |   2 |           (36152800)    |    L10805
                        |             |     |                         |           
2s2.2p5.3p              | (3/2,3/2)   |   3 |           (36904100)    |    L10805
                        |             |   1 |           (36904500)    |    L10805
                        |             |   2 |           (36972600)    |    L10805
                        |             |   0 |           (37272700)    |    L10805
                        |             |     |                         |           
2s2.2p5.3d              | (3/2,3/2)*  |   0 |           (37786600)    |    L10805
                        |             |   1 |           (37835900)    |    L10805
                        |             |   3 |           (37863600)    |    L10805
                        |             |     |                         |           
2s2.2p5.3d              | (3/2,5/2)*  |   2 |           (37898300)    |    L10805
                        |             |   4 |           (38019700)    |    L10805
                        |             |     |                         |           
2s2.2p5.3d              | (3/2,3/2)*  |   2 |           (38054300)    |    L10805
                        |             |     |                         |           
2s2.2p5.3d              | (3/2,5/2)*  |   3 |           (38111200)    |    L10805
                        |             |   1 |           (38245500)    |    L10805
                        |             |     |                         |           
2s2.2p5.3s              | (1/2,1/2)*  |   0 |           (38293900)    |    L10805
                        |             |   1 |           (38351300)    |    L10805
                        |             |     |                         |           
2s2.2p5.3p              | (1/2,1/2)   |   1 |           (39054000)    |    L10805
                        |             |   0 |           (39317900)    |    L10805
                        |             |     |                         |           
2s2.2p5.3p              | (1/2,3/2)   |   1 |           (39833200)    |    L10805
                        |             |   2 |           (39856900)    |    L10805
                        |             |     |                         |           
2s2.2p5.3d              | (1/2,3/2)*  |   2 |           (40781100)    |    L10805
                        |             |     |                         |           
2s.2p6.3s               | (1/2,1/2)   |   1 |           (40862400)    |    L10805
                        |             |     |                         |           
2s2.2p5.3d              | (1/2,3/2)*  |   1 |           (40923500)    |    L10805
                        |             |     |                         |           
2s2.2p5.3d              | (1/2,5/2)*  |   2 |           (40972700)    |    L10805
                        |             |   3 |           (40995300)    |    L10805
                        |             |     |                         |           
2s.2p6.3s               | (1/2,1/2)   |   0 |           (41020400)    |    L10805
                        |             |     |                         |           
2s.2p6.3p               | (1/2,1/2)*  |   0 |           (41629700)    |    L10805
                        |             |   1 |           (41646000)    |    L10805
                        |             |     |                         |           
2s.2p6.3p               | (1/2,3/2)*  |   2 |           (42405500)    |    L10805
                        |             |   1 |           (42439500)    |    L10805
                        |             |     |                         |           
2s.2p6.3d               | (1/2,3/2)   |   1 |           (43325400)    |    L10805
                        |             |   2 |           (43353300)    |    L10805
                        |             |     |                         |           
2s.2p6.3d               | (1/2,5/2)   |   3 |           (43508500)    |    L10805
                        |             |   2 |           (43605200)    |    L10805
                        |             |     |                         |           
2s2.2p5.4s              | (3/2,1/2)*  |   2 |           (48589900)    |    L10805
                        |             |   1 |           (48604600)    |    L10805
                        |             |     |                         |           
2s2.2p5.4p              | (3/2,1/2)   |   1 |           (48902800)    |    L10805
                        |             |   2 |           (48908100)    |    L10805
                        |             |     |                         |           
2s2.2p5.4p              | (3/2,3/2)   |   3 |           (49218600)    |    L10805
                        |             |   1 |           (49220000)    |    L10805
                        |             |   2 |           (49242700)    |    L10805
                        |             |   0 |           (49339200)    |    L10805
                        |             |     |                         |           
2s2.2p5.4d              | (3/2,3/2)*  |   0 |           (49561500)    |    L10805
                        |             |   1 |           (49578900)    |    L10805
                        |             |   3 |           (49586200)    |    L10805
                        |             |   2 |           (49598500)    |    L10805
                        |             |     |                         |           
2s2.2p5.4d              | (3/2,5/2)*  |   4 |           (49658200)    |    L10805
                        |             |   2 |           (49670600)    |    L10805
                        |             |   3 |           (49689600)    |    L10805
                        |             |   1 |           (49747200)    |    L10805
                        |             |     |                         |           
2s2.2p5.4s              | (1/2,1/2)*  |   0 |           (51520500)    |    L10805
                        |             |   1 |           (51526900)    |    L10805
                        |             |     |                         |           
2s2.2p5.4p              | (1/2,1/2)   |   1 |           (51830500)    |    L10805
                        |             |   0 |           (51906500)    |    L10805
                        |             |     |                         |           
2s2.2p5.4p              | (1/2,3/2)   |   1 |           (52153500)    |    L10805
                        |             |   2 |           (52158200)    |    L10805
                        |             |     |                         |           
2s2.2p5.4d              | (1/2,3/2)*  |   2 |           (52513500)    |    L10805
                        |             |   1 |           (52561800)    |    L10805
                        |             |     |                         |           
2s2.2p5.4d              | (1/2,5/2)*  |   2 |           (52598600)    |    L10805
                        |             |   3 |           (52605600)    |    L10805
                        |             |     |                         |           
2s.2p6.4s               | (1/2,1/2)   |   1 |           (54050800)    |    L10805
                        |             |   0 |           (54102400)    |    L10805
                        |             |     |                         |           
2s.2p6.4p               | (1/2,1/2)*  |   0 |           (54367200)    |    L10805
                        |             |   1 |           (54370800)    |    L10805
                        |             |     |                         |           
2s.2p6.4p               | (1/2,3/2)*  |   2 |           (54686200)    |    L10805
                        |             |   1 |           (54697500)    |    L10805
                        |             |     |                         |           
2s.2p6.4d               | (1/2,3/2)   |   1 |           (55042200)    |    L10805
                        |             |   2 |           (55052100)    |    L10805
                        |             |     |                         |           
2s.2p6.4d               | (1/2,5/2)   |   3 |           (55123500)    |    L10805
                        |             |   2 |           (55153200)    |    L10805
