3s2.3p                  | 2P*       | 1/2 |                   0     |    L15024
                        |           | 3/2 |             (723525)    |     L7120
                        |           |     |                         |           
3s.(3p2<1/2>)<0>        | 850303    | 1/2 |             (850303)    |     L7120
                        |           |     |                         |           
3s.(3p<1/2>.3p<3/2>)<2> | 1426531   | 3/2 |            (1426531)    |     L7120
                        |           |     |                         |           
3s.(3p<1/2>.3p<3/2>)<2> | 1521336   | 5/2 |            (1521336)    |     L7120
                        |           |     |                         |           
3s.(3p<1/2>.3p<3/2>)<1> | 1649773   | 3/2 |            (1649773)    |     L7120
                        |           |     |                         |           
3s.(3p<1/2>.3p<3/2>)<1> | 1720098   | 1/2 |            (1720098)    |     L7120
                        |           |     |                         |           
3s2.3d<3/2>             | 2015088   | 3/2 |            (2015088)    |     L7120
                        |           |     |                         |           
3s2.3d<5/2>             | 2079472   | 5/2 |            (2079472)    |     L7120
                        |           |     |                         |           
(3p2<1/2>)<0>.3d<5/2>   | 2298588   | 5/2 |            (2298588)    |     L7120
                        |           |     |                         |           
3s (3p2<3/2>)<0>        | 2448007   | 1/2 |            (2448007)    |     L7120
                        |           |     |                         |           
(3p2<1/2>)<0>.3d<3/2>   | 2490740   | 3/2 |            (2490740)    |     L7120
                        |           |     |                         |           
(3s.3p<1/2>)<0>.3d<3/2> | 2518496*  | 3/2 |            (2518496)    |     L7120
                        |           |     |                         |           
(3p2<1/2>)<0>.3p<3/2>   | 2621894*  | 3/2 |            (2621894)    |     L7120
                        |           |     |                         |           
(3s.3p<1/2>)<1>.3d<3/2> | 2686135*  | 5/2 |            (2686135)    |     L7120
                        |           |     |                         |           
(3s.3p<1/2>)<1>.3d<3/2> | 2834596*  | 1/2 |            (2834596)    |     L7120
                        |           |     |                         |           
(3s.3p<1/2>)<1>.3d<3/2> | 2844883*  | 3/2 |            (2844883)    |     L7120
                        |           |     |                         |           
(3s.3p<1/2>)<0>.3d<5/2> | 2861750*  | 5/2 |            (2861750)    |     L7120
                        |           |     |                         |           
(3s.3p<1/2>)<1>.3d<5/2> | 2915342*  | 7/2 |            (2915342)    |     L7120
                        |           |     |                         |           
(3s.3p<1/2>)<1>.3d<5/2> | 2978855*  | 5/2 |            (2978855)    |     L7120
                        |           |     |                         |           
(3s.3p<1/2>)<1>.3d<5/2> | 2993327*  | 3/2 |            (2993327)    |     L7120
                        |           |     |                         |           
3p<1/2>.(3p2<3/2>)<2>   | 3237786*  | 5/2 |            (3237786)    |     L7120
                        |           |     |                         |           
3p<1/2>.(3p2<3/2>)<2>   | 3288499*  | 3/2 |            (3288499)    |     L7120
                        |           |     |                         |           
(3s.3p<3/2>)<2>.3d<3/2> | 3324411*  | 1/2 |            (3324411)    |     L7120
                        |           |     |                         |           
(3s.3p<3/2>)<2>.3d<3/2> | 3434023*  | 3/2 |            (3434023)    |     L7120
                        |           |     |                         |           
(3s.3p<3/2>)<2>.3d<3/2> | 3439071*  | 5/2 |            (3439071)    |     L7120
                        |           |     |                         |           
3p<1/2>.(3p2<3/2>)<0>   | 3440036*  | 1/2 |            (3440036)    |     L7120
                        |           |     |                         |           
(3s.3p<3/2>)<2>.3d<3/2> | 3456065*  | 7/2 |            (3456065)    |     L7120
                        |           |     |                         |           
(3s.3p<3/2>)<2>.3d<5/2> | 3477312*  | 9/2 |            (3477312)    |     L7120
                        |           |     |                         |           
(3s.3p<3/2>)<1>.3d<3/2> | 3579977*  | 3/2 |            (3579977)    |     L7120
                        |           |     |                         |           
(3s.3p<3/2>)<1>.3d<3/2> | 3616815*  | 5/2 |            (3616815)    |     L7120
                        |           |     |                         |           
(3s.3p<3/2>)<2>.3d<5/2> | 3686947*  | 3/2 |            (3686947)    |     L7120
                        |           |     |                         |           
(3s.3p<3/2>)<2>.3d<5/2> | 3696620*  | 7/2 |            (3696620)    |     L7120
                        |           |     |                         |           
(3s.3p<3/2>)<2>.3d<5/2> | 3724904*  | 5/2 |            (3724904)    |     L7120
                        |           |     |                         |           
(3s.3p<3/2>)<1>.3d<3/2> | 3739809*  | 1/2 |            (3739809)    |     L7120
                        |           |     |                         |           
(3s.3p<3/2>)<1>.3d<5/2> | 3793803*  | 7/2 |            (3793803)    |     L7120
                        |           |     |                         |           
(3s.3p<3/2>)<2>.3d<5/2> | 3858368*  | 1/2 |            (3858368)    |     L7120
                        |           |     |                         |           
(3s.3p<3/2>)<1>.3d<5/2> | 3908308*  | 3/2 |            (3908308)    |     L7120
                        |           |     |                         |           
(3s.3p<3/2>)<1>.3d<5/2> | 3924078*  | 5/2 |            (3924078)    |     L7120
                        |           |     |                         |           
3p<1/2>.(3d2<3/2>)<2>   | 4157203*  | 3/2 |            (4157203)    |     L7120
