3s2.3p5                  | 2P*      | 3/2 |                     0     |    L14671
                         |          |     |                           |           
3s2.3p4.(3P<2>).3d       | (2,3/2)  | 3/2 |               1903300     |    L12366
                         |          | 5/2 |               1952700+x   |    L12366
