                    |        |     |                        |           
2s2.2p5.5f          | 1F     |   3 |           3051918      |    L15349
                    |        |     |                        |           
2s2.2p5.5f          | 1D     |   2 |           3052511      |    L15349
                    |        |     |                        |           
2s2.2p5.5d          | 3D*    |   2 |           3056814      |    L15349
                    |        |     |                        |           
2s2.2p5.5d          | 1P*    |   1 |           3061255      |    L15349
                    |        |     |                        |           
2s2.2p5.5f          | 3G     |   4 |           3069133      |    L15349
                    |        |   3 |           3069158      |    L15349
                    |        |     |                        |           
2s2.2p5.5f          | 3D     |   3 |           3069360      |    L15349
                    |        |     |                        |           
2s2.2p5.6d          | 3D*    |   1 |           3156570      |    L15349
                    |        |     |                        |           
2s2.2p5.6f          | 3G     |   5 |           3159996      |    L15349
                    |        |     |                        |           
2s2.2p5.6f          | 1G     |   4 |           3160032      |    L15349
                    |        |     |                        |           
2s2.2p5.6f          | 1F     |   3 |           3160360      |    L15349
                    |        |     |                        |           
2s2.2p5.6f          | 3F     |   4 |           3160523      |    L15349
                    |        |     |                        |           
2s2.2p5.6d          | 1P*    |   1 |           3173390      |    L15349
                    |        |     |                        |           
2s2.2p5.6f          | 3D     |   3 |           3178421      |    L15349
                    |        |     |                        |           
2s2.2p5.6f          | 3G     |   3 |           3179419      |    L15349
