                      |        |      |                         |             
2s2.2p4.(3P<0>).4f    | 2[3]*  |  7/2 |            517374.54    |            
                      |        |  5/2 |            517377.58    |            
                      |        |      |                         |             
2s2.2p4.(3P).5s       | 2P     |  3/2 |            522720       |            
                      |        |  1/2 |            523527       |            
                      |        |      |                         |             
2s2.2p4.(1S).3d       | 2D     |  5/2 |            529461.64    |            
                      |        |  3/2 |            529497.70    |            
                      |        |      |                         |             
2s2.2p4.(1D).4d       | 2S     |  1/2 |            543640       |            
                      |        |      |                         |             
2s2.2p4.(1D).4d       | 2P     |  3/2 |            544226       |            
                      |        |  1/2 |            544278       |            
                      |        |      |                         |             
2s2.2p4.(1D).4d       | 2D     |  5/2 |            544749       |            
                      |        |  3/2 |            544788       |            
                      |        |      |                         |             
2s2.2p4.(1D).4d       | 2F     |  5/2 |            544915       |            
                      |        |      |                         |             
2s2.2p4.(1D<2>).4f    | 2[1]*  |  3/2 |            546187.1?    |            
                      |        |      |                         |             
2s2.2p4.(1D<2>).4f    | 2[5]*  | 11/2 |            546440.3     |            
                      |        |  9/2 |            546441.0     |            
                      |        |      |                         |             
2s2.2p4.(1D<2>).4f    | 2[2]*  |  3/2 |            546509.3     |            
                      |        |  5/2 |            546510.55?   |            
                      |        |      |                         |             
2s2.2p4.(1D<2>).4f    | 2[3]*  |  7/2 |            546810.1     |            
                      |        |  5/2 |            546811       |            
                      |        |      |                         |             
2s2.2p4.(1D<2>).4f    | 2[4]*  |  7/2 |            546887.36    |            
                      |        |  9/2 |            546888.34    |            
                      |        |      |                         |             
2s2.2p4.(1S).4s       | 2S     |  1/2 |            547910.7     |            
                      |        |      |                         |             
2s2.2p4.(1D).5s       | 2D     |  3/2 |            552404       |            
                      |        |  5/2 |           552416.?      |            
