2s2.2p               | 2P*       | 1/2 |                   0     |    L11297
                     |           |     |                         |           
2s.2p2<1/2>          | (1/2,0)   | 1/2 |            (1395600)    |    L11297
                     |           |     |                         |           
2s2.2p               | 2P*       | 3/2 |            (3390000)    |    L11297
                     |           |     |                         |           
(2s.2p<1/2>).2p<3/2> | (0,3/2)   | 3/2 |            (4357900)    |    L11297
                     |           |     |                         |           
(2s.2p<1/2>).2p<3/2> | (1,3/2)   | 5/2 |            (4628600)    |    L11297
                     |           | 1/2 |            (5056000)    |    L11297
                     |           | 3/2 |            (5058500)    |    L11297
                     |           |     |                         |           
2p2<1/2>.2p<3/2>     | (0,3/2)*  | 3/2 |            (6546200)    |    L11297
                     |           |     |                         |           
2s.2p2<3/2>          | (1/2,2)   | 5/2 |            (7897900)    |    L11297
                     |           |     |                         |           
2s.2p2<3/2>          | (1/2,0)   | 1/2 |            (8525300)    |    L11297
                     |           |     |                         |           
2s.2p2<3/2>          | (1/2,2)   | 3/2 |            (8539300)    |    L11297
                     |           |     |                         |           
2p<1/2>.2p2<3/2>     | (1/2,2)*  | 3/2 |            (9669700)    |    L11297
                     |           | 5/2 |            (9829900)    |    L11297
                     |           |     |                         |           
2p<1/2>.2p2<3/2>     | (1/2,0)*  | 1/2 |           (10155800)    |    L11297
                     |           |     |                         |           
2p3<3/2>             | (0,3/2)*  | 3/2 |           (13327200)    |    L11297
