                 |        |  7/2 |          215033.81    |          
                 |        |      |                       |           
3d4.(3H).4p      | 4I*    |  9/2 |          215155.69    |          
                 |        |      |                       |           
3d4.(3P2).4p     | 4D*    |  7/2 |          215220.67    |          
                 |        |      |                       |           
3d4.(3F2).4p     | 4G*    |  9/2 |          215385.23    |          
                 |        |      |                       |           
3d4.(3H).4p      | 4I*    | 11/2 |          215808.91    |          
                 |        |      |                       |           
3d4.(3P2).4p     | 4P*    |  1/2 |          215860.50    |          
                 |        |      |                       |           
3d4.(3F2).4p     | 4G*    | 11/2 |          216002.72    |          
                 |        |      |                       |           
3d4.(3H).4p      | 2G*    |  7/2 |          216111.69    |          
                 |        |      |                       |           
3d4.(3H).4p      | 4I*    | 13/2 |          216367.80    |          
                 |        |      |                       |           
3d4.(3H).4p      | 2G*    |  9/2 |          216428.44    |          
                 |        |      |                       |           
3d4.(3H).4p      | 4I*    | 15/2 |          216877.83    |          
                 |        |      |                       |           
3d4.(3P2).4p     | 4P*    |  3/2 |          217031.89    |          
                 |        |      |                       |           
3d4.(3F2).4p     | 4F*    |  3/2 |          217466.19    |          
                 |        |      |                       |           
3d4.(3P2).4p     | *      |  1/2 |          217607.71    |          
                 |        |      |                       |           
3d4.(3H).4p      | 4G*    |  5/2 |          217845.29    |          
                 |        |      |                       |           
3d4.(3P2).4p     | 4P*    |  5/2 |          218023.81    |          
                 |        |      |                       |           
3d4.(3H).4p      | 4G*    |  7/2 |          218159.77    |          
                 |        |      |                       |           
3d4.(3F2).4p     | *      |  5/2 |          218195.66    |          
                 |        |      |                       |           
3d4.(3H).4p      | 4G*    |  9/2 |          218238.51    |          
                 |        | 11/2 |          218375.12    |          
                 |        |      |                       |           
3d4.(3F2).4p     | 4F*    |  7/2 |          218478.36    |          
                 |        |  9/2 |          218601.03    |          
                 |        |      |                       |           
3d4.(3P2).4p     | *      |  3/2 |          218613.88    |          
                 |        |      |                       |           
3d4.(3F2).4p     | 2D*    |  5/2 |          218871.21    |          
                 |        |      |                       |           
3d4.(3F2).4p     | *      |  3/2 |          219091.67    |          
                 |        |      |                       |           
3d4.(3P2).4p     | 2P*    |  1/2 |          219333.90    |          
                 |        |      |                       |           
3d4.(3H).4p      | 2I*    | 11/2 |          219564.46    |          
                 |        |      |                       |           
3d4.(3F2).4p     | 4D*    |  5/2 |          219590.84    |          
                 |        |      |                       |           
3d4.(3H).4p      | 2I*    | 13/2 |          219640.76    |          
                 |        |      |                       |           
3d4.(3F2).4p     | 4D*    |  7/2 |          219700.53    |          
                 |        |  3/2 |          219826.61    |          
                 |        |  1/2 |          220059.33    |          
                 |        |      |                       |           
3d4.(3G).4p      | 2F*    |  5/2 |          220197.25    |          
                 |        |      |                       |           
3d4.(3P2).4p     | 2P*    |  3/2 |          220360.44    |          
                 |        |      |                       |           
3d4.(3H).4p      | 2H*    |  9/2 |          220461.33    |          
                 |        |      |                       |           
3d4.(3G).4p      | 2F*    |  7/2 |          220649.22    |          
                 |        |      |                       |           
3d4.(3G).4p      | 4H*    |  7/2 |          220658.04    |          
                 |        |  9/2 |          221104.17    |          
                 |        |      |                       |           
3d4.(3H).4p      | 2H*    | 11/2 |          221161.02    |          
                 |        |      |                       |           
3d4.(3G).4p      | 4F*    |  3/2 |          221219.29    |          
                 |        |  9/2 |          221239.21    |          
                 |        |  5/2 |          221320.54    |          
                 |        |  7/2 |          221346.06    |          
                 |        |      |                       |           
3d4.(3G).4p      | 4H*    | 11/2 |          221647.49    |          
                 |        |      |                       |           
3d4.(3P2).4p     | 2D*    |  3/2 |          222020.09    |          
                 |        |      |                       |           
3d4.(3G).4p      | 4H*    | 13/2 |          222154.99    |          
                 |        |      |                       |           
3d4.(1D1).4s     | 2D     |  5/2 |          222840.58    |          
                 |        |  3/2 |          222851.68    |          
                 |        |      |                       |           
3d4.(3P2).4p     | 2D*    |  5/2 |          222880.23    |          
                 |        |      |                       |           
3d4.(3F2).4p     | 2G*    |  7/2 |          223398.62    |          
                 |        |      |                       |           
3d4.(3F2).4p     | 2F*    |  5/2 |          223478.96    |          
                 |        |      |                       |           
3d4.(3G).4p      | 2H*    | 11/2 |          223550.14    |          
                 |        |      |                       |           
3d4.(3G).4p      | *      |  9/2 |          223629.59    |          
                 |        |      |                       |           
3d4.(3G).4p      | 2H*    |  9/2 |          223745.82    |          
                 |        |      |                       |           
3d4.(3G).4p      | 4G*    |  5/2 |          224045.96    |          
