3s2                 | 1S     |   0 |                   0     |        L16569
                    |        |     |                         |               
3s.3p               | 3P*    |   0 |            (1126000)    | L15086,L16568
                    |        |   1 |             1251400     |        L12366
                    |        |   2 |            (4104000)    | L15086,L16568
                    |        |     |                         |               
3s.3p               | 1P*    |   1 |             4398500     |        L15244
                    |        |     |                         |               
3s.3d               | 3D     |   1 |            (5827000)    | L15086,L16568
                    |        |   2 |             5930400     |        L15244
                    |        |   3 |            (6498000)    | L15086,L16568
                    |        |     |                         |               
3s.3d               | 1D     |   2 |            (6638000)    | L15086,L16568
