4f3.(4I*<9/2>).6s<1/2>        | (9/2,1/2)*   |      4 |              0.00    |       L3974
                              |              |      5 |            441.95    |            
                              |              |        |                      |             
4f3.(4I*<11/2>).6s<1/2>       | (11/2,1/2)*  |      6 |           1649.01    |            
                              |              |      5 |           1743.72    |            
                              |              |        |                      |             
4f3.(4I*<13/2>).6s<1/2>       | (13/2,1/2)*  |      7 |           2998.36    |            
                              |              |      6 |           3403.21    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 5L*          |      6 |           3893.46    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 5K*          |      5 |           4097.60    |            
                              |              |        |                      |             
4f3.(4I*<15/2>).6s<1/2>       | (15/2,1/2)*  |      8 |           4437.15    |            
                              |              |      7 |           5079.35    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 5L*          |      7 |           5108.40    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 5K*          |      6 |           5226.52    |            
                              |              |        |                      |             
4f2.(3H).5d2.(3F)             | 5L           |      6 |           5854.61    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 5K*          |      7 |           6413.93    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 5L*          |      8 |           6417.83    |            
                              |              |        |                      |             
4f2.(3H).5d2.(3F)?            | 5I?          |      4 |           7227.99    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 3I*          |      5 |           7438.23    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 5I*          |      4 |           7446.43    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 5K*          |      8 |           7659.76    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 5H*          |      3 |           7744.27    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 5L*          |      9 |           7805.61    |            
                              |              |        |                      |             
4f2.5d.6s?                    | 5I           |      4 |           7832.43    |            
                              |              |        |                      |             
4f2.(3H).5d.6s.(3D)?          |              |      5 |           7888.50    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 5H*          |      4 |           8099.72    |            
                              |              |        |                      |             
4f2.(3H).5d.6s.(3D)?          | 5K?          |      6 |           8140.67    |            
                              |              |        |                      |             
4f2.5d.6s?                    |              |      5 |           8197.80    |            
                              |              |        |                      |             
4f2.(3H).5d.6s.(3D)?          | 5K?          |      5 |           8379.44    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 3I*          |      6 |           8465.04    |            
                              |              |        |                      |             
4f2.(3H).5d2.(3F)?            | 5I?          |      5 |           8477.84    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 5I*          |      5 |           8489.87    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 5K*          |      9 |           8958.49    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 5G*          |      2 |           8965.63    |            
                              |              |      3 |           9045.00    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | *            |      4 |           9128.67    |            
                              |              |        |                      |             
4f2.5d.6s?                    |              |      6 |           9211.93    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 5L*          |     10 |           9255.14    |            
                              |              |        |                      |             
                              |              |      4 |           9335.75    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 5H*          |      5 |           9378.63    |            
                              |              |        |                      |             
                              |              |      5 |           9515.97    |            
                              |              |        |                      |             
4f2.(3H).5d2.(3F)?            | 5I?          |      6 |           9532.52    |            
                              |              |        |                      |             
4f3.(4I*).5d                  | 5I*          |      6 |           9646.67    |            
                              |              |        |                      |             
                              |              |      6 |           9670.81    |            
                              |              |        |                      |             
