                        |             |     |                         |              
5s2.5p.6p               | 1D          |   2 |            48189.791    | L3149,L14156
                        |             |     |                         |              
5s2.5p.7s               | 3P*         |   0 |            48216.356    |  L3149,L6407
                        |             |   1 |            48222.159    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.5d               | 3P*         |   2 |            48669.409    |  L3149,L6407
                        |             |   1 |            48981.934    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.6p               | 1S          |   0 |            49406.162    | L3149,L14156
                        |             |     |                         |              
5s2.5p.5d               | 3P*         |   0 |            49487.127    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.5d               | 1F*         |   3 |            49893.823    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.5d               | 1P*         |   1 |            50125.971    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.7p               | 3D          |   1 |            50756.212    |        L3149
                        |             |     |                         |              
5s2.5p.6d               | 3D*         |   2 |            51010.937    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.7p               | 3P          |   1 |            51113.059    |        L3149
                        |             |     |                         |              
5s2.5p.6d               | 3F*         |   2 |            51160.520    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.7p               | 3D          |   2 |            51170.993    |        L3149
                        |             |     |                         |              
5s2.5p.7p               | 3P          |   0 |            51375.332    |        L3149
                        |             |     |                         |              
5s2.5p.6d               | 3D*         |   1 |            51474.718    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.6d               | 3F*         |   3 |            51754.671    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.4f               | 3G          |   3 |            52248.822    | L3149,L14156
                        |             |     |                         |              
5s2.5p.4f               | 1G          |   4 |            52254.28     | L3149,L14156
                        |             |     |                         |              
5s2.5p.4f               | 3F          |   3 |            52263.589    | L3149,L14156
                        |             |     |                         |              
5s2.5p.4f               | 1D          |   2 |            52265.373    | L3149,L14156
                        |             |     |                         |              
5s2.5p.7s               | 3P*         |   2 |            52415.877    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.7s               | 1P*         |   1 |            52706.832    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.8s               | 3P*         |   0 |            52919.767    |  L3149,L6407
                        |             |   1 |            53020.952    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.7d               | a 3D*       |   1 |            53592.774    |  L3149,L6407
                        |             |     |                         |              
5s.5p3                  | 3D*         |   2 |            53631.806    |  L3149,L6407
                        |             |   3 |            53826.604    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.8p               | 3D          |   1 |            54070.814    |        L3149
                        |             |     |                         |              
5s2.5p.7d               | 3F*         |   2 |            54211.744    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.8p               | 3P          |   1 |            54225.628    |        L3149
                        |             |     |                         |              
5s2.5p.8p               | 3D          |   2 |            54234.318    |        L3149
                        |             |     |                         |              
5s2.5p.8p               | 3P          |   0 |            54288.152    |        L3149
                        |             |     |                         |              
5s2.5p.7d               | 3F*         |   3 |            54653.830    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.6d               | 1D*         |   2 |            54713.310    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.5f               | 3F          |   3 |            54762.862    |        L3149
                        |             |     |                         |              
5s2.5p.5f               | 1F          |   3 |            54767.731    |        L3149
                        |             |     |                         |              
5s2.5p.5f               | 3F          |   2 |            54770.188    |        L3149
                        |             |   4 |            54771.898    |        L3149
                        |             |     |                         |              
5s2.5p.(2P*<1/2>).5g    | (1/2,7/2)*  |   3 |            54830.196    |  L3149,L3936
                        |             |     |                         |              
5s2.5p.7p               | 1P          |   1 |            54990.431    |        L3149
                        |             |     |                         |              
5s2.5p.7d               | b 3D*       |   1 |            55073.194    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.9s               | 3P*         |   0 |            55131.530    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.7p               | 3D          |   3 |            55140.472    |        L3149
                        |             |     |                         |              
5s2.5p.9s               | 3P*         |   1 |            55156.731    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.7p               | 3P          |   2 |            55187.151    |        L3149
                        |             |     |                         |              
5s2.5p.6d               | 3P*         |   2 |            55296.252    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.7p               | 3S          |   1 |            55373.835    |        L3149
                        |             |     |                         |              
5s2.5p.6d               | 3F*         |   4 |            55444.611    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.7p               | 1D          |   2 |            55500.973    |        L3149
                        |             |     |                         |              
5s2.5p.6d               | 3P*         |   0 |            55621.90     |  L3149,L6407
                        |             |   1 |            55688.377    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.8d               | a 3F*       |   3 |            55741.165    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.9p               | 3D          |   1 |            55751.947    |        L3149
                        |             |     |                         |              
5s2.5p.8d               | 3P*         |   2 |            55805.362    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.8d               | 3F*         |   2 |            55854.623    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.9p               | 3P          |   1 |            55856.737    |        L3149
                        |             |     |                         |              
5s2.5p.9p               | 3D          |   2 |            55888.347    |        L3149
                        |             |     |                         |              
5s2.5p.7p               | 1S          |   0 |            56104.407    |        L3149
                        |             |     |                         |              
5s2.5p.6f               | 1F          |   3 |            56132.848    |        L3149
                        |             |     |                         |              
5s2.5p.6f               | 3F          |   3 |            56134.851    |        L3149
                        |             |   2 |            56135.589    |        L3149
                        |             |   4 |            56136.159    |        L3149
                        |             |     |                         |              
5s2.5p.8d               | 3D*         |   1 |            56242.378    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.6d               | 1F*         |   3 |            56298.005    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.10s              | 3P*         |   0 |            56358.901    |  L3149,L6407
                        |             |   1 |            56390.113    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.4f               | 1F          |   3 |            56395.886    | L3149,L14156
                        |             |     |                         |              
5s2.5p.4f               | 3F          |   4 |            56400.530    | L3149,L14156
                        |             |     |                         |              
5s2.5p.4f               | 3D          |   3 |            56486.365    | L3149,L14156
                        |             |     |                         |              
5s2.5p.4f               | 3F          |   2 |            56488.327    | L3149,L14156
                        |             |     |                         |              
5s2.5p.4f               | 3G          |   5 |            56541.05     | L3149,L14156
                        |             |     |                         |              
5s2.5p.9d               | a 3P*       |   2 |            56546.137    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.4f               | 3G          |   4 |            56549.647    | L3149,L14156
                        |             |     |                         |              
5s2.5p.4f               | 3D          |   1 |            56630.744    | L3149,L14156
                        |             |   2 |            56632.797    | L3149,L14156
                        |             |     |                         |              
5s2.5p.6d               | 1P*         |   1 |            56659.180    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.9d               | 3F*         |   2 |            56780.004    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.9d               | a 3F*       |   3 |            56838.68     |  L3149,L6407
                        |             |     |                         |              
5s2.5p.7f               | 1F          |   3 |            56963.668    |        L3149
                        |             |     |                         |              
5s2.5p.7f               | 3F          |   4 |            56965.911    |        L3149
                        |             |   3 |            56969.725    |        L3149
                        |             |   2 |            56970.512    |        L3149
                        |             |     |                         |              
5s2.5p.9d               | 3D*         |   1 |            57094.33     |  L3936,L6407
                        |             |     |                         |              
5s2.5p.11s              | 3P*         |   0 |            57103.95     |  L3936,L6407
                        |             |     |                         |              
5s2.5p.9d               | b 3P*       |   2 |            57104.73     |  L3149,L6407
                        |             |     |                         |              
5s2.5p.11s              | 3P*         |   1 |            57106.96     |  L3936,L6407
                        |             |     |                         |              
5s2.5p.8s               | 3P*         |   2 |            57150.177    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.6d               | 3D*         |   3 |            57181.71     |  L3149,L6407
                        |             |     |                         |              
5s2.5p.8s               | 1P*         |   1 |            57283.653    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.10d              | 3F*         |   2 |            57374.553    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.8f               | 3F          |   4 |            57498.77     |        L3149
                        |             |   3 |            57499.57     |        L3149
                        |             |   2 |            57500.35     |        L3149
                        |             |     |                         |              
5s2.5p.10d              | a 3F*       |   3 |            57517.82     |  L3149,L6407
                        |             |     |                         |              
5s2.5p.10d              | a 3P*       |   2 |            57533.30     |  L3149,L6407
                        |             |     |                         |              
5s2.5p.10d              | 3D*         |   1 |            57562.44     |  L3936,L6407
                        |             |     |                         |              
5s2.5p.11d              | 3F*         |   2 |            57775.44     |  L3149,L6407
                        |             |   3 |            57847.17     |  L3149,L6407
                        |             |     |                         |              
5s2.5p.11d              | a 3P*       |   2 |            57856.75     |  L3149,L6407
                        |             |     |                         |              
5s2.5p.11d              | 3D*         |   1 |            57898.20     |  L3936,L6407
                        |             |     |                         |              
                        | 57935*      |   1 |            57935.30     |  L3149,L3936
                        |             |     |                         |              
5s2.5p.12d              | 3F*         |   2 |            58057.94     |  L3149,L6407
                        |             |     |                         |              
5s2.5p.12d              | a 3P*       |   2 |            58100.69     |  L3149,L6407
                        |             |     |                         |              
5s2.5p.12d              | a 3F*       |   3 |            58100.89     |  L3149,L6407
                        |             |     |                         |              
5s2.5p.12d              | 3D*         |   1 |            58143.31     |  L3936,L6407
                        |             |     |                         |              
                        | 58324*      |   1 |            58324.00     |  L3149,L3936
                        |             |     |                         |              
5s2.5p.7d               | 1D*         |   2 |            58390.58     |  L3149,L6407
                        |             |     |                         |              
5s2.5p.7d               | 3P*         |   0 |            58465.59     |  L3936,L6407
                        |             |     |                         |              
5s2.5p.7d               | 3F*         |   4 |            58521.907    |  L3149,L6407
                        |             |     |                         |              
5s2.5p.7d               | 3P*         |   1 |            58523.55     |  L3936,L6407
                        |             |     |                         |              
                        | 58594*      |   1 |            58594.44     |  L3149,L3936
                        |             |     |                         |              
5s2.5p.17s              | 3P*         |   1 |            58607.88     |  L3149,L3936
                        |             |     |                         |              
                        | 58679*      |   1 |            58679.11     |  L3149,L3936
                        |             |     |                         |              
5s2.5p.18s              | 3P*         |   1 |            58690.05     |  L3149,L3936
                        |             |     |                         |              
                        | 58748*      |   1 |            58748.85     |  L3149,L3936
                        |             |     |                         |              
5s2.5p.19s              | 3P*         |   1 |            58758.38     |  L3149,L3936
                        |             |     |                         |              
5s2.5p.7d               | 1F*         |   3 |            58862.17?    |  L3936,L6407
                        |             |     |                         |              
                        | 58963*      |  1  |            58963.49     |  L3149,L3936
                        |             |     |                         |              
                        | 58983*      |   1 |            58982.85     |        L3936
                        |             |     |                         |              
5s2.5p.5f               | 3G          |   5 |            59039.80     |        L3149
                        |             |     |                         |              
5s2.5p.5f               | 1D          |   2 |            59091.20     |        L3149
                        |             |     |                         |              
5s2.5p.7d               | 1P*         |   1 |            59157.01     |  L3936,L6407
                        |             |     |                         |              
                        | 59189*      |   3 |            59189.49     |  L3149,L3936
                        |             |     |                         |              
5s2.5p.7d               | 3D*         |   3 |            59230        |  L3936,L6407
