3d4                   | 5D     |   0 |                     0     |      L15024
                      |        |   1 |                (87000)    |       L6342
                      |        |   2 |               (139000)+x  |       L6342
                      |        |   4 |               (157000)    |       L6342
                      |        |   3 |                163860+x   | L9820,L6342
