3s2.3p              | 2P*    | 1/2 |                   0     |        L14671
                    |        |     |                         |               
3s.3p2              | 4P     | 1/2 |             1350600     |        L12366
                    |        |     |                         |               
3s2.3p              | 2P*    | 3/2 |             2933400     |        L12366
                    |        |     |                         |               
3s.3p2              | 4P     | 3/2 |             4035500     |        L15244
                    |        |     |                         |               
3s.3p2              | 2D     | 5/2 |            (4182000)    | L15086,L16568
                    |        | 3/2 |             4355200     |        L15244
                    |        |     |                         |               
3s.3p2              | 2P     | 1/2 |             4436000     |        L15244
                    |        |     |                         |               
3s2.3d              | 2D     | 3/2 |             4817900     |        L15244
                    |        | 5/2 |            (5406000)    | L15086,L16568
                    |        |     |                         |               
3s.3p2              | 4P     | 5/2 |            (7064000)    | L15086,L16568
                    |        |     |                         |               
3s.3p2              | 2S     | 1/2 |            (7365000)    | L15086,L16568
                    |        |     |                         |               
3s.3p2              | 2P     | 3/2 |            (7405000)    | L15086,L16568
