5d6.(3D).6s      | 4D       |  3/2 |              83067.10    |       L19453
                 |          |      |                          |              
5d6.6s           | 83222    | 11/2 |              83222.01    |       L19453
                 |          |      |                          |              
5d6.(3F2).6s     | 2F       |  7/2 |              84752.88    |       L19453
                 |          |      |                          |              
5d6.6s           | 86573    |  3/2 |              86573.46    |       L19453
                 |          |      |                          |              
5d6.(3P2).6s     | 4P       |  1/2 |              87468.7     |       L19453
                 |          |      |                          |              
5d6.(3F2).6s     | 2F       |  5/2 |              87965.80    |       L19453
                 |          |      |                          |              
5d6.(1I).6s      | 2I       | 13/2 |              88233.47    |       L19453
                 |          |      |                          |              
5d6.(3G).6s      | 2G       |  9/2 |              89302.04    |       L19453
                 |          |      |                          |              
5d6.(1F).6s      | 2F       |  7/2 |              90008.92    |       L19453
                 |          |      |                          |              
5d6.(3D).6s      | 2D       |  5/2 |              90324.02    |       L19453
                 |          |      |                          |              
5d6.(1I).6s      | 2I       | 11/2 |              90668.48    |       L19453
                 |          |      |                          |              
5d6.(3G).6s      | 2G       |  7/2 |              91590.90    |       L19453
                 |          |      |                          |              
5d6.(1F).6s      | 2F       |  5/2 |              91821.76    |       L19453
                 |          |      |                          |              
5d6.6s           | 93535    |  3/2 |              93535.72    |       L19453
                 |          |      |                          |              
5d6.(1G2).6s     | 2G       |  9/2 |              94803.68    |       L19453
                 |          |      |                          |              
5d6.(3P2).6s     | 2P       |  1/2 |              95745.42    |       L19453
                 |          |      |                          |              
5d6.(1G2).6s     | 2G       |  7/2 |              96585.01    |       L19453
                 |          |      |                          |              
5d6.6s           | 96904    |  5/2 |              96904.36    |       L19453
                 |          |      |                          |              
5d6.6s           | 96955    |  3/2 |              96955.55    |       L19453
                 |          |      |                          |              
5d6.6s           | 98415    |  3/2 |              98415.4     |       L19453
                 |          |      |                          |              
5d6.(3F1).6s     | 4F       |  9/2 |             101563.88    |       L19453
                 |          |      |                          |              
5d6.6s           | 102958   |  1/2 |             102958.0     |       L19453
                 |          |      |                          |              
5d6.(3F1).6s     | 4F       |  5/2 |             104992.68    |       L19453
                 |          |  7/2 |             105528.04    |       L19453
                 |          |      |                          |              
5d6.6s           | 109491   |  5/2 |             109491.3     |       L19453
                 |          |      |                          |              
5d6.(1G1).6s     | 2G       |  7/2 |             112123.89    |       L19453
                 |          |  9/2 |             112339.02    |       L19453
                 |          |      |                          |              
