                   |        |      |                        |           
4d8.(3F).5p        | 2G*    |  7/2 |             774702     |     L9115
                   |        |      |                        |           
4d8.(3P).5p        | 4P*    |  5/2 |             774923     |     L9115
                   |        |      |                        |           
4d8.(3F).4f        | 4F*    |  5/2 |             775334     |     L9115
                   |        |  3/2 |            (775770)    |     L9115
                   |        |      |                        |           
4d8.(1D).5p        | 2P*    |  1/2 |             776118     |     L9115
                   |        |  3/2 |             776490     |     L9115
                   |        |      |                        |           
4d8.(3F).4f        | 2H*    | 11/2 |            (777155)    |     L9115
                   |        |      |                        |           
4d8.(3P).4f        | 2F*    |  7/2 |             777417     |     L9115
                   |        |      |                        |           
4d8.(3F).4f        | 2H*    |  9/2 |            (779095)    |     L9115
                   |        |      |                        |           
4d8.(3P).4f        | 4D*    |  1/2 |             779866     |     L9115
                   |        |      |                        |           
4d8.(3F).4f        | 2G*    |  7/2 |            (782116)    |     L9115
                   |        |      |                        |           
4d8.(3F).5p        | 4D*    |  1/2 |             782367     |     L9115
                   |        |      |                        |           
4d8.(1D).4f        | 2H*    |  9/2 |            (782774)    |     L9115
                   |        |      |                        |           
4d8.(3F).5p        | 2D*    |  3/2 |             782796     |     L9115
                   |        |      |                        |           
4d8.(3F).5p        | 2F*    |  5/2 |             783465     |     L9115
                   |        |      |                        |           
4d8.(3P).4f        | 2F*    |  5/2 |            (784429)    |     L9115
                   |        |      |                        |           
4d8.(3P).5p        | 4D*    |  7/2 |             784972     |     L9115
                   |        |      |                        |           
4d8.(3F).4f        | 4G*    | 11/2 |            (785263)    |     L9115
                   |        |      |                        |           
4d8.(3P).4f        | 4D*    |  3/2 |             786864     |     L9115
                   |        |      |                        |           
4d8.(1D).4f        | 2G*    |  7/2 |             787724     |     L9115
                   |        |      |                        |           
4d8.(3P).5p        | 2P*    |  3/2 |             788515     |     L9115
                   |        |      |                        |           
4d8.(1G).4f        | 2F*    |  5/2 |             791122     |     L9115
                   |        |      |                        |           
4d8.(3F).4f        | 2P*    |  1/2 |             791569     |     L9115
                   |        |      |                        |           
4d8.(3P).5p        | a 4S*  |  3/2 |             791897     |     L9115
                   |        |      |                        |           
4d8.(1G).5p        | 2F*    |  5/2 |             792204     |     L9115
                   |        |      |                        |           
4d8.(1G).5p        | 2H*    | 11/2 |            (792410)    |     L9115
                   |        |      |                        |           
4d8.(3P).4f        | 4D*    |  7/2 |            (794661)    |     L9115
                   |        |      |                        |           
4d8.(3P).5p        | 4D*    |  5/2 |             795335     |     L9115
                   |        |      |                        |           
4d8.(3P).4f        | 4G*    |  7/2 |             796237     |     L9115
                   |        |      |                        |           
4d8.(3P).4f        | 4D*    |  5/2 |             796403     |     L9115
                   |        |      |                        |           
4d8.(3P).5p        | 2S*    |  1/2 |             796509     |     L9115
                   |        |      |                        |           
4d8.(3P).4f        | 2G*    |  9/2 |            (796681)    |     L9115
                   |        |      |                        |           
4d8.(3P).4f        | 4G*    | 11/2 |            (796792)    |     L9115
                   |        |      |                        |           
4d8.(1D).4f        | 2D*    |  3/2 |             797816     |     L9115
                   |        |      |                        |           
4d8.(3P).4f        | 4G*    |  9/2 |            (797923)    |     L9115
                   |        |      |                        |           
4d8.(3P).5p        | 2D*    |  3/2 |             798775     |     L9115
                   |        |      |                        |           
4d8.(3F).4f        | 4G*    |  9/2 |            (801746)    |     L9115
                   |        |      |                        |           
4d8.(3P).5p        | b 4S*  |  3/2 |             801827     |     L9115
                   |        |      |                        |           
4d8.(1G).5p        | a 2G*  |  7/2 |             801924     |     L9115
                   |        |      |                        |           
4d8.(3F).4f        | 4G*    |  5/2 |             801995     |     L9115
                   |        |      |                        |           
4d8.(1D).5p        | 2F*    |  7/2 |             802609     |     L9115
                   |        |      |                        |           
4d8.(1D).5p        | 2D*    |  5/2 |             804057     |     L9115
                   |        |      |                        |           
4d8.(1D).4f        | 2P*    |  3/2 |             805043     |     L9115
                   |        |      |                        |           
4d8.(1G).4f        | 2I*    | 11/2 |            (805825)    |     L9115
                   |        |      |                        |           
4d8.(1G).5p        | b 2G*  |  7/2 |             805996     |     L9115
                   |        |      |                        |           
4d8.(1G).5p        | 2G*    |  9/2 |            (806863)    |     L9115
                   |        |      |                        |           
4d8.(1G).4f        | 2I*    | 13/2 |            (807003)    |     L9115
                   |        |      |                        |           
4d8.(1G).4f        | 2F*    |  7/2 |             807048     |     L9115
                   |        |      |                        |           
4d8.(3P).5p        | 2P*    |  1/2 |             807088     |     L9115
                   |        |      |                        |           
4d8.(1D).4f        | 2D*    |  5/2 |            (807134)    |     L9115
                   |        |      |                        |           
4d8.(1D).4f        | 2P*    |  1/2 |             810571     |     L9115
                   |        |      |                        |           
4d8.(1G).4f        | 2G*    |  9/2 |            (813505)    |     L9115
                   |        |      |                        |           
4d8.(3P).4f        | 2D*    |  5/2 |            (814977)    |     L9115
                   |        |      |                        |           
4d8.(1G).4f        | 2G*    |  7/2 |            (815231)    |     L9115
                   |        |      |                        |           
4d8.(1G).4f        | 2H*    |  9/2 |            (819165)    |     L9115
                   |        | 11/2 |            (819575)    |     L9115
                   |        |      |                        |           
4d8.(3P).4f        | 2D*    |  3/2 |             820686     |     L9115
                   |        |      |                        |           
4d8.(1S).5p        | 2P*    |  1/2 |             827121     |     L9115
                   |        |      |                        |           
4d8.(1S).4f        | 2F*    |  7/2 |             850226     |     L9115
                   |        |  5/2 |             850390     |     L9115
                   |        |      |                        |           
4d8.(1S).5p        | 2P*    |  3/2 |             851208     |     L9115
                   |        |      |                        |           
4d8.(3F).4f        | 2D*    |  5/2 |             935256     |     L9115
                   |        |      |                        |           
4d8.(3F).4f        | 2F*    |  7/2 |             941680     |     L9115
                   |        |      |                        |           
4d8.(1G).4f        | 2P*    |  3/2 |             943094     |     L9115
                   |        |      |                        |           
4d8.(3F).4f        | 2D*    |  3/2 |             952559     |     L9115
                   |        |      |                        |           
4d8.(3F).4f        | 2F*    |  5/2 |             960757     |     L9115
                   |        |      |                        |           
4p5.4d10           | 2P*    |  1/2 |             986618     |     L9115
