2s2.2p3           | 4S*    | 3/2 |              0      |    L13237
                  |        |     |                     |           
2s2.2p3           | 2D*    | 5/2 |          48343      |          
                  |        | 3/2 |          48379      |          
                  |        |     |                     |           
2s2.2p3           | 2P*    | 1/2 |          73232.7    |          
                  |        | 3/2 |          73267.1    |          
                  |        |     |                     |           
2s.2p4            | 4P     | 5/2 |         215860      |          
                  |        | 3/2 |         216896      |          
                  |        | 1/2 |         217440      |          
                  |        |     |                     |           
2s.2p4            | 2D     | 5/2 |         297893      |          
                  |        | 3/2 |         297929      |          
                  |        |     |                     |           
2s.2p4            | 2S     | 1/2 |         350760      |          
                  |        |     |                     |           
2s.2p4            | 2P     | 3/2 |         372744      |          
                  |        | 1/2 |         373945      |          
                  |        |     |                     |           
2p5               | 2P*    | 3/2 |         568361      |          
                  |        | 1/2 |         569990      |          
                  |        |     |                     |           
2s2.2p2.(3P).3s   | 4P     | 1/2 |         671136      |          
                  |        | 3/2 |         671790      |          
                  |        | 5/2 |         672757      |          
                  |        |     |                     |           
2s2.2p2.(3P).3s   | 2P     | 1/2 |         683250      |          
                  |        | 3/2 |         684450      |          
                  |        |     |                     |           
2s2.2p2.(1D).3s   | 2D     | 5/2 |         710050      |          
                  |        | 3/2 |         710050      |          
                  |        |     |                     |           
2s2.2p2.(1S).3s   | 2S     | 1/2 |         749420      |          
                  |        |     |                     |           
2s2.2p2.(3P).3d   | 2P     | 3/2 |         793120      |          
                  |        | 1/2 |         793630      |          
                  |        |     |                     |           
2s2.2p2.(3P).3d   | 4D     | 3/2 |         797060      |          
                  |        | 5/2 |         797060      |          
                  |        | 1/2 |         797270      |          
                  |        |     |                     |           
2s2.2p2.(3P).3d   | 2F     | 5/2 |         798070      |          
                  |        |     |                     |           
2s2.2p2.(3P).3d   | 4P     | 5/2 |         798170      |          
                  |        | 3/2 |         798620      |          
                  |        | 1/2 |         798860      |          
                  |        |     |                     |           
2s2.2p2.(3P).3d   | 2F     | 7/2 |         799310      |          
                  |        |     |                     |           
2s.2p3.(5S*).3s   | 4S*    | 3/2 |         801950      |          
                  |        |     |                     |           
2s2.2p2.(3P).3d   | 2D     | 3/2 |         809330      |          
                  |        | 5/2 |         809700      |          
                  |        |     |                     |           
2s2.2p2.(1D).3d   | 2F     | 7/2 |         829280      |          
                  |        | 5/2 |         829480      |          
                  |        |     |                     |           
2s2.2p2.(1D).3d   | 2D     | 3/2 |         832860      |          
