5s2.5p3.(2D*).7s        | 3D*    |   2 |             267056.1    |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).6d        | 3D*    |   3 |             267199.4    |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).7s        | 3D*    |   1 |             267211.0    |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).6d        | 3D*    |   2 |             268007.3    |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).6d        | 3P*    |   0 |             268328.0    |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).6d        | 1P*    |   1 |             268521.1    |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).6d        | 3S*    |   1 |             269477.7    |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).6d        | 1D*    |   2 |             270015.6    |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).6d        | 1F*    |   3 |             270688.4    |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).7s        | 3D*    |   3 |             272133.7    |    L12055
                        |        |     |                         |           
5s2.5p3.(2D*).7s        | 1D*    |   2 |             272805.3    |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).6d        | 3F*    |   2 |             278199.8    |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).6d        | 3D*    |   2 |             279262.5    |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).6d        | 3F*    |   3 |             279539.7    |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).6d        | 3D*    |   1 |             280241.9    |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).7s        | 3P*    |   0 |             283542.0    |    L12055
                        |        |   1 |             283908.0    |    L12055
                        |        |     |                         |           
5s2.5p3.(4S*).7d        | 5D*    |   2 |            (287385.0)   |    L12055
                        |        |   0 |            (287389.0)   |    L12055
                        |        |   3 |            (287402.0)   |    L12055
                        |        |   1 |            (287447.0)   |    L12055
                        |        |   4 |            (287576.0)   |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).6d        | 3P*    |   0 |             287626.0    |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).6d        | 3F*    |   4 |            (287804.0)   |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).6d        | 3P*    |   1 |             288142.0    |    L12055
                        |        |   2 |            (288230.0)   |    L12055
                        |        |     |                         |           
5s2.5p3.(4S*).7d        | 3D*    |   2 |             288587.6    |    L12055
                        |        |   3 |             289119.0    |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).6d        | 1F*    |   3 |             289400.1    |    L12055
                        |        |     |                         |           
5s2.5p3.(4S*).8s        | 5S*    |   2 |            (289723.0)   |    L12055
                        |        |     |                         |           
5s2.5p3.(4S*).7d        | 3D*    |   1 |            (289789.0)   |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).6d        | 3D*    |   3 |             290157.0    |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).6d        | 1D*    |   2 |             290521.3    |    L12055
                        |        |     |                         |           
5s2.5p3.(4S*).8s        | 3S*    |   1 |            (290524.0)   |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).6d        | 1P*    |   1 |             292768.2    |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).7s        | 3P*    |   2 |             293926.5    |    L12055
                        |        |     |                         |           
5s2.5p3.(2P*).7s        | 1P*    |   1 |             294402.4    |    L12055
