3s2.3p3              | 4S*      | 3/2 |                   0     |     L7128
                     |          |     |                         |           
3s2.3p3              | 2D*      | 3/2 |             (686789)    |     L7128
                     |          | 5/2 |             (759715)    |     L7128
                     |          |     |                         |           
3s2.3p3              | 2P*      | 1/2 |             (842771)    |     L7128
                     |          |     |                         |           
3s.3p4               | 4P       | 3/2 |            (1296318)    |     L7128
                     |          | 5/2 |            (1490733)    |     L7128
                     |          |     |                         |           
3s2.3p3              | 2P*      | 3/2 |            (1540193)    |     L7128
                     |          |     |                         |           
3s.3p4               | 2D       | 5/2 |            (1650746)    |     L7128
                     |          |     |                         |           
3s.3p4               | 4P       | 1/2 |            (1779984)    |     L7128
                     |          |     |                         |           
3s.3p4               | 2D       | 3/2 |            (1787921)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 1978489  | 5/2 |            (1978489)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 1983323  | 3/2 |            (1983323)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 1986091  | 1/2 |            (1986091)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2050672  | 7/2 |            (2050672)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2152800  | 7/2 |            (2152800)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2153505  | 3/2 |            (2153505)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2195022  | 5/2 |            (2195022)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2224666  | 5/2 |            (2224666)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2233378  | 9/2 |            (2233378)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2258726  | 1/2 |            (2258726)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2258892  | 3/2 |            (2258892)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2369710  | 7/2 |            (2369710)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2384773  | 5/2 |            (2384773)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2385386  | 3/2 |            (2385386)    |     L7128
                     |          |     |                         |           
3s.3p4               | 2S       | 1/2 |            (2403729)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2459955  | 3/2 |            (2459955)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2522674  | 5/2 |            (2522674)    |     L7128
                     |          |     |                         |           
3s.3p4               | 2P       | 3/2 |            (2641758)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2646383  | 1/2 |            (2646383)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2922930  | 7/2 |            (2922930)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2929776  | 5/2 |            (2929776)    |     L7128
                     |          |     |                         |           
3s.3p4               | 2P       | 1/2 |            (2931888)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2937407  | 3/2 |            (2937407)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2955367  | 9/2 |            (2955367)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2962207  | 7/2 |            (2962207)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 2962578  | 1/2 |            (2962578)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 3064508  | 3/2 |            (3064508)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 3127072  | 5/2 |            (3127072)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 3225081  | 3/2 |            (3225081)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 3260198  | 5/2 |            (3260198)    |     L7128
                     |          |     |                         |           
3s2.3p2.3d           | 3466345  | 1/2 |            (3466345)    |     L7128
