1s2.2s              | 2S     |  1/2 |                   0.0    |     L9090
                    |        |      |                          |           
1s2.2p              | 2P*    |  1/2 |              128151.9    |     L9090
                    |        |  3/2 |              129801.2    |     L9090
                    |        |      |                          |           
1s2.3s              | 2S     |  1/2 |            [1099886.0]   |     L9090
                    |        |      |                          |           
1s2.3p              | 2P*    |  1/2 |            [1134839.5]   |     L9090
                    |        |  3/2 |            [1135327.7]   |     L9090
                    |        |      |                          |           
1s2.3d              | 2D     |  3/2 |            [1147347]     |     L9090
                    |        |  5/2 |            [1147494]     |     L9090
                    |        |      |                          |           
1s2.4s              | 2S     |  1/2 |            [1469616]     |     L9090
                    |        |      |                          |           
1s2.4p              | 2P*    |  1/2 |            [1483912]     |     L9090
                    |        |  3/2 |            [1484117]     |     L9090
                    |        |      |                          |           
1s2.4d              | 2D     |  3/2 |            [1489104]     |     L9090
                    |        |  5/2 |            [1489166]     |     L9090
                    |        |      |                          |           
1s2.4f              | 2F*    |  5/2 |            [1489436]     |     L9090
                    |        |  7/2 |            [1489467]     |     L9090
                    |        |      |                          |           
1s2.5s              | 2S     |  1/2 |            [1637460]     |     L9090
                    |        |      |                          |           
1s2.5p              | 2P*    |  1/2 |            [1644664]     |     L9090
                    |        |  3/2 |            [1644768]     |     L9090
                    |        |      |                          |           
1s2.5d              | 2D     |  3/2 |            [1647298]     |     L9090
                    |        |  5/2 |            [1647330]     |     L9090
                    |        |      |                          |           
1s2.5f              | 2F*    |  5/2 |            [1647480.7]   |     L9090
                    |        |  7/2 |            [1647496.7]   |     L9090
                    |        |      |                          |           
1s2.5g              | 2G     |      |            [1647511]     |     L9090
                    |        |      |                          |           
1s2.6s              | 2S     |  1/2 |            [1727579]     |     L9090
                    |        |      |                          |           
1s2.6p              | 2P*    |  1/2 |            [1731708]     |     L9090
                    |        |  3/2 |            [1731768]     |     L9090
                    |        |      |                          |           
1s2.6d              | 2D     |  3/2 |            [1733224]     |     L9090
                    |        |  5/2 |            [1733242]     |     L9090
                    |        |      |                          |           
1s2.6f              | 2F*    |      |            [1733339]     |     L9090
                    |        |      |                          |           
1s2.6g              | 2G     |      |            [1733351.4]   |     L9090
                    |        |      |                          |           
1s2.6h              | 2H*    |      |            [1733357.0]   |     L9090
                    |        |      |                          |           
1s2.7s              | 2S     |  1/2 |            [1781495]     |     L9090
                    |        |      |                          |           
1s2.7p              | 2P*    |  1/2 |            [1784078]     |     L9090
                    |        |  3/2 |            [1784116]     |     L9090
                    |        |      |                          |           
1s2.7d              | 2D     |  3/2 |            [1785029]     |     L9090
                    |        |  5/2 |            [1785041]     |     L9090
                    |        |      |                          |           
1s2.7f              | 2F*    |      |            [1785103]     |     L9090
                    |        |      |                          |           
1s2.7g              | 2G     |      |            [1785111.4]   |     L9090
                    |        |      |                          |           
1s2.7h              | 2H*    |      |            [1785115.0]   |     L9090
                    |        |      |                          |           
1s2.7i              | 2I     |      |            [1785117.1]   |     L9090
                    |        |      |                          |           
1s2.8s              | 2S     |  1/2 |            [1816292]     |     L9090
                    |        |      |                          |           
1s2.8p              | 2P*    |  1/2 |            [1818014.9]   |     L9090
                    |        |  3/2 |            [1818040.8]   |     L9090
                    |        |      |                          |           
1s2.8d              | 2D     |  3/2 |            [1818650]     |     L9090
                    |        |  5/2 |            [1818658]     |     L9090
                    |        |      |                          |           
