3d2.(1D).4s.4p.(3P*)   | x 3F*     |   4 |            27025.659     |    L17885
                       |           |     |                          |           
3d2.(1D).4s.4p.(3P*)   | x 3D*     |   1 |            27355.061     |    L17885
                       |           |   2 |            27418.029     |    L17885
                       |           |   3 |            27480.066     |    L17885
                       |           |     |                          |           
3d3.(2F).4s            | 1F        |   3 |            27498.172     |    L17885
                       |           |     |                          |           
3d2.(3F).4s.4p.(1P*)   | y 3G*     |   3 |            27498.982     |    L17885
                       |           |   4 |            27614.679     |    L17885
                       |           |     |                          |           
3d2.(3P).4s.4p.(3P*)   | z 5P*     |   1 |            27665.401     |    L17885
                       |           |   2 |            27740.238     |    L17885
                       |           |     |                          |           
3d2.(3F).4s.4p.(1P*)   | y 3G*     |   5 |            27750.135     |    L17885
                       |           |     |                          |           
3d2.(3P).4s.4p.(3P*)   | z 5P*     |   3 |            27887.803     |    L17885
                       |           |     |                          |           
3d2.(1D).4s.4p.(1P*)   | y 1D*     |   2 |            27907.013     |    L17885
                       |           |     |                          |           
3d3.(4F).4p            | y 5F*     |   1 |            28596.313     |    L17885
                       |           |   2 |            28638.841     |    L17885
                       |           |   3 |            28702.778     |    L17885
                       |           |     |                          |           
3d4                    | a 5D      |   0 |            28772.736     |    L17885
                       |           |     |                          |           
3d3.(4F).4p            | y 5F*     |   4 |            28788.380     |    L17885
                       |           |     |                          |           
3d4                    | a 5D      |   1 |            28791.519     |    L17885
                       |           |   2 |            28828.429     |    L17885
                       |           |   3 |            28882.368     |    L17885
                       |           |     |                          |           
3d3.(4F).4p            | y 5F*     |   5 |            28896.059     |    L17885
                       |           |     |                          |           
3d4                    | a 5D      |   4 |            28951.972     |    L17885
                       |           |     |                          |           
3d2.(3F).4s.4p.(1P*)   | w 3D*     |   1 |            29661.250     |    L17885
                       |           |   2 |            29768.675     |    L17885
                       |           |     |                          |           
3d3.(4F).4p            | x 5D*     |   0 |            29829.112     |    L17885
                       |           |   1 |            29855.255     |    L17885
                       |           |   2 |            29907.286     |    L17885
                       |           |     |                          |           
3d2.(3F).4s.4p.(1P*)   | w 3D*     |   3 |            29912.286     |    L17885
                       |           |     |                          |           
3d2.(1G).4s.4p.(3P*)   | x 3G*     |   3 |            29914.737     |    L17885
                       |           |   4 |            29971.086     |    L17885
                       |           |     |                          |           
3d3.(4F).4p            | x 5D*     |   3 |            29986.199     |    L17885
                       |           |     |                          |           
3d2.(1G).4s.4p.(3P*)   | x 3G*     |   5 |            30039.170     |    L17885
                       |           |     |                          |           
3d3.(4F).4p            | x 5D*     |   4 |            30060.340     |    L17885
                       |           |     |                          |           
3d2.(3P).4s.4p.(3P*)   | v 3D*     |   1 |            31184.010     |    L17885
                       |           |   2 |            31190.669     |    L17885
                       |           |   3 |            31206.007     |    L17885
                       |           |     |                          |           
3d3.(4F).4p            | w 3G*     |   3 |            31373.807     |    L17885
                       |           |   4 |            31489.476     |    L17885
                       |           |   5 |            31628.688     |    L17885
                       |           |     |                          |           
3d2.(3P).4s.4p.(3P*)   | y 3P*     |   0 |            31685.825     |    L17885
                       |           |   1 |            31725.605     |    L17885
                       |           |   2 |            31805.758     |    L17885
                       |           |     |                          |           
3d2.(1G).4s.4p.(3P*)   | z 3H*     |   4 |            31829.969     |    L17885
                       |           |   5 |            31914.291     |    L17885
                       |           |   6 |            32013.544     |    L17885
                       |           |     |                          |           
3d3.(2D1).4s           | 3D        |   3 |            32514.566     |    L17885
                       |           |   2 |            32539.905     |    L17885
                       |           |   1 |            32557.419     |    L17885
                       |           |     |                          |           
3d2.(1D).4s.4p.(1P*)   | y 1F*     |   3 |            32857.723     |    L17885
                       |           |     |                          |           
3d3.(4P).4p            | x 3P*     |   0 |            33085.151     |    L17885
                       |           |   1 |            33090.497     |    L17885
                       |           |   2 |            33114.420     |    L17885
                       |           |     |                          |           
3d3.(4F).4p            | w 3F*     |   2 |            33655.869     |    L17885
                       |           |     |                          |           
3d2.(1D).4s.4p.(1P*)   | z 1P*     |   1 |            33660.652     |    L17885
                       |           |     |                          |           
3d3.(4F).4p            | w 3F*     |   3 |            33680.248     |    L17885
                       |           |   4 |            33700.884     |    L17885
                       |           |     |                          |           
3d2.(1G).4s.4p.(3P*)   | v 3F*     |   2 |            33980.653     |    L17885
                       |           |   3 |            34078.606     |    L17885
                       |           |   4 |            34204.985     |    L17885
                       |           |     |                          |           
3d4                    | 3P2       |   0 |            34219.338     |    L17885
                       |           |   1 |            34327.836     |    L17885
                       |           |     |                          |           
3d3.4d                 | 1D        |   2 |            34496.77      |    L17885
                       |           |     |                          |           
3d4                    | 3P2       |   2 |            34534.987     |    L17885
                       |           |     |                          |           
3d3.(2G).4p            | z 1H*     |   5 |            34700.215     |    L17885
                       |           |     |                          |           
3d2.(3P).4s.4p.(3P*)   | y 1P*     |   1 |            34947.116     |    L17885
                       |           |     |                          |           
3d2.(3P).4s.4p.(3P*)   | x 1D*     |   2 |            35035.137     |    L17885
                       |           |     |                          |           
3d4                    | 3F2       |   2 |            35123.425     |    L17885
                       |           |   3 |            35174.502     |    L17885
                       |           |   4 |            35242.198     |    L17885
                       |           |     |                          |           
3d4                    | 3H        |   4 |            35345.555     |    L17885
                       |           |   5 |            35400.235     |    L17885
                       |           |     |                          |           
3d2.(3P).4s.4p.(1P*)   | y 3S*     |   1 |            35439.251     |    L17885
                       |           |     |                          |           
3d3.(2G).4p            | y 3H*     |   4 |            35454.052     |    L17885
                       |           |     |                          |           
3d4                    | 3H        |   6 |            35469.497     |    L17885
                       |           |     |                          |           
3d3.(4P).4p            | w 5D*     |   0 |            35503.399     |    L17885
                       |           |   1 |            35527.748     |    L17885
                       |           |     |                          |           
3d3.(2G).4p            | y 3H*     |   5 |            35559.648     |    L17885
                       |           |     |                          |           
3d3.(4P).4p            | w 5D*     |   2 |            35577.086     |    L17885
                       |           |   3 |            35652.900     |    L17885
                       |           |     |                          |           
3d3.(2G).4p            | y 3H*     |   6 |            35685.174     |    L17885
                       |           |     |                          |           
3d3.(4P).4p            | w 5D*     |   4 |            35757.394     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5s         | e 5F      |   1 |            35959.109     |    L17885
                       |           |     |                          |           
3d2.(1G).4s.4p.(1P*)   | y 1G*     |   4 |            36000.148     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5s         | e 5F      |   2 |            36013.597     |    L17885
                       |           |     |                          |           
3d4                    | b 3G      |   3 |            36065.466     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5s         | e 5F      |   3 |            36096.542     |    L17885
                       |           |     |                          |           
3d4                    | b 3G      |   4 |            36132.283     |    L17885
                       |           |   5 |            36200.732     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5s         | e 5F      |   4 |            36208.929     |    L17885
                       |           |     |                          |           
3d3.(4P).4p            | y 5P*     |   1 |            36298.427     |    L17885
                       |           |   2 |            36340.673     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5s         | e 5F      |   5 |            36351.365     |    L17885
                       |           |     |                          |           
3d3.(4P).4p            | y 5P*     |   3 |            36414.531     |    L17885
                       |           |     |                          |           
3d3.(2D2).4p           | w 3P*     |   0 |            37090.413     |    L17885
                       |           |   1 |            37172.989     |    L17885
                       |           |   2 |            37325.410     |    L17885
                       |           |     |                          |           
3d3.(4P).4p            | y 5S*     |   2 |            37359.203     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5s         | e 3F      |   2 |            37538.862     |    L17885
                       |           |     |                          |           
3d3.(2G).4p            | v 3G*     |   3 |            37555.058     |    L17885
                       |           |   4 |            37617.894     |    L17885
                       |           |     |                          |           
3d.4s2.4p              | x 1F*     |   3 |            37622.575     |    L17885
                       |           |     |                          |           
3d3.(2D2).4p           | u 3F*     |   2 |            37654.690     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5s         | e 3F      |   3 |            37659.992     |    L17885
                       |           |     |                          |           
3d3.(2G).4p            | v 3G*     |   5 |            37690.327     |    L17885
                       |           |     |                          |           
3d3.(2D2).4p           | u 3F*     |   3 |            37743.962     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5s         | e 3F      |   4 |            37824.758     |    L17885
                       |           |     |                          |           
3d2.(3P).4s.4p.(1P*)   | u 3D*     |   1 |            37851.802     |    L17885
                       |           |     |                          |           
3d3.(2D2).4p           | u 3F*     |   4 |            37852.437     |    L17885
                       |           |     |                          |           
3d2.(3P).4s.4p.(1P*)   | u 3D*     |   2 |            37976.589     |    L17885
                       |           |   3 |            38159.461     |    L17885
                       |           |     |                          |           
3d3.(2G).4p            | t 3F*     |   2 |            38451.309     |    L17885
                       |           |     |                          |           
3d4                    | 3D        |   2 |            38476.084     |    L17885
                       |           |   3 |            38476.615     |    L17885
                       |           |   1 |            38481.773     |    L17885
                       |           |     |                          |           
3d4                    | 1G2       |   4 |            38527.359     |    L17885
                       |           |     |                          |           
3d3.(2G).4p            | t 3F*     |   3 |            38544.316     |    L17885
                       |           |     |                          |           
3d3.(2H).4p            | z 3I*     |   5 |            38572.699     |    L17885
                       |           |     |                          |           
3d3.(2P).4p            | t 3D*     |   1 |            38654.068     |    L17885
                       |           |     |                          |           
3d3.(2H).4p            | z 3I*     |   6 |            38668.887     |    L17885
                       |           |     |                          |           
3d3.(2G).4p            | t 3F*     |   4 |            38670.723     |    L17885
                       |           |     |                          |           
3d3.(2P).4p            | t 3D*     |   2 |            38699.805     |    L17885
                       |           |   3 |            38764.844     |    L17885
                       |           |     |                          |           
3d3.(2H).4p            | z 3I*     |   7 |            38779.856     |    L17885
                       |           |     |                          |           
3d3.(2G).4p            | x 1G*     |   4 |            38959.507     |    L17885
                       |           |     |                          |           
3d3.(2D2).4p           | x 1P*     |   1 |            39077.753     |    L17885
                       |           |     |                          |           
3d3.(4F).5s            | f 5F      |   1 |            39107.060     |    L17885
                       |           |     |                          |           
3d3.(2H).4p            | x 3H*     |   4 |            39115.957     |    L17885
                       |           |     |                          |           
3d3.(4F).5s            | f 5F      |   2 |            39149.280     |    L17885
                       |           |     |                          |           
3d3.(2H).4p            | x 3H*     |   5 |            39152.103     |    L17885
                       |           |   6 |            39198.323     |    L17885
                       |           |     |                          |           
3d3.(4F).5s            | f 5F      |   3 |            39214.362     |    L17885
                       |           |     |                          |           
3d.4s2.4p              | w 1D*     |   2 |            39265.818     |    L17885
                       |           |     |                          |           
3d3.(4F).5s            | f 5F      |   4 |            39302.506     |    L17885
                       |           |   5 |            39412.846     |    L17885
                       |           |     |                          |           
3d3.(4F).5s            | f 3F      |   2 |            39526.912     |    L17885
                       |           |   3 |            39641.021     |    L17885
                       |           |     |                          |           
3d3.(2D2).4p           | s 3D*     |   1 |            39662.081     |    L17885
                       |           |   2 |            39685.964     |    L17885
                       |           |   3 |            39715.439     |    L17885
                       |           |     |                          |           
3d3.(4F).5s            | f 3F      |   4 |            39785.923     |    L17885
                       |           |     |                          |           
3d3.(2D2).4p           | w 1F*     |   3 |            40302.957     |    L17885
                       |           |     |                          |           
3d3.(2H).4p            | z 1I*     |   6 |            40319.829     |    L17885
                       |           |     |                          |           
3d.4s2.4p              | v 3P*     |   0 |            40369.532     |    L17885
                       |           |   1 |            40384.497     |    L17885
                       |           |   2 |            40466.987     |    L17885
                       |           |     |                          |           
3d3.(4P).4p            | r 3D*     |   1 |            40556.014     |    L17885
                       |           |   2 |            40670.509     |    L17885
                       |           |     |                          |           
3d3.(2P).4p            | x 3S*     |   1 |            40844.05      |    L17885
                       |           |     |                          |           
3d3.(4P).4p            | r 3D*     |   3 |            40844.151     |    L17885
                       |           |     |                          |           
3d3.(2H).4p            | y 1H*     |   5 |            41039.870     |    L17885
                       |           |     |                          |           
3d2.4s.(2F).5s         | e 1F      |   3 |            41087.404     |    L17885
                       |           |     |                          |           
3d3.(2H).4p            | 3G*       |   3 |            41170.006     |    L17885
                       |           |     |                          |           
3d2.4s.(2F).5s         | 3F        |   2 |            41194.378     |    L17885
                       |           |     |                          |           
3d3.(2H).4p            | 3G*       |   4 |            41255.481     |    L17885
                       |           |     |                          |           
3d.4s2.4p              | s 3F*     |   2 |            41337.748     |    L17885
                       |           |     |                          |           
3d3.(2H).4p            | 3G*       |   5 |            41341.543     |    L17885
                       |           |     |                          |           
3d2.4s.(2F).5s         | 3F        |   3 |            41368.996     |    L17885
                       |           |     |                          |           
3d.4s2.4p              | s 3F*     |   3 |            41457.639     |    L17885
                       |           |     |                          |           
3d2.4s.(2F).5s         | 3F        |   4 |            41481.207     |    L17885
                       |           |     |                          |           
3d3.(2G).4p            | v 1F*     |   3 |            41584.908     |    L17885
                       |           |     |                          |           
3d.4s2.4p              | s 3F*     |   4 |            41624.219     |    L17885
                       |           |     |                          |           
3d3.(2D1).4s           | 1D        |   2 |            41671.567     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | 5G*       |   2 |            41689.272     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | e 5G      |   2 |            41714.4115    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | 5G*       |   3 |            41756.880     |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | e 5G      |   3 |            41757.529     |    L17885
                       |           |   4 |            41818.8088    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).4d         | e 5H      |   3 |            41823.2130    |    L17885
                       |           |     |                          |           
3d2.4s.(4F).5p         | 5G*       |   4 |            41847.686     |    L17885
                       |           |     |                          |           
