2p6                      | 1S          |   0 |                   0     |    L10805
                         |             |     |                         |           
2p5.3s                   | (3/2,1/2)*  |   2 |           (36803400)    |    L10805
                         |             |   1 |           (36850500)    |    L10805
                         |             |     |                         |           
2p5.3p                   | (3/2,1/2)   |   1 |           (37589300)    |    L10805
                         |             |   2 |           (37608300)    |    L10805
                         |             |     |                         |           
2p5.3p                   | (3/2,3/2)   |   3 |           (38426200)    |    L10805
                         |             |   1 |           (38426700)    |    L10805
                         |             |   2 |           (38496500)    |    L10805
                         |             |   0 |           (38805100)    |    L10805
                         |             |     |                         |           
2p5.3d                   | (3/2,3/2)*  |   0 |           (39328900)    |    L10805
                         |             |   1 |           (39379900)    |    L10805
                         |             |   3 |           (39406800)    |    L10805
                         |             |     |                         |           
2p5.3d                   | (3/2,5/2)*  |   2 |           (39442900)    |    L10805
                         |             |   4 |           (39579400)    |    L10805
                         |             |     |                         |           
2p5.3d                   | (3/2,3/2)*  |   2 |           (39615100)    |    L10805
                         |             |     |                         |           
2p5.3d                   | (3/2,5/2)*  |   3 |           (39673300)    |    L10805
                         |             |   1 |           (39831600)    |    L10805
                         |             |     |                         |           
2p5.3s                   | (1/2,1/2)*  |   0 |           (39973900)    |    L10805
                         |             |   1 |           (40011300)    |    L10805
                         |             |     |                         |           
2p5.3p                   | (1/2,1/2)   |   1 |           (40753300)    |    L10805
                         |             |   0 |           (41022700)    |    L10805
                         |             |     |                         |           
2p5.3p                   | (1/2,3/2)   |   1 |           (41599400)    |    L10805
                         |             |   2 |           (41624100)    |    L10805
                         |             |     |                         |           
2p5.3d                   | (1/2,3/2)*  |   2 |           (42569000)    |    L10805
                         |             |     |                         |           
2s.2p6.3s                | (1/2,1/2)   |   1 |           (42606500)    |    L10805
                         |             |     |                         |           
2p5.3d                   | (1/2,3/2)*  |   1 |           (42713200)    |    L10805
                         |             |     |                         |           
2s.2p6.3s                | (1/2,1/2)   |   0 |           (42768100)    |    L10805
                         |             |     |                         |           
2p5.3d                   | (1/2,5/2)*  |   2 |           (42778000)    |    L10805
                         |             |   3 |           (42801100)    |    L10805
                         |             |     |                         |           
2s.2p6.3p                | (1/2,1/2)*  |   0 |           (43393100)    |    L10805
                         |             |   1 |           (43410100)    |    L10805
                         |             |     |                         |           
2s.2p6.3p                | (1/2,3/2)*  |   2 |           (44235900)    |    L10805
                         |             |   1 |           (44270600)    |    L10805
                         |             |     |                         |           
2s.2p6.3d                | (1/2,3/2)   |   1 |           (45176500)    |    L10805
                         |             |   2 |           (45205600)    |    L10805
                         |             |     |                         |           
2s.2p6.3d                | (1/2,5/2)   |   3 |           (45376500)    |    L10805
                         |             |   2 |           (45474700)    |    L10805
                         |             |     |                         |           
2p5.4s                   | (3/2,1/2)*  |   2 |           (50604500)    |    L10805
                         |             |   1 |           (50619600)    |    L10805
                         |             |     |                         |           
2p5.4p                   | (3/2,1/2)   |   1 |           (50925100)    |    L10805
                         |             |   2 |           (50930400)    |    L10805
                         |             |     |                         |           
2p5.4p                   | (3/2,3/2)   |   3 |           (51268900)    |    L10805
                         |             |   1 |           (51270300)    |    L10805
                         |             |   2 |           (51293700)    |    L10805
                         |             |   0 |           (51392500)    |    L10805
                         |             |     |                         |           
2p5.4d                   | (3/2,3/2)*  |   0 |           (51619300)    |    L10805
                         |             |   1 |           (51637400)    |    L10805
                         |             |   3 |           (51644400)    |    L10805
                         |             |   2 |           (51657300)    |    L10805
                         |             |     |                         |           
2p5.4d                   | (3/2,5/2)*  |   4 |           (51724100)    |    L10805
                         |             |   2 |           (51736800)    |    L10805
                         |             |   3 |           (51756400)    |    L10805
                         |             |   1 |            51806000     |    L11668
                         |             |     |                         |           
2p5.4s                   | (1/2,1/2)*  |   0 |           (53780100)    |    L10805
                         |             |   1 |           (53786600)    |    L10805
                         |             |     |                         |           
2p5.4p                   | (1/2,1/2)   |   1 |           (54097500)    |    L10805
                         |             |   0 |           (54175600)    |    L10805
                         |             |     |                         |           
2p5.4p                   | (1/2,3/2)   |   1 |           (54448900)    |    L10805
                         |             |   2 |           (54453600)    |    L10805
                         |             |     |                         |           
2p5.4d                   | (1/2,3/2)*  |   2 |           (54816700)    |    L10805
                         |             |   1 |           (54866000)    |    L10805
                         |             |     |                         |           
2p5.4d                   | (1/2,5/2)*  |   2 |           (54909900)    |    L10805
                         |             |   3 |           (54917000)    |    L10805
                         |             |     |                         |           
2s.2p6.4s                | (1/2,1/2)   |   1 |           (56373100)    |    L10805
                         |             |   0 |           (56426100)    |    L10805
                         |             |     |                         |           
2s.2p6.4p                | (1/2,1/2)*  |   0 |           (56697200)    |    L10805
                         |             |   1 |           (56700800)    |    L10805
                         |             |     |                         |           
2s.2p6.4p                | (1/2,3/2)*  |   2 |           (57044300)    |    L10805
                         |             |   1 |           (57055800)    |    L10805
                         |             |     |                         |           
2s.2p6.4d                | (1/2,3/2)   |   1 |           (57408100)    |    L10805
                         |             |   2 |           (57418400)    |    L10805
                         |             |     |                         |           
2s.2p6.4d                | (1/2,5/2)   |   3 |           (57497300)    |    L10805
                         |             |   2 |           (57527500)    |    L10805
