                     |        |   3 |    50295.10       |              0.10  |  79                        :    21  3d6            a 3F |      L11223
                     |        |     |                   |                    |                                                         |
3d6                  | b 1G   |   4 |    57221.20       |              0.12  |  65                        :    35  3d6            a 1G |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4G).4s          | 5G     |   6 |    63425.74       |              0.10  | 100                                                     |      L11223
                     |        |   5 |    63466.85       |              0.09  | 100                                                     |      L11223
                     |        |   4 |    63487.32       |              0.09  | 100                                                     |      L11223
                     |        |   3 |    63494.73       |              0.10  | 100                                                     |      L11223
                     |        |   2 |    63495.00       |              0.12  | 100                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4P).4s          | 5P     |   3 |    66465.04       |              0.09  |  95                                                     |      L11223
                     |        |   2 |    66523.30       |              0.09  |  96                                                     |      L11223
                     |        |   1 |    66592.08       |              0.09  |  98                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4D).4s          | 5D     |   4 |    69696.16       |              0.09  | 100                                                     |      L11223
                     |        |   0 |    69747.95       |              0.09  |  99                                                     |      L11223
                     |        |   1 |    69788.52       |              0.09  |  98                                                     |      L11223
                     |        |   3 |    69837.15       |              0.09  |  96                                                     |      L11223
                     |        |   2 |    69838.15       |              0.09  |  96                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4G).4s          | 3G     |   5 |    70694.40       |              0.09  | 100                                                     |      L11223
                     |        |   3 |    70725.46       |              0.09  | 100                                                     |      L11223
                     |        |   4 |    70729.12       |              0.09  | 100                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4P).4s          | 3P     |   2 |    73728.05       |              0.09  |  95                                                     |      L11223
                     |        |   1 |    73849.35       |              0.09  |  97                                                     |      L11223
                     |        |   0 |    73936.34       |              0.11  |  99                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4D).4s          | 3D     |   3 |    76957.02       |              0.09  |  99                                                     |      L11223
                     |        |   1 |    77075.66       |              0.09  |  97                                                     |      L11223
                     |        |   2 |    77102.66       |              0.09  |  95                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d6                  | b 1D   |   2 |    77044.67       |              0.12  |  78                        :    22  3d6            a 1D |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(2I).4s          | 3I     |   7 |    79840.34       |              0.10  | 100                                                     |      L11223
                     |        |   6 |    79845.04       |              0.10  | 100                                                     |      L11223
                     |        |   5 |    79860.75       |              0.09  |  99                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(6S).4p          | 7P*    |   2 |    82002.12       |              0.14  | 100                                                     |      L11223
                     |        |   3 |    82334.43       |              0.14  |  99                                                     |      L11223
                     |        |   4 |    82846.99       |              0.18  | 100                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2D).4s        | 3D     |   3 |    82383.08       |              0.09  |  58                        :    18  3d5.(c 2D).4s  3D   |      L11223
                     |        |   2 |    82411.15       |              0.09  |  54                        :    17  3d5.(c 2D).4s  3D   |      L11223
                     |        |   1 |    82495.15       |              0.09  |  51                        :    32  3d5.(4F).4s    5F   |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4F).4s          | 5F     |   5 |    83138.66       |              0.09  |  99                                                     |      L11223
                     |        |   4 |    83161.80       |              0.09  |  98                                                     |      L11223
                     |        |   3 |    83238.19       |              0.09  |  91                        :     6  3d5.(a 2F).4s  3F   |      L11223
