4p3                 | 4S*    | 3/2 |                  0     |    L15024
                    |        |     |                        |           
4p3                 | 2D*    | 3/2 |            (123000)    |     L7553
                    |        | 5/2 |            (152000)    |     L7553
                    |        |     |                        |           
4p3                 | 2P*    | 1/2 |            (183000)    |     L7553
                    |        | 3/2 |            (307000)    |     L7553
                    |        |     |                        |           
4p2.5s              | 4P     | 1/2 |           (2182000)    |     L7553
                    |        | 3/2 |           (2303000)    |     L7553
                    |        |     |                        |           
4p2.5s              | 2P     | 1/2 |           (2316000)    |     L7553
                    |        |     |                        |           
4p2.5s              | 4P     | 5/2 |           (2328000)    |     L7553
                    |        |     |                        |           
4p2.5s              | 2P     | 3/2 |           (2337000)    |     L7553
                    |        |     |                        |           
4p2.5s              | 2D     | 5/2 |           (2470000)    |     L7553
                    |        | 3/2 |           (2481000)    |     L7553
                    |        |     |                        |           
4p2.5s              | 2S     | 1/2 |           (2529000)    |     L7553
