3s2.3p               | 2P*    | 1/2 |                   0     |    L10862
                     |        | 3/2 |              73640.+d   |          
                     |        |     |                         |           
3s.3p2               | 2P     | 3/2 |             677430.+d   |          
                     |        |     |                         |           
3s2.3d               | 2D     | 3/2 |             759820.     |          
                     |        | 5/2 |             770160.+d   |          
