4f5.(6H*).6s                  | 7H*    |      2 |              0.00    |       L3974
                              |        |      3 |            446.45    |       L3974
                              |        |      4 |           1133.45    |       L3974
                              |        |        |                      |             
4f5.(6H*).6s                  | 5H*    |      3 |           1602.97    |       L3974
                              |        |        |                      |             
4f5.(6H*).6s                  | 7H*    |      5 |           1983.52    |       L3974
                              |        |        |                      |             
4f5.(6H*).6s                  | 5H*    |      4 |           2666.76    |       L3974
                              |        |        |                      |             
4f5.(6H*).6s                  | 7H*    |      6 |           2950.31    |       L3974
                              |        |        |                      |             
4f5.(6H*).6s                  | 5H*    |      5 |           3812.31    |       L3974
                              |        |        |                      |             
4f5.(6H*).6s                  | 7H*    |      7 |           4000.15    |       L3974
                              |        |        |                      |             
4f5.(6H*).6s                  | 5H*    |      6 |           5017.77    |       L3974
                              |        |        |                      |             
4f5.(6F*).6s                  | 7F*    |      0 |           5280.88    |       L3974
                              |        |        |                      |             
4f5.(6H*).5d                  | 7K*    |      4 |           5332.36    |       L3974
                              |        |        |                      |             
4f5.(6F*).6s                  | 7F*    |      1 |           5391.46    |       L3974
                              |        |      2 |           5632.40    |       L3974
                              |        |      3 |           6048.50    |       L3974
                              |        |        |                      |             
4f5.(6H*).5d                  | 7K*    |      5 |           6131.47    |       L9521
                              |        |        |                      |             
4f5.(6F*).6s                  | 5F*    |      1 |           6629.40    |       L3974
                              |        |        |                      |             
4f5.(6F*).6s                  | 7F*    |      4 |           6705.18    |       L3974
                              |        |        |                      |             
4f5.(6F*).6s                  | 5F*    |      2 |           7012.87    |       L3974
                              |        |        |                      |             
4f5.(6H*).5d                  | 7K*    |      6 |           7040.66    |       L9521
                              |        |        |                      |             
4f5.(6F*).6s                  | 5F*    |      3 |           7701.09    |       L3974
                              |        |        |                      |             
4f5.(6H*).5d                  | 7K*    |      7 |           8041.72    |       L9521
                              |        |      8 |           9119.34    |       L9521
                              |        |        |                      |             
                              |        |      3 |          15543.14    |       L3974
                              |        |        |                      |             
                              |        |      2 |          15968.09    |       L3974
                              |        |        |                      |             
                              |        |      5 |          17561.95    |       L3974
                              |        |        |                      |             
                              |        |      5 |          17609.00    |       L3974
                              |        |        |                      |             
                              |        |      6 |          17610.00    |       L3974
                              |        |        |                      |             
                              |        |      5 |          17612.84    |       L3974
                              |        |        |                      |             
                              |        |      5 |          17712.15    |       L3974
                              |        |        |                      |             
                              |        |      6 |          17834.96    |       L3974
                              |        |        |                      |             
                              |        |      5 |          18419.45    |       L3974
                              |        |        |                      |             
                              |        |      5 |          18635.29    |       L3974
                              |        |        |                      |             
                              |        |      6 |          18687.53    |       L3974
                              |        |        |                      |             
                              |        |      6 |          18736.10    |       L3974
                              |        |        |                      |             
                              |        |      6 |          19114.25    |       L3974
                              |        |        |                      |             
                              |        |      6 |          19750.03    |       L3974
                              |        |        |                      |             
                              |        |      6 |          20134.63    |       L3974
                              |        |        |                      |             
                              |        |      7 |          21139.14    |       L3974
                              |        |        |                      |             
                              |        |      2 |          22377.66    |       L3974
                              |        |        |                      |             
                              |        |      2 |          22774.24    |       L3974
                              |        |        |                      |             
                              |        |      3 |          23261.30    |       L3974
                              |        |        |                      |             
                              |        |      5 |          23302.12    |       L3974
                              |        |        |                      |             
                              |        |      2 |          23499.82    |       L3974
                              |        |        |                      |             
                              |        |      4 |          23541.00    |       L3974
                              |        |        |                      |             
                              |        |      3 |          23761.98    |       L3974
                              |        |        |                      |             
                              |        |      2 |          24023.04    |       L3974
                              |        |        |                      |             
                              |        |      3 |          24024.75    |       L3974
                              |        |        |                      |             
                              |        |      4 |          24157.20    |       L3974
                              |        |        |                      |             
                              |        |      4 |          24311.93    |       L3974
                              |        |        |                      |             
                              |        |      2 |          24404.51    |       L3974
                              |        |        |                      |             
                              |        |      4 |          24464.73    |       L3974
                              |        |        |                      |             
                              |        |      3 |          24466.32    |       L3974
                              |        |        |                      |             
                              |        |      2 |          24505.57    |       L3974
                              |        |        |                      |             
                              |        |      3 |          24527.89    |       L3974
                              |        |        |                      |             
                              |        |      4 |          24762.58    |       L3974
                              |        |        |                      |             
                              |        |      5 |          24771.46    |       L3974
                              |        |        |                      |             
                              |        |      3 |          25006.51    |       L3974
                              |        |        |                      |             
                              |        |      5 |          25015.69    |       L3974
                              |        |        |                      |             
                              |        |      6 |          25094.33    |       L3974
                              |        |        |                      |             
                              |        |      4 |          25099.22    |       L3974
                              |        |        |                      |             
                              |        |      4 |          25213.82    |       L3974
                              |        |        |                      |             
                              |        |      5 |          25258.71    |       L3974
                              |        |        |                      |             
                              |        |      4 |          25264.46    |       L3974
                              |        |        |                      |             
                              |        |      2 |          25323.09    |       L3974
                              |        |        |                      |             
                              |        |      5 |          25365.66    |       L3974
                              |        |        |                      |             
                              |        |      1 |          25447.33    |       L3974
                              |        |        |                      |             
                              |        |      5 |          25598.60    |       L3974
                              |        |        |                      |             
                              |        |      2 |          25726.08    |       L3974
                              |        |        |                      |             
                              |        |      3 |          25737.07    |       L3974
                              |        |        |                      |             
                              |        |      2 |          26017.92    |       L3974
                              |        |        |                      |             
                              |        |      6 |          26027.56    |       L3974
                              |        |        |                      |             
                              |        |      5 |          26038.04    |       L3974
                              |        |        |                      |             
                              |        |      4 |          26067.53    |       L3974
                              |        |        |                      |             
                              |        |      5 |          26132.87    |       L3974
                              |        |        |                      |             
                              |        |      6 |          26169.85    |       L3974
                              |        |        |                      |             
                              |        |      5 |          26309.89    |       L3974
                              |        |        |                      |             
                              |        |      2 |          26320.95    |       L3974
                              |        |        |                      |             
                              |        |      6 |          26392.53    |       L3974
                              |        |        |                      |             
                              |        |      3 |          26460.58    |       L3974
                              |        |        |                      |             
                              |        |      5 |          26574.58    |       L3974
                              |        |        |                      |             
                              |        |      3 |          26771.13    |       L3974
                              |        |        |                      |             
                              |        |      6 |          26834.20    |       L3974
                              |        |        |                      |             
                              |        |      4 |          27005.58    |       L3974
                              |        |        |                      |             
                              |        |      2 |          27094.25    |       L3974
                              |        |        |                      |             
                              |        |      6 |          27097.38    |       L3974
                              |        |        |                      |             
                              |        |      7 |          27110.08    |       L3974
                              |        |        |                      |             
                              |        |      4 |          27115.95    |       L3974
                              |        |        |                      |             
                              |        |      3 |          27126.19    |       L3974
                              |        |        |                      |             
                              |        |      4 |          27230.36    |       L3974
                              |        |        |                      |             
                              |        |      2 |          27256.71    |       L3974
                              |        |        |                      |             
                              |        |      5 |          27356.20    |       L3974
                              |        |        |                      |             
                              |        |      6 |          27379.79    |       L3974
                              |        |        |                      |             
                              |        |      4 |          27399.87    |       L3974
                              |        |        |                      |             
                              |        |      5 |          27438.30    |       L3974
                              |        |        |                      |             
                              |        |      3 |          27526.77    |       L3974
                              |        |        |                      |             
                              |        |      2 |          27587.88    |       L3974
                              |        |        |                      |             
                              |        |      1 |          27616.10    |       L3974
                              |        |        |                      |             
                              |        |      3 |          27622.53    |       L3974
                              |        |        |                      |             
                              |        |      6 |          27645.16    |       L3974
                              |        |        |                      |             
                              |        |      7 |          27678.03    |       L3974
                              |        |        |                      |             
                              |        |      3 |          27765.61    |       L3974
                              |        |        |                      |             
                              |        |      3 |          27848.71    |       L3974
                              |        |        |                      |             
                              |        |      4 |          27894.03    |       L3974
                              |        |        |                      |             
                              |        |      3 |          27991.45    |       L3974
                              |        |        |                      |             
                              |        |      5 |          28061.10    |       L3974
                              |        |        |                      |             
                              |        |      7 |          28066.15    |       L3974
                              |        |        |                      |             
                              |        |      4 |          28133.56    |       L3974
                              |        |        |                      |             
                              |        |      3 |          28166.72    |       L3974
                              |        |        |                      |             
                              |        |      4 |          28227.39    |       L3974
                              |        |        |                      |             
                              |        |      6 |          28271.15    |       L3974
                              |        |        |                      |             
                              |        |      5 |          28296.71    |       L3974
                              |        |        |                      |             
                              |        |      5 |          28324.75    |       L3974
                              |        |        |                      |             
                              |        |      4 |          28401.54    |       L3974
                              |        |        |                      |             
                              |        |      5 |          28444.27    |       L3974
                              |        |        |                      |             
                              |        |      6 |          28487.33    |       L3974
                              |        |        |                      |             
                              |        |      2 |          28499.09    |       L3974
                              |        |        |                      |             
                              |        |      5 |          28507.50    |       L3974
                              |        |        |                      |             
                              |        |      1 |          28507.58    |       L3974
                              |        |        |                      |             
                              |        |      7 |          28516.85    |       L3974
                              |        |        |                      |             
                              |        |      5 |          28642.00    |       L3974
                              |        |        |                      |             
                              |        |      4 |          28765.64    |       L3974
                              |        |        |                      |             
                              |        |      1 |          28819.06    |       L3974
                              |        |        |                      |             
                              |        |      4 |          28930.06    |       L3974
                              |        |        |                      |             
                              |        |      5 |          29057.65    |       L3974
                              |        |        |                      |             
                              |        |      5 |          29368.84    |       L3974
                              |        |        |                      |             
                              |        |      4 |          29400.84    |       L3974
                              |        |        |                      |             
                              |        |      4 |          29468.44    |       L3974
                              |        |        |                      |             
                              |        |      6 |          29586.34    |       L3974
                              |        |        |                      |             
                              |        |      6 |          29662.69    |       L3974
                              |        |        |                      |             
                              |        |      5 |          29693.40    |       L3974
                              |        |        |                      |             
                              |        |      1 |          29802.52    |       L3974
                              |        |        |                      |             
                              |        |      5 |          29863.62    |       L3974
                              |        |        |                      |             
                              |        | 5 or 6 |          29967.46    |       L3974
                              |        |        |                      |             
                              |        |      6 |          29987.92    |       L3974
                              |        |        |                      |             
                              |        |      6 |          30089.49    |       L3974
                              |        |        |                      |             
                              |        |      2 |          30142.21    |       L3974
                              |        |        |                      |             
                              |        |      1 |          30172.01    |       L3974
                              |        |        |                      |             
                              |        |      2 |          30216.86    |       L3974
                              |        |        |                      |             
                              |        |      1 |          30402.81    |       L3974
                              |        |        |                      |             
                              |        |      3 |          30477.48    |       L3974
                              |        |        |                      |             
                              |        |      5 |          30532.47    |       L3974
                              |        |        |                      |             
                              |        |      5 |          30547.86    |       L3974
                              |        |        |                      |             
                              |        |      1 |          30612.37    |       L3974
                              |        |        |                      |             
                              |        |      6 |          30688.69    |       L3974
                              |        |        |                      |             
                              |        |      3 |          30736.73    |       L3974
                              |        |        |                      |             
                              |        |      7 |          30814.52    |       L3974
                              |        |        |                      |             
                              |        |      2 |          30996.26    |       L3974
                              |        |        |                      |             
                              |        |      3 |          31085.12    |       L3974
                              |        |        |                      |             
                              |        |      5 |          31251.94    |       L3974
                              |        |        |                      |             
                              |        |     6? |          31367.37    |       L3974
                              |        |        |                      |             
                              |        |      3 |          31474.36    |       L3974
                              |        |        |                      |             
                              |        |      4 |          31558.10    |       L3974
                              |        |        |                      |             
                              |        |      2 |          31632.30    |       L3974
                              |        |        |                      |             
                              |        |      3 |          31778.84    |       L3974
                              |        |        |                      |             
                              |        |      4 |          31805.86    |       L3974
                              |        |        |                      |             
                              |        |      7 |          31851.14    |       L3974
                              |        |        |                      |             
                              |        |      2 |          32321.10    |       L3974
                              |        |        |                      |             
                              |        |      2 |          32420.83    |       L3974
                              |        |        |                      |             
                              |        |      5 |          32551.40    |       L3974
                              |        |        |                      |             
                              |        |      2 |          32700.82    |       L3974
                              |        |        |                      |             
                              |        |      3 |          32755.89    |       L3974
                              |        |        |                      |             
                              |        |      2 |          32847.03    |       L3974
                              |        |        |                      |             
                              |        |      2 |          32947.27    |       L3974
                              |        |        |                      |             
                              |        |      1 |          32973.73    |       L3974
                              |        |        |                      |             
                              |        |      6 |          32974.29    |       L3974
                              |        |        |                      |             
                              |        |      1 |          33067.34    |       L3974
                              |        |        |                      |             
                              |        |      3 |          33079.50    |       L3974
                              |        |        |                      |             
                              |        |      2 |          33111.77    |       L3974
                              |        |        |                      |             
                              |        |      1 |          33272.56    |       L3974
                              |        |        |                      |             
                              |        |      2 |          33380.55    |       L3974
                              |        |        |                      |             
                              |        |      1 |          33551.90    |       L3974
                              |        |        |                      |             
                              |        |      1 |          33641.58    |       L3974
