5d2.6s.(b 2D).6p       | z 1D*  |    2 |          31610.80    |         L3466
                       |        |      |                      |               
                       | 316    |    2 |          31619.97    |         L3466
                       |        |      |                      |               
5d2.6s.(a 4P).6p       | y 5D*  |    4 |          31943.31    |         L3466
                       |        |      |                      |               
                       | 319*   |    2 |          31943.84    |         L3466
                       |        |      |                      |               
5d2.6s.(a 4P).6p       | z 5P*  |    1 |          31952.25    |         L3466
                       |        |      |                      |               
                       | 320    |    1 |          32091.59    |         L3466
                       |        |      |                      |               
5d2.(3F).6s.(2F).6p    | 3G*    |    3 |          32533.30    |        L16323
                       |        |      |                      |               
5d2.6s.(a 4P).6p       | z 5P*  |    2 |          33121.48    |         L3466
                       |        |      |                      |               
                       | 331*   |    1 |          33137.87    |         L3466
                       |        |      |                      |               
5d2.6s.(a 4P).6p       | z 5P*  |    3 |          33139.12    |         L3466
                       |        |      |                      |               
                       | 335*   |    2 |          33538.15    |         L3466
                       |        |      |                      |               
                       | 339*   |    3 |          33949.28    |         L3466
                       |        |    4 |          33994.71    |         L3466
                       |        |      |                      |               
5d2.(1G).6s.(2G).6p    | 3F*    |    2 |          33994.86    |        L16323
                       |        |      |                      |               
                       | 345*   |    1 |          34596.45    |         L3466
                       |        |      |                      |               
                       | 348*   |    4 |          34805.89    |         L3466
                       |        |      |                      |               
5d2.(3F).6s.(2F).6p    | 1F*    |    3 |          34877.04    |        L16323
                       |        |      |                      |               
                       | 349*   |    2 |          34947.95    |         L3466
                       |        |      |                      |               
                       | 349    |    1 |          34991.64    |         L3466
                       |        |      |                      |               
                       | 351    |    2 |          35115.28    |         L3466
                       |        |      |                      |               
                       | 352*   |    1 |          35284.33    |         L3466
                       |        |      |                      |               
                       | 354*   |    3 |          35453.83    |         L3466
                       |        |      |                      |               
                       | 359*   |    5 |          35993.70    |         L3466
                       |        |      |                      |               
                       | 360*   |    4 |          36075.02    |         L3466
                       |        |      |                      |               
                       | 362*   |    3 |          36237.34    |         L3466
                       |        |      |                      |               
                       | 364*   |    5 |          36419.26    |         L3466
                       |        |      |                      |               
                       | 365    |    3 |          36523.84    |         L3466
                       |        |      |                      |               
                       | 366*   |    3 |          36609.85    |         L3466
                       |        |      |                      |               
                       | 367*   |    2 |          36772.85    |         L3466
                       |        |      |                      |               
5d2.(1G).6s.(2G).6p    | 3G*    |    4 |          36850.04    |        L16323
                       |        |      |                      |               
                       | 369*   |    1 |          36949.29    |         L3466
                       |        |      |                      |               
                       | 370    |    2 |          37038.83    |         L3466
                       |        |      |                      |               
                       | 372*   |    4 |          37269.82    |         L3466
                       |        |      |                      |               
                       | 373    |    1 |          37336.20    |         L3466
                       |        |      |                      |               
                       | 381*   |    1 |          38151.71    |         L3466
                       |        |      |                      |               
                       | 382    |    2 |          38289.38    |         L3466
                       |        |      |                      |               
                       | 383*   |    2 |          38325.47    |         L3466
                       |        |      |                      |               
                       | 384*   |    3 |          38407.80    |         L3466
                       |        |      |                      |               
5d2.(1G).6s.(2G).6p    | 3G*    |    5 |          38845.45    |        L16323
                       |        |      |                      |               
5d2.(3F).6s.(2F).6p    | 1G*    |    4 |          38987.85    |        L16323
                       |        |      |                      |               
                       | 390*   |    3 |          39081.86    |         L3466
                       |        |      |                      |               
                       | 391    |    3 |          39127.61    |         L3466
                       |        |      |                      |               
                       | 391*   |    3 |          39193.91    |         L3466
                       |        |      |                      |               
                       | 392    |    1 |          39286.19    |         L3466
                       |        |      |                      |               
                       | 394*   |    2 |          39435.20    |         L3466
                       |        |      |                      |               
                       | 395    |    1 |          39546.34    |         L3466
                       |        |      |                      |               
                       | 397*   |    1 |          39704.41    |         L3466
                       |        |      |                      |               
                       | 397    |    2 |          39788.89    |         L3466
                       |        |    1 |          39790.70    |         L3466
                       |        |      |                      |               
                       | 398    |    0 |          39843.87    |         L3466
                       |        |      |                      |               
                       | 401    |    2 |          40130.23    |         L3466
                       |        |      |                      |               
