4d6.(3D).5s          | 4D     |  1/2 |           19827.50    | L149,L14280
                     |        |      |                       |             
4d5.5s2              | 4D     |  5/2 |           19895.41    | L149,L14280
                     |        |  7/2 |           19903.57    | L149,L14280
                     |        |      |                       |             
4d6.(3D).5s          | 2P     |  3/2 |           20231.22    | L149,L14280
                     |        |      |                       |             
4d6.(3F2).5s         | 2F     |  7/2 |           20384.74    | L149,L14280
                     |        |  5/2 |           20523.34    | L149,L14280
                     |        |      |                       |             
4d6.(3G).5s          | 4G     | 11/2 |           20639.36    | L149,L14280
                     |        |      |                       |             
4d6.(3D).5s          | 2D     |  5/2 |           20686.26    | L149,L14280
                     |        |      |                       |             
4d7                  | 4F     |  7/2 |           20783.83    | L149,L14280
                     |        |      |                       |             
4d6.(3H).5s          | 2H     |  9/2 |           21204.96    | L149,L14280
                     |        |      |                       |             
4d7                  | 4F     |  5/2 |           21206.34    | L149,L14280
                     |        |  3/2 |           21447.47    | L149,L14280
                     |        |      |                       |             
4d6.(3G).5s          | 4G     |  9/2 |           21450.48    | L149,L14280
                     |        |      |                       |             
4d6.(3H).5s          | 2H     | 11/2 |           21719.83    | L149,L14280
                     |        |      |                       |             
4d6.(3G).5s          | 4G     |  7/2 |           21752.14    | L149,L14280
                     |        |  5/2 |           21920.15    | L149,L14280
                     |        |      |                       |             
4d6.(3D).5s          | 2D     |  3/2 |           21926.79    | L149,L14280
                     |        |      |                       |             
4d6.(3G).5s          | 2G     |  9/2 |           22180.10    | L149,L14280
                     |        |      |                       |             
4d5.5s2              | 4P     |  5/2 |           22265.46    | L149,L14280
                     |        |  3/2 |           22503.10    | L149,L14280
                     |        |      |                       |             
4d6.(3G).5s          | 2G     |  7/2 |           22615.94    | L149,L14280
                     |        |      |                       |             
4d5.(6S).5s.(7S).5p  | 6P*    |  7/2 |           23265.32    | L149,L14280
                     |        |  5/2 |           23455.21    | L149,L14280
                     |        |      |                       |             
                     | 3      |  7/2 |           23460.03?   |        L149
                     |        |      |                       |             
4d5.(6S).5s.(7S).5p  | 6P*    |  3/2 |           23588.40    | L149,L14280
                     |        |      |                       |             
4d6.(1G2).5s         | 2G     |  7/2 |           23957.76    | L149,L14280
                     |        |  9/2 |           24147.13    | L149,L14280
                     |        |      |                       |             
4d6.(1I).5s          | 2I     | 13/2 |           24528.84    | L149,L14280
                     |        | 11/2 |           24564.76    | L149,L14280
                     |        |      |                       |             
4d6.(3D).5s          | 4D     |  7/2 |           25058.56    | L149,L14280
                     |        |  5/2 |           25174.13    | L149,L14280
                     |        |      |                       |             
4d5.5s2              | 4D     |  3/2 |           25405.69    | L149,L14280
                     |        |      |                       |             
4d6.(1D2).5s         | 2D     |  5/2 |           25598.30    | L149,L14280
                     |        |      |                       |             
4d7                  | 4P     |  3/2 |           26788.59    | L149,L14280
                     |        |  5/2 |           26883.58    | L149,L14280
                     |        |      |                       |             
4d5.5s2              | 2I     | 11/2 |           26917.97    | L149,L14280
                     |        |      |                       |             
4d5.5s2              | 2F1    |  7/2 |           26950.98    | L149,L14280
                     |        |      |                       |             
4d5.5s2              | 2I     | 13/2 |           27274.11    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5p          | 6D*    |  9/2 |           27369.79    | L149,L14280
                     |        |      |                       |             
4d5.5s2              | 2F1    |  5/2 |           27517.24    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5p          | 6D*    |  7/2 |           27660.10    | L149,L14280
                     |        |  5/2 |           27940.73    | L149,L14280
                     |        |      |                       |             
4d7                  | 2G     |  9/2 |           27971.36    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5p          | 6D*    |  3/2 |           28151.28    | L149,L14280
                     |        |  1/2 |           28296.67    | L149,L14280
                     |        |      |                       |             
4d7                  | 2H     | 11/2 |           28839.40    | L149,L14280
                     |        |      |                       |             
4d7                  | 2G     |  7/2 |           29233.90    | L149,L14280
                     |        |      |                       |             
4d7                  | 2H     |  9/2 |           29539.00    | L149,L14280
                     |        |      |                       |             
4d5.5s2              | 4F     |  5/2 |           30060.66    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5p          | 6F*    | 11/2 |           30067.29    | L149,L14280
                     |        |  9/2 |           30133.26    | L149,L14280
                     |        |  7/2 |           30382.06    | L149,L14280
                     |        |  5/2 |           30528.86    | L149,L14280
                     |        |  3/2 |           30630.62    | L149,L14280
                     |        |  1/2 |           30689.12    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5p          | 4F*    |  9/2 |           31114.08    | L149,L14280
                     |        |      |                       |             
4d5.(6S).5s.(5S).5p  | 6P*    |  5/2 |           31406.74    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5p          | 6P*    |  7/2 |           31414.05    | L149,L14280
                     |        |      |                       |             
4d5.(6S).5s.(5S).5p  | 6P*    |  3/2 |           31503.93    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5p          | 4F*    |  7/2 |           31605.00    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5p          | 4P*    |  5/2 |           31927.01    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5p          | 4F*    |  5/2 |           32014.81    | L149,L14280
                     |        |  3/2 |           32253.65    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5p          | 4P*    |  3/2 |           32258.06    | L149,L14280
                     |        |  1/2 |           32403.06    | L149,L14280
                     |        |      |                       |             
4d6.(5D).5p          | 4D*    |  7/2 |           32620.38    | L149,L14280
                     |        |  5/2 |           33085.69    | L149,L14280
