5s2.5p2                   | 3P     |   0 |                  0.0    |    L11361
                          |        |   1 |              15506.6    |    L11361
                          |        |   2 |              21499.2    |    L11361
                          |        |     |                         |           
5s2.5p2                   | 1D     |   2 |              42514.2    |    L11361
                          |        |     |                         |           
5s2.5p2                   | 1S     |   0 |              61082.5    |    L11361
                          |        |     |                         |           
5s.5p3                    | 5S*    |   2 |             122162.5    |    L11361
                          |        |     |                         |           
5s.5p3                    | 3D*    |   1 |             148547.3    |    L11361
                          |        |   2 |             150634.2    |    L11361
                          |        |   3 |             156808.0    |    L11361
                          |        |     |                         |           
5s.5p3                    | 3P*    |   0 |             172476.7    |    L11361
                          |        |   1 |             174483.4    |    L11361
                          |        |   2 |             175439.5    |    L11361
                          |        |     |                         |           
5s.5p3                    | 1D*    |   2 |             192270.5    |    L11361
                          |        |     |                         |           
5s.5p3                    | 3S*    |   1 |             196280.5    |    L11361
                          |        |     |                         |           
5s2.5p.5d                 | 3F*    |   2 |            206668.      |    L11361
                          |        |   3 |            213712.      |    L11361
                          |        |     |                         |           
5s.5p3                    | 1P*    |   1 |            219528.      |    L11361
                          |        |     |                         |           
5s2.5p.5d                 | 3D*    |   2 |            223820.      |    L11361
                          |        |   1 |            226198.      |    L11361
                          |        |     |                         |           
