                  |        |     |                         |           
1s2.2s2           | 1S     |   0 |                 0.00    |          
                  |        |     |                         |           
1s2.2s.2p         | 3P*    |   0 |             52367.06    |          
                  |        |   1 |             52390.75    |          
                  |        |   2 |             52447.11    |          
                  |        |     |                         |           
1s2.2s.2p         | 1P*    |   1 |            102352.04    |          
                  |        |     |                         |           
1s2.2p2           | 3P     |   0 |            137425.70    |          
                  |        |   1 |            137454.40    |          
                  |        |   2 |            137502.01    |          
                  |        |     |                         |           
1s2.2p2           | 1D     |   2 |            145876.13    |          
                  |        |     |                         |           
1s2.2p2           | 1S     |   0 |            182519.88    |          
                  |        |     |                         |           
1s2.2s.3s         | 3S     |   1 |            238213.00    |          
                  |        |     |                         |           
1s2.2s.3s         | 1S     |   0 |            247170.26    |          
                  |        |     |                         |           
1s2.2s.3p         | 1P*    |   1 |            258931.29    |          
                  |        |     |                         |           
1s2.2s.3p         | 3P*    |   0 |            259705.55    |          
                  |        |   1 |            259711.22    |          
                  |        |   2 |            259724.30    |          
                  |        |     |                         |           
1s2.2s.3d         | 3D     |   1 |            270010.83    |          
                  |        |   2 |            270011.93    |          
                  |        |   3 |            270014.74    |          
                  |        |     |                         |           
1s2.2s.3d         | 1D     |   2 |            276482.86    |          
                  |        |     |                         |           
1s2.2p.(2P*).3s   | 3P*    |   0 |            308216.58    |          
                  |        |   1 |            308248.91    |          
                  |        |   2 |            308317.29    |          
                  |        |     |                         |           
1s2.2s.4s         | 3S     |   1 |            309457.17    |          
                  |        |     |                         |           
1s2.2p.(2P*).3s   | 1P*    |   1 |            310006.32    |          
                  |        |     |                         |           
1s2.2s.4s         | 1S     |   0 |            311721.51    |          
                  |        |     |                         |           
1s2.2s.4p         | 3P*    |   0 |            317794.26    |          
                  |        |   1 |            317796.51    |          
                  |        |   2 |            317801.30    |          
                  |        |     |                         |           
1s2.2p.(2P*).3p   | 1P     |   1 |            319720.35    |          
                  |        |     |                         |           
1s2.2s.4d         | 3D     |   1 |            321411.31    |          
                  |        |   2 |            321426.74    |          
                  |        |   3 |            321450.05    |          
                  |        |     |                         |           
1s2.2s.4f         | 3F*    |   2 |            322003.68    |          
                  |        |   3 |            322009.58    |          
                  |        |   4 |            322017.97    |          
                  |        |     |                         |           
