2s2.2p3            | 4S*    |  3/2 |              0.0    |     L4995
                   |        |      |                     |           
2s2.2p3            | 2D*    |  5/2 |          55356      |          
                   |        |  3/2 |          55372.8    |          
                   |        |      |                     |           
2s2.2p3            | 2P*    |  1/2 |          83920.0    |          
                   |        |  3/2 |          84028.4    |          
                   |        |      |                     |           
2s.2p4             | 4P     |  5/2 |         247948      |          
                   |        |  3/2 |         249584      |          
                   |        |  1/2 |         250450      |          
                   |        |      |                     |           
2s.2p4             | 2D     |  5/2 |         341751      |          
                   |        |  3/2 |         341793      |          
                   |        |      |                     |           
2s.2p4             | 2S     |  1/2 |         401822      |          
                   |        |      |                     |           
2s.2p4             | 2P     |  3/2 |         425190      |          
                   |        |  1/2 |         427135      |          
                   |        |      |                     |           
2p5                | 2P*    |  3/2 |         651867      |          
                   |        |  1/2 |         654473      |          
                   |        |      |                     |           
2s2.2p2.(3P).3s    | 4P     |  1/2 |         893940      |          
                   |        |  3/2 |         894890      |          
                   |        |  5/2 |         896440      |          
                   |        |      |                     |           
2s2.2p2.(3P).3s    | 2P     |  1/2 |         908410      |          
                   |        |  3/2 |         910300      |          
                   |        |      |                     |           
2s2.2p2.(1D).3s    | 2D     |  5/2 |         938830      |          
                   |        |  3/2 |         938830      |          
                   |        |      |                     |           
2s2.2p2.(1S).3s    | 2S     |  1/2 |         983420?     |          
                   |        |      |                     |           
2s2.2p2.(3P).3d    | 2P     |  3/2 |        1040060      |          
                   |        |  1/2 |        1040680      |          
                   |        |      |                     |           
2s2.2p2.(3P).3d    | 4D     |  3/2 |        1045210?     |          
                   |        |  5/2 |        1045210?     |          
                   |        |  1/2 |        1045620?     |          
                   |        |      |                     |           
2s2.2p2.(3P).3d    | 2F     |  5/2 |        1046420      |          
                   |        |      |                     |           
2s.2p3.(5S*).3s    | 4S*    |  3/2 |        1046640      |          
                   |        |      |                     |           
2s2.2p2.(3P).3d    | 4P     |  5/2 |        1047310      |          
                   |        |  3/2 |        1047990      |          
                   |        |  1/2 |        1048380      |          
                   |        |      |                     |           
2s2.2p2.(3P).3d    | 2F     |  7/2 |        1048380      |          
                   |        |      |                     |           
2s2.2p2.(3P).3d    | 2D     |  3/2 |        1062050      |          
                   |        |  5/2 |        1062620      |          
                   |        |      |                     |           
2s2.2p2.(1D).3d    | 2F     |  7/2 |        1083340      |          
                   |        |  5/2 |        1083640      |          
                   |        |      |                     |           
2s2.2p2.(1D).3d    | 2D     |  3/2 |        1086570      |          
                   |        |  5/2 |        1086920      |          
                   |        |      |                     |           
2s2.2p2.(1D).3d    | 2P     |  1/2 |        1093760      |          
                   |        |  3/2 |        1094250      |          
                   |        |      |                     |           
2s2.2p2.(1D).3d?   | 2S?    | 1/2? |        1099180      |          
                   |        |      |                     |           
2s.2p3.(5S*).3p    | 4P     |  5/2 |        1100150      |          
                   |        |  3/2 |        1100150      |          
                   |        |  1/2 |        1100150      |          
                   |        |      |                     |           
2s.2p3.(3D*).3s    | 4D*    |  1/2 |        1122020      |          
                   |        |  3/2 |        1122020      |          
                   |        |  5/2 |        1122020      |          
                   |        |  7/2 |        1122020      |          
                   |        |      |                     |           
2s2.2p2.(1S).3d    | 2D     |  5/2 |        1124890      |          
                   |        |  3/2 |        1124890      |          
                   |        |      |                     |           
2s.2p3.(3D*).3s    | 2D*    |  3/2 |        1150840      |          
                   |        |  5/2 |        1150840      |          
                   |        |      |                     |           
2s.2p3.(3P*).3s    | 4P*    |  1/2 |        1172610      |          
                   |        |  3/2 |        1172610      |          
                   |        |  5/2 |        1172610      |          
                   |        |      |                     |           
2s.2p3.(5S*).3d    | 4D*    |  3/2 |        1175400      |          
                   |        |  5/2 |        1175400      |          
                   |        |  7/2 |        1175400      |          
                   |        |  1/2 |        1175400      |          
                   |        |      |                     |           
2s.2p3.(3P*).3s    | 2P*    |  1/2 |        1192330      |          
                   |        |  3/2 |        1192580      |          
                   |        |      |                     |           
2s2.2p2.(3P).4s    | 4P     |  5/2 |        1196740?     |          
                   |        |      |                     |           
2s2.2p2.(3P).4s    | 2P     |  3/2 |        1199470      |          
                   |        |      |                     |           
2s.2p3.(3D*).3p    | 2F     |  7/2 |        1223280?     |          
                   |        |  5/2 |        1223920?     |          
                   |        |      |                     |           
2s2.2p2.(1D).4s    | 2D     |  3/2 |        1235690      |          
                   |        |  5/2 |        1235690      |          
                   |        |      |                     |           
2s2.2p2.(3P).4d    | 4D     |  3/2 |        1248830?     |          
                   |        |  5/2 |        1248830?     |          
                   |        |  1/2 |        1249500?     |          
                   |        |      |                     |           
2s2.2p2.(3P).4d    | 4P     |  5/2 |        1252240      |          
                   |        |  3/2 |        1252660      |          
                   |        |      |                     |           
2s2.2p2.(3P).4d    | 2F     |  5/2 |        1252700?     |          
                   |        |      |                     |           
2s2.2p2.(3P).4d    | 4P     |  1/2 |        1252870      |          
                   |        |      |                     |           
2s2.2p2.(3P).4d    | 2F     |  7/2 |        1254350?     |          
                   |        |      |                     |           
2s2.2p2.(3P).4d    | 2D     |  5/2 |        1258380?     |          
                   |        |      |                     |           
2s.2p3.(3D*).3d    | 4P*    |  5/2 |        1282030      |          
                   |        |  3/2 |        1282400      |          
                   |        |  1/2 |        1282670      |          
                   |        |      |                     |           
2s.2p3.(3D*).3d    | 4D*    |  5/2 |        1287040      |          
                   |        |  7/2 |        1287040      |          
                   |        |  1/2 |        1287040      |          
                   |        |  3/2 |        1287040      |          
                   |        |      |                     |           
2s.2p3.(3D*).3d    | 4S*    |  3/2 |        1287890?     |          
                   |        |      |                     |           
2s2.2p2.(1D).4d    | 2F     |  5/2 |        1288310?     |          
                   |        |  7/2 |        1288310?     |          
                   |        |      |                     |           
2s.2p3.(3D*).3d    | 2F*    |  7/2 |        1289600?     |          
                   |        |  5/2 |        1290470?     |          
                   |        |      |                     |           
2s2.2p2.(1D).4d    | 2D     |  3/2 |        1290990      |          
                   |        |  5/2 |        1290990      |          
                   |        |      |                     |           
2s2.2p2.(1D).4d    | 2P     |  3/2 |        1294150?     |          
                   |        |  1/2 |        1294150?     |          
                   |        |      |                     |           
2s2.2p2.(1D).4d    | 2S     |  1/2 |        1296520?     |          
                   |        |      |                     |           
2s2.2p2.(3P).5s    | 4P     |  3/2 |        1317700?     |          
                   |        |  5/2 |        1318670?     |          
                   |        |      |                     |           
2s.2p3.(5S*).4s    | 4S*    |  3/2 |        1323610?     |          
                   |        |      |                     |           
2s2.2p2.(1S).4d    | 2D     |  5/2 |        1333500?     |          
                   |        |  3/2 |        1333500?     |          
                   |        |      |                     |           
2s.2p3.(5S*).4p    | 4P     |  1/2 |        1340950?     |          
                   |        |  5/2 |        1340950?     |          
                   |        |  3/2 |        1340950?     |          
                   |        |      |                     |           
2s2.2p2.(3P).5d    | 2F     |  5/2 |        1345510?     |          
                   |        |  7/2 |        1347260?     |          
                   |        |      |                     |           
2s.2p3.(5S*).4d    | 4D*    |  1/2 |        1373760      |          
                   |        |  3/2 |        1373760      |          
                   |        |  7/2 |        1373760      |          
                   |        |  5/2 |        1373760      |          
                   |        |      |                     |           
2s2.2p2.(1D).5d    | 2F     |  5/2 |        1382780?     |          
                   |        |  7/2 |        1382780?     |          
                   |        |      |                     |           
2s2.2p2.(1D).5d?   | 2D?    |  3/2 |        1384290      |          
                   |        |  5/2 |        1384290      |          
