2p6.3s2               | 1S     |   0 |                 0     |     L7185
                      |        |     |                       |           
3s.3p                 | 3P*    |   0 |            264431     |          
                      |        |   1 |            272634     |          
                      |        |   2 |            293686     |          
                      |        |     |                       |           
3s.3p                 | 1P*    |   1 |            401302     |          
                      |        |     |                       |           
3p2                   | 3P     |   0 |            627914     |          
                      |        |     |                       |           
3p2                   | 1D     |   2 |            638820     |          
                      |        |     |                       |           
3p2                   | 3P     |   1 |            643807     |          
                      |        |   2 |            669535     |          
                      |        |     |                       |           
3p2                   | 1S     |   0 |            754513     |          
                      |        |     |                       |           
3s.3d                 | 3D     |   1 |            771268     |          
                      |        |   2 |            772953     |          
                      |        |   3 |            775567     |          
                      |        |     |                       |           
3s.3d                 | 1D     |   2 |            864465     |          
                      |        |     |                       |           
3p.3d                 | 3F*    |   2 |           1053937     |          
                      |        |   3 |           1068632     |          
                      |        |     |                       |           
3p.3d                 | 1D*    |   2 |           1081126     |          
                      |        |     |                       |           
3p.3d                 | 3F*    |   4 |           1086107     |          
                      |        |     |                       |           
3p.3d                 | 3D*    |   1 |           1115521     |          
                      |        |   2 |           1118392     |          
                      |        |   3 |           1133775     |          
                      |        |     |                       |           
3p.3d                 | 3P*    |   0 |           1135732     |          
                      |        |   1 |           1136123     |          
                      |        |   2 |           1136643     |          
                      |        |     |                       |           
3p.3d                 | 1F*    |   3 |           1209017     |          
                      |        |     |                       |           
3p.3d                 | 1P*    |   1 |           1222730     |          
                      |        |     |                       |           
3d2                   | 3F     |   2 |           1557900?    |          
                      |        |   3 |           1560490     |          
                      |        |   4 |           1563822     |          
                      |        |     |                       |           
3d2                   | 1D     |   2 |           1594821     |          
                      |        |     |                       |           
3d2                   | 3P     |   0 |           1597400?    |          
                      |        |   1 |           1598889     |          
                      |        |     |                       |           
3d2                   | 1G     |   4 |           1601404     |          
                      |        |     |                       |           
3d2                   | 3P     |   2 |           1601729     |          
                      |        |     |                       |           
3s.4s                 | 3S     |   1 |           2187600     |          
                      |        |     |                       |           
3s.4p                 | 1P*    |   1 |           2333400     |          
                      |        |     |                       |           
3s.4d                 | 3D     |   1 |           2494100     |          
                      |        |   2 |           2495200     |          
                      |        |   3 |           2497300     |          
                      |        |     |                       |           
3s.4d                 | 1D     |   2 |           2499400     |          
                      |        |     |                       |           
3p.4s                 | 3P*    |   2 |           2542800     |          
                      |        |     |                       |           
3s.4f                 | 3F*    |   2 |           2584960     |          
                      |        |   3 |           2585000     |          
                      |        |   4 |           2585260     |          
                      |        |     |                       |           
3s.4f                 | 1F*    |   3 |           2601200     |          
                      |        |     |                       |           
3s.5p                 | 1P*    |   1 |           3234300     |          
                      |        |     |                       |           
3s.5d                 | 3D     |   1 |           3272200     |          
                      |        |   2 |           3272200     |          
                      |        |   3 |           3272900     |          
                      |        |     |                       |           
3s.5f                 | 3F*    |   3 |           3312800     |          
                      |        |   2 |           3312800     |          
                      |        |   4 |           3312800     |          
                      |        |     |                       |           
3s.5f                 | 1F*    |   3 |           3431300     |          
                      |        |     |                       |           
3s.6f                 | 3F*    |   4 |           3720200     |          
