3d2                | (3/2,3/2)  |   2 |                     0     |    L16374
                   |            |   0 |               (188000)+x  |    L16374
                   |            |     |                           |           
3d2                | (3/2,5/2)  |   3 |                585480     |    L16374
                   |            |   2 |                668490     |    L16374
                   |            |   4 |               (697000)    |    L16374
                   |            |   1 |                709460+x   |    L16374
                   |            |     |                           |           
3d2                | (5/2,5/2)  |   4 |              (1234000)    |    L16374
                   |            |   2 |              (1299000)    |    L16374
                   |            |   0 |              (1493000)    |    L16374
