4f.(2F*).5d2.(3F)          | 4G*       |  9/2 |           6389.942    |            
                           |           |      |                       |             
4f.5d.(3F*).6s             | *         |  5/2 |           6517.619    |            
                           |           |      |                       |             
4f.5d.(3D*).6s             | *         |  3/2 |           6521.332    |            
                           |           |      |                       |             
4f.5d.(3F*).6s             | *         |  5/2 |           6549.908    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3F)          | *         |  9/2 |           6638.258    |            
                           |           |      |                       |             
4f.5d.(3H*).6s             | 4H*       | 13/2 |           6913.392    |            
                           |           |      |                       |             
4f2.(3H).6s                | 4H        | 13/2 |           6967.547    |            
                           |           |      |                       |             
4f2.(3H).5d                | 2H        |  9/2 |           7011.804    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3F)          | 4F*       |  9/2 |           7059.072    |            
                           |           |      |                       |             
4f.5d.(3D*).6s             | 4D*       |  1/2 |           7061.838    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4K        | 11/2 |           7092.265    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | 4G*       |  5/2 |           7202.529    |            
                           |           |      |                       |             
4f.5d.(3G*).6s             | 4G*       | 11/2 |           7233.627    |            
                           |           |      |                       |             
4f.5d.(3F*).6s             | *         |  7/2 |           7259.075    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3F)          | 4P*       |  3/2 |           7278.922    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3F)          | 2I*       | 13/2 |           7293.938    |            
                           |           |      |                       |             
4f2.(3H).6s                | 2H        | 11/2 |           7341.007    |            
                           |           |      |                       |             
4f2.(3F).6s                | 4F        |  3/2 |           7454.951    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3F)          | 4P*       |  1/2 |           7522.458    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3F)          | 4G*       | 11/2 |           7522.622    |            
                           |           |      |                       |             
4f.(2F*).5d2.(1G)          | *         |  9/2 |           7713.089    |            
                           |           |      |                       |             
4f2.(3F).6s                | 4F        |  5/2 |           7722.285    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3F)          | 4P*       |  5/2 |           7746.185    |            
                           |           |      |                       |             
4f.5d.(3D*).6s             | 4D*       |  3/2 |           7818.147    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | 4G*       |  7/2 |           7878.328    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4I        |  9/2 |           8131.217    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3F)          | 4S*       |  3/2 |           8169.698    |            
                           |           |      |                       |             
4f.5d.(3D*).6s             | 4D*       |  5/2 |           8175.863    |            
                           |           |      |                       |             
4f2.(3H).5d                | 2H        | 11/2 |           8278.054    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | 2D*       |  5/2 |           8280.946    |            
                           |           |      |                       |             
4f.5d.(3D*).6s             | 4D*       |  7/2 |           8402.668    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4K        | 13/2 |           8423.672    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4G        |  5/2 |           8448.641    |            
                           |           |      |                       |             
4f2.(3F).6s                | 4F        |  7/2 |           8531.678    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | 2D*       |  3/2 |           8702.444    |            
                           |           |      |                       |             
4f2.(3F).6s                | 4F        |  9/2 |           8774.064    |            
                           |           |      |                       |             
4f2.(3F).6s                | 2F        |  5/2 |           8789.380    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | 4G*       |  9/2 |           8804.224    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4I        | 11/2 |           8896.729    |            
                           |           |      |                       |             
4f.5d.(3H*).6s             | *         | 11/2 |           8927.514    |            
                           |           |      |                       |             
4f2.(3F).6s                | 2F        |  7/2 |           9053.629    |            
                           |           |      |                       |             
4f.(2F*).5d2.(1G)          | 2G*       |  7/2 |           9198.326    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | *         |  1/2 |           9269.826    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4G        |  7/2 |           9316.912    |            
                           |           |      |                       |             
4f.5d.(3P*).6s             | 4P*       |  1/2 |           9491.493    |            
                           |           |  3/2 |           9634.186    |            
                           |           |      |                       |             
4f.(2F*).5d2.(1G)          | *         |  9/2 |           9723.335    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4H        |  7/2 |           9725.733    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4K        | 15/2 |           9771.956    |            
                           |           |      |                       |             
4f.(2F*).6s2               | 2F*       |  5/2 |           9778.986    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | 4G*       | 11/2 |          10035.711    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4I        | 13/2 |          10058.226    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3F)          | *         |  3/2 |          10088.640    |            
                           |           |      |                       |             
4f.5d.(1F*).6s             | 2F*       |  5/2 |          10114.883    |            
                           |           |  7/2 |          10274.971    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4G        |  9/2 |          10314.162    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | *         |  3/2 |          10454.272    |            
                           |           |      |                       |             
4f.5d.(3P*).6s             | 4P*       |  5/2 |          10641.442    |            
                           |           |      |                       |             
4f2.(3H).5d                | 2I        | 11/2 |          10646.070    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | *         |  1/2 |          10684.441    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4H        |  9/2 |          10703.305    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | *         |  5/2 |          10798.555    |            
                           |           |      |                       |             
4f2.(3H).5d                |           |  5/2 |          10820.486    |            
                           |           |      |                       |             
4f2.(1G).6s                | 2G        |  9/2 |          10869.541    |            
                           |           |      |                       |             
4f.(2F*).5d2.(1G)          | 2H*       |  9/2 |          10924.876    |            
                           |           |      |                       |             
4f.(2F*).5d2.(3P)          | 4F*       |  3/2 |          11007.799    |            
                           |           |      |                       |             
4f2.(1G).6s                | 2G        |  7/2 |          11015.579    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4K        | 17/2 |          11165.796    |            
                           |           |      |                       |             
4f2.(3H).5d                | 4I        | 15/2 |          11309.972    |            
                           |           |      |                       |             
