2s2.2p3             | 4S*    |  3/2 |                0     |     L4714
                    |        |      |                      |           
2s2.2p3             | 2D*    |  3/2 |            62313     |          
                    |        |  5/2 |            62369     |          
                    |        |      |                      |           
2s2.2p3             | 2P*    |  1/2 |            94603     |          
                    |        |  3/2 |            94869     |          
                    |        |      |                      |           
2s.2p4              | 4P     |  5/2 |           280200     |          
                    |        |  3/2 |           282670     |          
                    |        |  1/2 |           283970     |          
                    |        |      |                      |           
2s.2p4              | 2D     |  5/2 |           385860     |          
                    |        |  3/2 |           385910     |          
                    |        |      |                      |           
2s.2p4              | 2S     |  1/2 |           453060     |          
                    |        |      |                      |           
2s.2p4              | 2P     |  3/2 |           477690     |          
                    |        |  1/2 |           480660     |          
                    |        |      |                      |           
2p5                 | 2P*    |  3/2 |           735750     |          
                    |        |  1/2 |           739700     |          
                    |        |      |                      |           
2s2.2p2.(3P).3s     | 4P     |  1/2 |          1147200     |          
                    |        |  3/2 |          1148650     |          
                    |        |  5/2 |          1150950     |          
                    |        |      |                      |           
2s2.2p2.(3P).3s     | 2P     |  1/2 |          1163940     |          
                    |        |  3/2 |          1166720     |          
                    |        |      |                      |           
2s2.2p2.(1D).3s     | 2D     |  3/2 |          1198330     |          
                    |        |  5/2 |          1198330     |          
                    |        |      |                      |           
2s2.2p2.(1S).3s     | 2S     |  1/2 |          1248430     |          
                    |        |      |                      |           
2s2.2p2.(3P).3d     | 2P     |  3/2 |          1317220     |          
                    |        |  1/2 |          1318010     |          
                    |        |      |                      |           
2s.2p3.(5S*).3s     | 4S*    |  3/2 |          1322150     |          
                    |        |      |                      |           
2s2.2p2.(3P).3d     | 4D     |  3/2 |          1323830?    |          
                    |        |  5/2 |          1323830?    |          
                    |        |      |                      |           
2s2.2p2.(3P).3d     | 2F     |  5/2 |          1324930     |          
                    |        |      |                      |           
2s2.2p2.(3P).3d     | 4P     |  5/2 |          1326900     |          
                    |        |  3/2 |          1327890     |          
                    |        |      |                      |           
2s2.2p2.(3P).3d     | 2F     |  7/2 |          1327910     |          
                    |        |      |                      |           
2s2.2p2.(3P).3d     | 4P     |  1/2 |          1328450     |          
                    |        |      |                      |           
2s2.2p2.(3P).3d     | 2D     |  3/2 |          1345300     |          
                    |        |  5/2 |          1346070     |          
                    |        |      |                      |           
2s2.2p2.(1D).3d     | 2F     |  7/2 |          1368230     |          
                    |        |  5/2 |          1368670     |          
                    |        |      |                      |           
2s2.2p2.(1D).3d     | 2D     |  3/2 |          1370950?    |          
                    |        |  5/2 |          1371550     |          
                    |        |      |                      |           
2s2.2p2.(1D).3d     | 2P     |  1/2 |          1379820?    |          
                    |        |  3/2 |          1380640?    |          
                    |        |      |                      |           
2s.2p3.(5S*).3p     | 4P     |  5/2 |          1383540     |          
                    |        |  3/2 |          1383580     |          
                    |        |      |                      |           
2s2.2p2.(1S).3d?    | 2D?    |  3/2 |          1411930     |          
                    |        |  5/2 |          1411930     |          
                    |        |      |                      |           
2s.2p3.(5S*).3d     | 4D*    |  7/2 |          1473060     |          
                    |        |  5/2 |          1473060     |          
                    |        |  3/2 |          1473060     |          
                    |        |  1/2 |          1473060     |          
                    |        |      |                      |           
2s2.2p2.(3P).4s     | 4P     |  5/2 |          1543000?    |          
                    |        |      |                      |           
2s.2p3.(3D*).3d?    | 4P*?   |  5/2 |          1591560     |          
                    |        |  3/2 |          1592150     |          
                    |        |  1/2 |          1592540?    |          
                    |        |      |                      |           
2s.2p3.(3D*).3d?    | 4D*?   |  5/2 |          1598270     |          
                    |        |  7/2 |          1598270     |          
                    |        |  3/2 |          1598270     |          
                    |        |      |                      |           
2s.2p3.(3D*).3d?    | 4S*?   |  3/2 |          1599320     |          
                    |        |      |                      |           
2s2.2p2.(3P).4d     | 2P     |  3/2 |          1600400?    |          
                    |        |      |                      |           
2s2.2p2.(3P).4d     | 2F     |  5/2 |          1605150?    |          
                    |        |  7/2 |          1607950?    |          
                    |        |      |                      |           
2s2.2p2.(3P).4d?    | 2D?    | 3/2? |          1612450     |          
                    |        | 5/2? |          1613180     |          
                    |        |      |                      |           
2s2.2p2.(1D).4d?    | 2D?    | 3/2? |          1648330     |          
                    |        | 5/2? |          1649470     |          
                    |        |      |                      |           
2s2.2p2.(3P).5s     | 4P     |  5/2 |          1702100?    |          
                    |        |      |                      |           
2s2.2p2.(3P).5d     | 2F     |  5/2 |          1731450?    |          
                    |        |  7/2 |          1733940?    |          
                    |        |      |                      |           
2s.2p3.(5S*).4d     | 4D*    |  7/2 |          1739420     |          
                    |        |  5/2 |          1739780     |          
                    |        |  3/2 |          1740040?    |          
