4s2.4p3                | 4S*    | 3/2 |                  0.0    |     L6153
                       |        |     |                         |           
4s2.4p3                | 2D*    | 3/2 |              20134.7    |     L6153
                       |        | 5/2 |              23527.0    |     L6153
                       |        |     |                         |           
4s2.4p3                | 2P*    | 1/2 |              38531.1    |     L6153
                       |        | 3/2 |              43566.9    |     L6153
                       |        |     |                         |           
4s.4p4                 | 4P     | 5/2 |             153170.8    |     L6153
                       |        | 3/2 |             159597.3    |     L6153
                       |        | 1/2 |             162238.2    |     L6153
                       |        |     |                         |           
4s.4p4                 | 2D     | 3/2 |             188319.4    |     L6153
                       |        | 5/2 |             189978.4    |     L6153
                       |        |     |                         |           
4s.4p4                 | 2P     | 3/2 |             215697.0    |     L6153
                       |        | 1/2 |             216644.3    |     L6153
                       |        |     |                         |           
4s.4p4                 | 2S     | 1/2 |             227291.5    |     L6153
                       |        |     |                         |           
4s2.4p2.5s             | 4P     | 1/2 |             327320      |    L10263
                       |        | 3/2 |             333260      |    L10263
                       |        |     |                         |           
4s2.4p2.5s             | 2P     | 1/2 |             338240      |    L10263
                       |        |     |                         |           
4s2.4p2.5s             | 4P     | 5/2 |             338650      |    L10263
                       |        |     |                         |           
4s2.4p2.5s             | 2P     | 3/2 |             343870      |    L10263
                       |        |     |                         |           
4s2.4p2.5s             | 2D     | 5/2 |             355820      |    L10263
                       |        | 3/2 |             356820      |    L10263
                       |        |     |                         |           
4s2.4p2.5s             | 2S     | 1/2 |             378990      |    L10263
