                   |        |     3 |           69405.160    |     L3486
                   |        |       |                        |           
4d10.5s.9p         | 1P*    |     1 |           69439.13     |     L3641
                   |        |       |                        |           
4d10.5s.6f         | 3F*    | 2,3,4 |           69456.4      |     L9542
                   |        |       |                        |           
4d10.5s.10s        | 3S     |     1 |           69806.814    |     L3486
                   |        |       |                        |           
4d10.5s.10s        | 1S     |     0 |           69875.238    |     L3486
                   |        |       |                        |           
4d10.5s.9d         | 1D     |     2 |           70169.52     |     L3641
                   |        |       |                        |           
4d10.5s.10p        | 3P*    |     0 |           70191.4      |     L9542
                   |        |     1 |           70195.7      |     L9542
                   |        |     2 |           70207.5      |     L9542
                   |        |       |                        |           
4d10.5s.9d         | 3D     |     1 |           70244.09     |     L3486
                   |        |     2 |           70245.060    |     L3486
                   |        |     3 |           70246.742    |     L3486
                   |        |       |                        |           
4d10.5s.10p        | 1P*    |     1 |           70267.37     |     L3641
                   |        |       |                        |           
4d10.5s.7f         | 3F*    | 2,3,4 |           70277.4      |     L9542
                   |        |       |                        |           
4d10.5s.11s        | 3S     |     1 |           70502.04     |     L3486
                   |        |       |                        |           
4d10.5s.11s        | 1S     |     0 |           70545.730    |     L3486
                   |        |       |                        |           
4d10.5s.10d        | 1D     |     2 |           70735.75     |     L3641
                   |        |       |                        |           
4d10.5s.10d        | 3D     |     1 |           70787.850    |     L3486
                   |        |     2 |           70788.605    |     L3486
                   |        |     3 |           70789.634    |     L3486
                   |        |       |                        |           
4d10.5s.11p        | 1P*    |     1 |           70803.25     |     L3641
                   |        |       |                        |           
4d10.5s.8f         | 3F*    | 2,3,4 |           70809.7      |     L9542
                   |        |       |                        |           
4d10.5s.12s        | 3S     |     1 |           70961.993    |     L3486
                   |        |       |                        |           
4d10.5s.12s        | 1S     |     0 |           70992.1      |     L3466
                   |        |       |                        |           
4d10.5s.11d        | 1D     |     2 |           71120.77     |     L3641
                   |        |       |                        |           
4d10.5s.11d        | 3D     |     1 |           71158.957    |     L3486
                   |        |     2 |           71159.527    |     L3486
                   |        |     3 |           71160.319    |     L3486
                   |        |       |                        |           
4d10.5s.12p        | 1P*    |     1 |           71169.73     |     L3641
                   |        |       |                        |           
4d10.5s.9f         | 3F*    | 2,3,4 |           71174.2      |     L9542
                   |        |       |                        |           
4d10.5s.13s        | 3S     |     1 |           71281.8      |     L3466
                   |        |       |                        |           
4d10.5s.13s        | 1S     |     0 |           71299.0      |     L3466
                   |        |       |                        |           
4d10.5s.12d        | 3D     |     2 |           71423.930    |     L3486
                   |        |     3 |           71424.524    |     L3486
                   |        |       |                        |           
4d10.5s.10f        | 1F*    |     3 |           71433.3      |     L9542
                   |        |       |                        |           
4d10.5s.10f        | 3F*    | 2,3,4 |           71434.1      |     L9542
                   |        |       |                        |           
4d10.5s.14s        | 3S     |     1 |           71515.6      |     L3466
                   |        |       |                        |           
4d10.5s.14s        | 1S     |     0 |           71528.0      |     L3466
                   |        |       |                        |           
4d10.5s.13d        | 1D     |     2 |           71596.3      |     L3466
                   |        |       |                        |           
4d10.5s.13d        | 3D     | 1,2,3 |           71618.5      |     L3466
                   |        |       |                        |           
4d10.5s.15s        | 3S     |     1 |           71689.6      |     L3466
                   |        |       |                        |           
4d10.5s.15s        | 1S     |     0 |           71692.4      |     L3466
                   |        |       |                        |           
4d10.5s.14d        | 1D     |     2 |           71748.9      |     L3466
                   |        |       |                        |           
4d10.5s.14d        | 3D     | 1,2,3 |           71767.2      |     L3466
                   |        |       |                        |           
4d10.5s.16s        | 3S     |     1 |           71818.6      |     L3466
                   |        |       |                        |           
4d10.5s.15d        | 1D     |     2 |           71869.2      |     L3466
                   |        |       |                        |           
4d10.5s.15d        | 3D     | 1,2,3 |           71880.7      |     L3466
                   |        |       |                        |           
4d10.5s.16d        | 3D     | 1,2,3 |           71972.1      |     L3466
                   |        |       |                        |           
4d10.5s.17d        | 3D     | 1,2,3 |           72046.7      |     L3466
                   |        |       |                        |           
4d10.5s.18d        | 3D     | 1,2,3 |           72108.2      |     L3466
                   |        |       |                        |           
4d10.5s.19d        | 3D     | 1,2,3 |           72155.7      |     L3466
