2s2.2p3            | 4S*    |  3/2 |              0.0     |     L3462
                   |        |      |                      |           
2s2.2p3            | 2D*    |  5/2 |          34087.4     |          
                   |        |  3/2 |          34123.2     |          
                   |        |      |                      |           
2s2.2p3            | 2P*    |  1/2 |          51560.6     |          
                   |        |  3/2 |          51561.4     |          
                   |        |      |                      |           
2s.2p4             | 4P     |  5/2 |         151899.7     |          
                   |        |  3/2 |         152237.4     |          
                   |        |  1/2 |         152410.9     |          
                   |        |      |                      |           
2s.2p4             | 2D     |  5/2 |         210241.7     |          
                   |        |  3/2 |         210256.3     |          
                   |        |      |                      |           
2s.2p4             | 2S     |  1/2 |         248261.4     |          
                   |        |      |                      |           
2s.2p4             | 2P     |  3/2 |         266561.85    |          
                   |        |  1/2 |         266944.70    |          
                   |        |      |                      |           
2s2.2p2.(3P).3s    | 4P     |  1/2 |         316709.81    |          
                   |        |  3/2 |         316920.99    |          
                   |        |  5/2 |         317239.97    |          
                   |        |      |                      |           
2s2.2p2.(3P).3s    | 2P     |  1/2 |         324492.55    |          
                   |        |  3/2 |         324876.72    |          
                   |        |      |                      |           
2s2.2p2.(1D).3s    | 2D     |  5/2 |         344024.17    |          
                   |        |  3/2 |         344027.58    |          
                   |        |      |                      |           
2s2.2p2.(3P).3p    | 2S*    |  1/2 |         344436.96    |          
                   |        |      |                      |           
2s2.2p2.(3P).3p    | 4D*    |  1/2 |         348702.80    |          
                   |        |  3/2 |         348817.60    |          
                   |        |  5/2 |         349007.25    |          
                   |        |  7/2 |         349266.20    |          
                   |        |      |                      |           
2s2.2p2.(3P).3p    | 4P*    |  1/2 |         351236.35    |          
                   |        |  3/2 |         351330.80    |          
                   |        |  5/2 |         351519.42    |          
                   |        |      |                      |           
2s2.2p2.(3P).3p    | 2D*    |  3/2 |         355981.90    |          
                   |        |  5/2 |         356371.82    |          
                   |        |      |                      |           
2s2.2p2.(3P).3p    | 4S*    |  3/2 |         357479.35    |          
                   |        |      |                      |           
2s2.2p2.(3P).3p    | 2P*    |  1/2 |         360348.28    |          
                   |        |  3/2 |         360435.08    |          
                   |        |      |                      |           
2s2.2p2.(1S).3s    | 2S     |  1/2 |         372678.47    |          
                   |        |      |                      |           
2s2.2p2.(1D).3p    | 2F*    |  5/2 |         376814.02    |          
                   |        |  7/2 |         376879.07    |          
                   |        |      |                      |           
2s2.2p2.(1D).3p    | 2D*    |  5/2 |         380250.52    |          
                   |        |  3/2 |         380307.13    |          
                   |        |      |                      |           
2s2.2p2.(1D).3p    | 2P*    |  1/2 |         384358.54    |          
                   |        |  3/2 |         384493.06    |          
                   |        |      |                      |           
2s2.2p2.(3P).3d    | 4F     |  3/2 |         387259.28    |          
                   |        |  5/2 |         387367.92    |          
                   |        |  7/2 |         387523.47    |          
