                    |        |  5/2 |         37855.61    |            
                    |        |      |                     |             
3d2.(3P).4p         | 4P*    |  1/2 |         37877.78    |            
                    |        |  3/2 |         37908.50    |            
                    |        |  5/2 |         37964.89    |            
                    |        |      |                     |             
3d.4s.(3D).4d       | 2F     |  5/2 |         38871.65    |            
                    |        |  7/2 |         38959.16    |            
                    |        |      |                     |             
3d2.(1G).4p         | 2H*    |  9/2 |         39153.14    |            
                    |        |      |                     |             
3d3                 | 2H     |  9/2 |         39164.11    |            
                    |        | 11/2 |         39225.33    |            
                    |        |      |                     |             
3d2.(1G).4p         | 2H*    | 11/2 |         39248.82    |            
                    |        |      |                     |             
3d2.(1G).4p         | 2G*    |  7/2 |         39392.79    |            
                    |        |  9/2 |         39423.39    |            
                    |        |      |                     |             
3d.4s.(3D).4d       | 4D     |  1/2 |         39701.44    |            
                    |        |  3/2 |         39721.79    |            
                    |        |  5/2 |         39755.02    |            
                    |        |  7/2 |         39799.99    |            
                    |        |      |                     |             
3d.4s.(3D).4d       |        |  5/2 |         39861.37    |            
                    |        |      |                     |             
3d.4s.(3D).4d       | 4G     |  7/2 |         39902.75    |            
                    |        |      |                     |             
3d.4s.(3D).5p       | 4F*    |  3/2 |         39949.75    |            
                    |        |      |                     |             
3d.4s.(3D).4d       | 4G     |  9/2 |         39957.79    |            
                    |        |      |                     |             
3d.4s.(3D).5p       | 4F*    |  5/2 |         39989.58    |            
                    |        |      |                     |             
3d.4s.(3D).4d       | 4G     | 11/2 |         40028.38    |            
                    |        |      |                     |             
3d.4s.(3D).5p       | 4D*    |  1/2 |         40044.63    |            
                    |        |      |                     |             
3d.4s.(3D).5p       | 4F*    |  7/2 |         40048.72    |            
                    |        |      |                     |             
3d.4s.(3D).4d       | 2P     |  3/2 |         40063.88    |            
                    |        |  1/2 |         40070.30    |            
                    |        |      |                     |             
3d.4s.(3D).5p       | 4D*    |  3/2 |         40073.49    |            
                    |        |      |                     |             
3d.4s.(3D).5p       | 2F*    |  5/2 |         40104.19    |            
                    |        |      |                     |             
3d.4s.(3D).5p       | 4D*    |  5/2 |         40128.13    |            
                    |        |      |                     |             
3d.4s.(3D).5p       | 4F*    |  9/2 |         40145.90    |            
                    |        |      |                     |             
3d.4s.(3D).5p       | 2F*    |  7/2 |         40151.08    |            
                    |        |      |                     |             
                    | *      |      |         40182.92    |            
                    |        |      |                     |             
3d.4s.(3D).5p       | 4D*    |  7/2 |         40210.88    |            
                    |        |      |                     |             
3d.4s.(3D).4d       | 2D     |  3/2 |         40257.52    |            
                    |        |      |                     |             
3d.4s.(3D).4d       | 4S     |  3/2 |         40282.16    |            
                    |        |      |                     |             
3d.4s.(3D).4d       | 2D     |  5/2 |         40334.31    |            
                    |        |      |                     |             
3d.4s.(3D).5p       | 2D*    |  3/2 |         40347.34    |            
                    |        |  5/2 |         40351.30    |            
                    |        |      |                     |             
3d.4s.(3D).4d       | 2G     |  7/2 |         40418.55    |            
                    |        |      |                     |             
3d.4s.(3D).5p       | 2P*    |  1/2 |         40499.71    |            
                    |        |      |                     |             
3d.4s.(3D).4d       | 4F     |  3/2 |         40521.27    |            
                    |        |  5/2 |         40554.99    |            
                    |        |      |                     |             
3d.4s.(3D).4d       | 2G     |  9/2 |         40562.06    |            
                    |        |      |                     |             
3d.4s.(3D).5p       | 2P*    |  3/2 |         40594.07    |            
                    |        |      |                     |             
3d.4s.(3D).5p       | 4P*    |  1/2 |         40595.28    |            
                    |        |      |                     |             
3d.4s.(3D).4d       | 4F     |  7/2 |         40603.95    |            
                    |        |      |                     |             
3d.4s.(3D).5p       | 4P*    |  3/2 |         40644.64    |            
                    |        |      |                     |             
3d.4s.(3D).4d       | 4F     |  9/2 |         40670.87    |            
                    |        |      |                     |             
3d.4s.(3D).5p       | 4P*    |  5/2 |         40715.42    |            
                    |        |      |                     |             
3d3                 | 2F     |  5/2 |         40802.76    |            
                    |        |  7/2 |         40825.78    |            
                    |        |      |                     |             
3d2.(3P).4p         | 2D*    |  3/2 |         41153.42    |            
                    |        |  5/2 |         41162.52    |            
                    |        |      |                     |             
3d.4s.(3D).4d       | 4P     |  1/2 |         41446.85    |            
                    |        |  3/2 |         41474.87    |            
                    |        |  5/2 |         41505.60    |            
                    |        |      |                     |             
3d2.(3F).5s         | 4F     |  3/2 |         41921.89    |            
                    |        |  5/2 |         41960.97    |            
                    |        |  7/2 |         42015.58    |            
                    |        |  9/2 |         42085.18    |            
                    |        |      |                     |             
3d.4s.(1D).4d       | 2F     |  5/2 |         42149.66    |            
                    |        |  7/2 |         42198.84    |            
                    |        |      |                     |             
3d.4s.(1D).4d       | 2D     |  5/2 |         42445.55    |            
                    |        |  3/2 |         42466.39    |            
                    |        |      |                     |             
3d.4s.(1D).5p       | 2P*    |  3/2 |         42780.41    |            
                    |        |  1/2 |         42819.49    |            
                    |        |      |                     |             
3d.4s.(3D).4d       | 2S     |  1/2 |         42877.65    |            
                    |        |      |                     |             
3d3                 | 2D1    |  5/2 |         42917.83    |            
                    |        |  3/2 |         42937.50    |            
                    |        |      |                     |             
3d.4s.(1D).5p       | 2F*    |  5/2 |         42938.79    |            
                    |        |      |                     |             
3d.4s.(1D).4d       | 2G     |  9/2 |         42942.51    |            
                    |        |  7/2 |         42969.78    |            
                    |        |      |                     |             
3d.4s.(1D).5p       | 2F*    |  7/2 |         42978.81    |            
                    |        |      |                     |             
3d.4s.(1D).5p       | 2D*    |  3/2 |         43170.45    |            
                    |        |  5/2 |         43252.56    |            
                    |        |      |                     |             
3d.4s.(1D).4d       | 2P     |  1/2 |         43429.68    |            
