2s2.2p6                 | 1S     |   0 |                   0     |    L10502
                        |        |     |                         |           
2s2.2p5.3s              | 3P*    |   1 |            19205000     |          
                        |        |     |                         |           
2s2.2p5.3s              | 1P*    |   1 |            20069000     |          
                        |        |     |                         |           
2s2.2p5.3d              | 3P*    |   1 |            20612000     |          
                        |        |     |                         |           
2s2.2p5.3d              | 3D*    |   1 |            20814000     |          
                        |        |     |                         |           
2s2.2p5.3d              | 1P*    |   1 |            21587000     |          
                        |        |     |                         |           
2s.2p6.3p               | 3P*    |   1 |            22395000     |          
                        |        |     |                         |           
2s.2p6.3p               | 1P*    |   1 |            22633000     |          
                        |        |     |                         |           
2s2.2p5.4s              | 3P*    |   1 |            26250000     |          
                        |        |     |                         |           
2s2.2p5.4s              | 1P*    |   1 |            26570000     |          
                        |        |     |                         |           
2s2.2p5.4d              | 3D*    |   1 |            27140000     |          
                        |        |     |                         |           
2s2.2p5.4d              | 1P*    |   1 |            27500000     |          
                        |        |     |                         |           
2s2.2p5.5d              | 3D*    |   1 |            29200000     |          
                        |        |     |                         |           
2s2.2p5.5d              | 1P*    |   1 |            30100000     |          
                        |        |     |                         |           
2s2.2p5.6d              | 3D*    |   1 |            30700000     |          
                        |        |     |                         |           
2s2.2p5.6d              | 1P*    |   1 |            31400000     |          
                        |        |     |                         |           
2s2.2p5.7d              | 1P*    |   1 |            32400000     |          
