2s2.2p5             | 2P*    | 3/2 |               0.00    |      L3462
                    |        | 1/2 |             404.10    |           
                    |        |     |                       |            
2s2.2p4.(3P).3s     | 4P     | 5/2 |          102405.71    |           
                    |        | 3/2 |          102680.44    |           
                    |        | 1/2 |          102840.38    |           
                    |        |     |                       |            
2s2.2p4.(3P).3s     | 2P     | 3/2 |          104731.05    |           
                    |        | 1/2 |          105056.28    |           
                    |        |     |                       |            
2s2.2p4.(3P).3p     | 4P*    | 5/2 |          115917.91    |           
                    |        | 3/2 |          116040.88    |           
                    |        | 1/2 |          116143.58    |           
                    |        |     |                       |            
2s2.2p4.(3P).3p     | 4D*    | 7/2 |          116987.39    |           
                    |        | 5/2 |          117164.01    |           
                    |        | 3/2 |          117308.56    |           
                    |        | 1/2 |          117391.95    |           
                    |        |     |                       |            
2s2.2p4.(3P).3p     | 2D*    | 5/2 |          117622.92    |           
                    |        | 3/2 |          117872.92    |           
                    |        |     |                       |            
2s2.2p4.(3P).3p     | 2S*    | 1/2 |          118405.27    |           
                    |        |     |                       |            
2s2.2p4.(3P).3p     | 4S*    | 3/2 |          118427.82    |           
                    |        |     |                       |            
2s2.2p4.(3P).3p     | 2P*    | 3/2 |          118936.80    |           
                    |        | 1/2 |          119081.82    |           
                    |        |     |                       |            
2s2.2p4.(1D).3s     | 2D     | 5/2 |          123921.05    |           
                    |        | 3/2 |          123922.01    |           
                    |        |     |                       |            
2s2.2p4.(3P).4s     | 4P     | 5/2 |          125637.69    |           
                    |        | 3/2 |          125877.28    |           
                    |        | 1/2 |          126067.23    |           
                    |        |     |                       |            
2s2.2p4.(3P).4s     | 2P     | 3/2 |          126282.58    |           
                    |        | 1/2 |          126581.18    |           
                    |        |     |                       |            
2s2.2p4.(3P).3d     | 4D     | 7/2 |          128064.10    |           
                    |        | 5/2 |          128087.83    |           
                    |        | 3/2 |          128122.72    |           
                    |        |     |                       |            
2s2.2p4.(3P).3d     | 2D     | 5/2 |          128140.48    |           
                    |        |     |                       |            
2s2.2p4.(3P).3d     | 4D     | 1/2 |          128184.99    |           
                    |        |     |                       |            
2s2.2p4.(3P).3d     | 4F     | 9/2 |          128219.13    |           
                    |        |     |                       |            
2s2.2p4.(3P).3d     | 2D     | 3/2 |          128219.83    |           
                    |        |     |                       |            
2s2.2p4.(3P).3d     | 2F     | 7/2 |          128220.36    |           
                    |        |     |                       |            
2s2.2p4.(3P).3d     | 4P     | 1/2 |          128338.72    |           
                    |        |     |                       |            
2s2.2p4.(3P).3d     | 4F     | 7/2 |          128514.75    |           
                    |        |     |                       |            
2s2.2p4.(3P).3d     | 2P     | 1/2 |          128520.22    |           
                    |        |     |                       |            
2s2.2p4.(3P).3d     | 4P     | 3/2 |          128523.28    |           
                    |        |     |                       |            
2s2.2p4.(3P).3d     | 4F     | 5/2 |          128525.35    |           
                    |        |     |                       |            
2s2.2p4.(3P).3d     | 4P     | 5/2 |          128606.09    |           
                    |        |     |                       |            
2s2.2p4.(3P).3d     | 4F     | 3/2 |          128611.92    |           
                    |        |     |                       |            
2s2.2p4.(3P).3d     | 2F     | 5/2 |          128697.89    |           
                    |        |     |                       |            
2s2.2p4.(3P).3d     | 2P     | 3/2 |          128712.30    |           
                    |        |     |                       |            
2s2.2p4.(3P).4p     | 4P*    | 5/2 |          129381.86    |           
                    |        | 3/2 |          129484.66    |           
                    |        | 1/2 |          129607.07    |           
