3d10.4s2.4p           | 2P*    | 1/2 |               0.000    |    L12180
4s2.27d               | 2D     | 3/2 |           48221.079    |          
                      |        | 5/2 |           48221.186    |          
                      |        |     |                        |           
4s2.28p               | 2P*    | 1/2 |           48221.808    |          
                      |        | 3/2 |           48221.925    |          
                      |        |     |                        |           
4s2.30d               | 2D     | 3/2 |           48254.091    |          
                      |        | 5/2 |           48254.176    |          
                      |        |     |                        |           
4s2.34d               | 2D     | 3/2 |           48284.786    |          
                      |        | 5/2 |           48284.842    |          
                      |        |     |                        |           
4s2.35p               | 2P*    | 1/2 |           48285.164    |          
                      |        | 3/2 |           48285.221    |          
                      |        |     |                        |           
4s2.41p               | 2P*    | 1/2 |           48314.64     |          
                      |        | 3/2 |           48314.64     |          
                      |        |     |                        |           
4s2.42p               | 2P*    | 1/2 |           48318.28     |          
                      |        | 3/2 |           48318.28     |          
                      |        |     |                        |           
4s2.43p               | 2P*    | 3/2 |           48321.60     |          
                      |        | 1/2 |           48321.60     |          
                      |        |     |                        |           
4s2.44p               | 2P*    | 1/2 |           48324.78     |          
                      |        | 3/2 |           48324.78     |          
                      |        |     |                        |           
4s2.45p               | 2P*    | 3/2 |           48327.68     |          
                      |        | 1/2 |           48327.68     |          
                      |        |     |                        |           
4s2.46p               | 2P*    | 1/2 |           48330.36     |          
                      |        | 3/2 |           48330.36     |          
                      |        |     |                        |           
4s2.47p               | 2P*    | 1/2 |           48332.86     |          
                      |        | 3/2 |           48332.86     |          
                      |        |     |                        |           
4s2.48p               | 2P*    | 1/2 |           48335.28     |          
                      |        | 3/2 |           48335.28     |          
                      |        |     |                        |           
4s2.49p               | 2P*    | 3/2 |           48337.58     |          
                      |        | 1/2 |           48337.58     |          
                      |        |     |                        |           
4s2.50p               | 2P*    | 1/2 |           48339.66     |          
                      |        | 3/2 |           48339.66     |          
                      |        |     |                        |           
4s2.51p               | 2P*    | 1/2 |           48341.63     |          
                      |        | 3/2 |           48341.63     |          
                      |        |     |                        |           
4s2.52p               | 2P*    | 1/2 |           48343.44     |          
                      |        | 3/2 |           48343.44     |          
                      |        |     |                        |           
4s2.53p               | 2P*    | 1/2 |           48345.20     |          
                      |        | 3/2 |           48345.20     |          
                      |        |     |                        |           
4s2.54p               | 2P*    | 1/2 |           48346.630    |          
                      |        | 3/2 |           48346.630    |          
                      |        |     |                        |           
4s2.55p               | 2P*    | 1/2 |           48348.173    |          
                      |        | 3/2 |           48348.173    |          
                      |        |     |                        |           
4s2.56p               | 2P*    | 1/2 |           48349.627    |          
                      |        | 3/2 |           48349.627    |          
                      |        |     |                        |           
4s2.57p               | 2P*    | 3/2 |           48351.09     |          
                      |        | 1/2 |           48351.09     |          
                      |        |     |                        |           
