4f8.(7F).5d2.(3F) (9I).6s?              | 10I?       | 19/2 |        13398.40     |          
                                        |            |      |                     |           
4f8.(7F<6>).6s2.6p<1/2>                 | (6,1/2)*   | 11/2 |        13616.27     |          
                                        |            | 13/2 |        13622.69     |          
                                        |            |      |                     |           
                                        |            | 11/2 |        13666.46     |          
                                        |            |      |                     |           
                                        |            |  7/2 |        13729.12     |          
                                        |            |      |                     |           
                                        |            |  9/2 |        13751.41     |          
                                        |            |      |                     |           
4f8.5d2.6s?                             |            | 17/2 |        14016.91     |          
                                        |            |      |                     |           
4f8.5d2.6s?                             |            | 15/2 |        14569.67?    |          
                                        |            |      |                     |           
4f8.5d2.6s?                             |            | 17/2 |        14718.11     |          
                                        |            |      |                     |           
4f9.(6H*<15/2>).6s.6p.(3P*<0>)?         | (15/2,0)?  | 15/2 |        14888.11     |          
                                        |            |      |                     |           
4f8.(7F).5d.6s.6p?                      | 10H*?      | 13/2 |        14998.90     |          
                                        |            |      |                     |           
4f9.(6H*).5d.6s?                        | *          | 15/2 |        15098.95     |          
                                        |            |      |                     |           
4f8.(7F).5d.6s.6p?                      | *          | 11/2 |        15189.23     |          
                                        |            |      |                     |           
4f8.5d2.6s?                             | 8H?        | 17/2 |        15189.26     |          
                                        |            |      |                     |           
4f8.(7F).5d.6s.6p?                      | 10H*?      | 15/2 |        15201.02     |          
                                        |            |      |                     |           
4f8.(7F<5>).6s2.6p<1/2>?                | (5,1/2)*?  |  9/2 |        15339.73     |          
                                        |            |      |                     |           
                                        |            | 15/2 |        15387.79     |          
                                        |            |      |                     |           
4f8.(7F).5d.6s.6p?                      | 10H*?      | 17/2 |        15798.64     |          
                                        |            |      |                     |           
4f8.(7F).5d.6s.6p?                      | *          |  9/2 |        15825.17     |          
                                        |            |      |                     |           
4f8.(7F<5>).6s2.6p<1/2>?                | (5,1/2)*?  | 11/2 |        15953.66     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        16043.56     |          
                                        |            |      |                     |           
4f8.(7F).5d.6s.6p?                      | *          | 15/2 |        16051.64     |          
                                        |            |      |                     |           
4f8.(7F<6>).6s2.6p<3/2>?                | (6,3/2)*?  | 13/2 |        16286.23     |          
                                        |            |      |                     |           
                                        |            | 15/2 |        16343.30     |          
                                        |            |      |                     |           
4f9.6s.6p?                              |            | 15/2 |        16431.13     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        16453.50     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        16543.94     |          
                                        |            |      |                     |           
4f8.(7F<6>).6s2.6p<3/2>?                | (6,3/2)*?  | 15/2 |        16719.01     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        16722.56     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | *          | 13/2 |        17052.22     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        17118.72     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        17162.53     |          
                                        |            |      |                     |           
4f9.(6H*<15/2>).6s.6p.(3P*<2>)?         | (15/2,2)?  | 17/2 |        17249.59     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        17293.33     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        17341.92     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        17350.98     |          
                                        |            |      |                     |           
4f8.(7F).5d.6s.6p?                      | 10H*?      | 19/2 |        17401.22     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | *          | 15/2 |        17409.62     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        17417.01     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        17441.07     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        17560.82     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | *          | 11/2 |        17740.60     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        17753.38     |          
                                        |            |      |                     |           
4f9.(6H*<15/2>).6s.6p.(3P*<2>)?         | (15/2,2)?  | 13/2 |        17875.98     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | *          | 17/2 |        17932.42     |          
                                        |            |      |                     |           
4f8.(7F<2>).6s2.6p<1/2>?                | (2,1/2)*?  |  3/2 |        17936.55     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | *          | 15/2 |        18043.09     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        18120.77     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | *          | 13/2 |        18135.88     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        18182.98     |          
                                        |            |      |                     |           
                                        | *          |  3/2 |        18192.91     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        18260.38     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        18343.68     |          
                                        |            |      |                     |           
4f8.(7F<1>).6s2.6p<1/2>?                | (1,1/2)*?  |  1/2 |        18397.56     |          
                                        |            |      |                     |           
4f9.5d.6s?                              | *          | 15/2 |        18410.55     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | *          | 11/2 |        18461.87     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        18497.20     |          
                                        |            |      |                     |           
                                        | *          |  1/2 |        18572.92     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | *          | 13/2 |        18607.24     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        18611.47     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        18645.50     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        18709.99     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        18805.02     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        18850.90     |          
                                        |            |      |                     |           
                                        | *          | 15/2 |        18881.74     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        18882.27     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        18915.43     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        19025.06     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | *          | 15/2 |        19080.13     |          
                                        |            |      |                     |           
                                        | *          |  3/2 |        19108.85     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | *          | 17/2 |        19131.45     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        19155.06     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | *          | 17/2 |        19162.31     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        19269.98     |          
                                        |            |      |                     |           
                                        | *          |  3/2 |        19276.50     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        19310.33     |          
                                        |            |      |                     |           
                                        | *          |  1/2 |        19313.20     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        19317.28     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | *          | 11/2 |        19332.48     |          
                                        |            |      |                     |           
                                        | *          |  1/2 |        19421.90     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        19450.45     |          
                                        |            |      |                     |           
                                        | *          | 15/2 |        19598.19     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | *          | 13/2 |        19606.52     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        19658.41     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | *          |  9/2 |        19691.12     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        19694.70     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        19759.83     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        19781.23     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        19901.15     |          
                                        |            |      |                     |           
                                        |            | 15/2 |        19920.41     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        19941.34     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        19958.55     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        20032.52     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        20035.06     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        20042.63     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        20140.04     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        20250.48     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        20306.01     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        20373.50     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        20435.91     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        20473.43     |          
                                        |            |      |                     |           
                                        | *          | 17/2 |        20534.69     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        20606.69     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        20626.26     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        20684.03     |          
                                        |            |      |                     |           
                                        | *          |  3/2 |        20688.02     |          
                                        |            |      |                     |           
                                        | *          | 15/2 |        20700.64     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | 10I*?      | 19/2 |        20750.70     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        20762.60     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        20793.11     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        20796.05     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        20823.35     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        20928.12     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        20989.87     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        21004.78     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | *          | 15/2 |        21083.72     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        21130.59     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        21197.15     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        21217.93     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        21223.58     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        21282.61     |          
                                        |            |      |                     |           
4f9.5d.6s?                              | *          | 17/2 |        21324.37     |          
                                        |            |      |                     |           
                                        | *          | 15/2 |        21397.91     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        21422.05     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        21479.41     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        21496.23     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        21518.77     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        21673.72     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        21679.30     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        21729.64     |          
                                        |            |      |                     |           
                                        | *          |  3/2 |        21731.92     |          
                                        |            |      |                     |           
                                        | *          |  7/2 |        21772.73     |          
                                        |            |      |                     |           
                                        | *          | 15/2 |        21812.08     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | *          | 17/2 |        21837.92     |          
                                        |            |      |                     |           
                                        | *          | 13/2 |        21854.83     |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        21872.93     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        21879.38     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        21887.16     |          
                                        |            |      |                     |           
4f8.5d.6s.6p?                           | 10I*?      | 21/2 |        21946.46?    |          
                                        |            |      |                     |           
                                        | *          | 11/2 |        21987.34     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        22011.12     |          
                                        |            |      |                     |           
                                        | *          | 15/2 |        22084.34     |          
                                        |            |      |                     |           
                                        | *          |  3/2 |        22178.66     |          
                                        |            |      |                     |           
                                        | *          |  5/2 |        22183.77     |          
                                        |            |      |                     |           
                                        | *          |  9/2 |        22202.52     |          
