3d10                 | 1S         |   0 |               0.000    |    L10559
                     |            |     |                        |           
3d9.(2D).5p          | 3F*        |   2 |          122745.938    |          
                     |            |     |                        |           
3d9.(2D).5p          | 1P*        |   1 |          122867.732    |          
                     |            |     |                        |           
3d9.(2D).5p          | *          |   3 |          123016.816    |          
                     |            |     |                        |           
3d9.(2D).5p          | 3D*        |   1 |          123304.814    |          
                     |            |     |                        |           
3d9.(2D).5p          | *          |   2 |          123556.816    |          
                     |            |     |                        |           
3d8.(3P).4s.4p.(3P*) | 5P*        |   3 |          125230.092    |          
                     |            |   2 |          125248.109    |          
                     |            |   1 |          125569.318    |          
                     |            |     |                        |           
3d8.(1D).4s.4p.(3P*) | 3F*        |   2 |          128365.720    |          
                     |            |   3 |          128559.308    |          
                     |            |     |                        |           
3d8.(1D).4s.4p.(3P*) | 3D*        |   1 |          128569.138    |          
                     |            |     |                        |           
3d8.(1D).4s.4p.(3P*) | 3F*        |   4 |          128778.034    |          
                     |            |     |                        |           
3d8.(1D).4s.4p.(3P*) | 3D*        |   2 |          128854.034    |          
                     |            |     |                        |           
3d8.(1D).4s.4p.(3P*) | 3P*        |   0 |          129105.765    |          
                     |            |     |                        |           
3d8.(1D).4s.4p.(3P*) | 3D*        |   3 |          129116.934    |          
                     |            |     |                        |           
3d8.(1D).4s.4p.(3P*) | 3P*        |   1 |          129759.738    |          
                     |            |   2 |          130386.389    |          
                     |            |     |                        |           
3d8.(3P).4s.4p.(3P*) | 5D*        |   1 |          130940.476    |          
                     |            |   2 |          130943.649    |          
                     |            |   3 |          131044.304    |          
                     |            |   4 |          131312.416    |          
                     |            |     |                        |           
3d9.(2D).6s          | (5/2,1/2)  |   3 |          133594.222    |          
                     |            |   2 |          133728.031    |          
                     |            |     |                        |           
3d8.(3P).4s.4p.(3P*) | 3P*        |   2 |          133825.916    |          
                     |            |     |                        |           
3d8.(3P).4s.4p.(3P*) | 3D*        |   3 |          133984.320    |          
                     |            |     |                        |           
3d8.(3F).4s.4p.(1P*) | 3G*        |   5 |          134110.862    |          
                     |            |     |                        |           
3d8.(3P).4s.4p.(3P*) | 3D*        |   1 |          134359.840    |          
                     |            |   2 |          134675.515    |          
                     |            |     |                        |           
3d9.(2D).6p          | 3F*        |   4 |          134742.853    |          
                     |            |     |                        |           
3d8.(3P).4s.4p.(3P*) | 3P*        |   1 |          135135.157    |          
                     |            |   0 |          135484.064    |          
                     |            |     |                        |           
3d9.(2D).6s          | (3/2,1/2)  |   1 |          135664.510    |          
                     |            |     |                        |           
3d8.(3F).4s.4p.(1P*) | 3D*        |   3 |          135733.422    |          
                     |            |     |                        |           
3d9.(2D).6s          | (3/2,1/2)  |   2 |          135760.151    |          
                     |            |     |                        |           
3d8.(3F).4s.4p.(1P*) | 3G*        |   4 |          135834.661    |          
                     |            |     |                        |           
