3d4                 | 5D     |   0 |                 0.0    |      L7185
                    |        |   1 |               142.1    |           
                    |        |   2 |               417.3    |           
                    |        |   3 |               803.1    |           
                    |        |   4 |              1282.8    |           
                    |        |     |                        |            
3d4                 | 3P2    |   0 |             24055.4    |           
                    |        |     |                        |            
3d4                 | 3H     |   4 |             24932.5    |           
                    |        |     |                        |            
3d4                 | 3P2    |   1 |             24972.9    |           
                    |        |     |                        |            
3d4                 | 3H     |   5 |             25225.9    |           
                    |        |   6 |             25528.5    |           
                    |        |     |                        |            
3d4                 | 3P2    |   2 |             26468.3    |           
                    |        |     |                        |            
3d4                 | 3F2    |   2 |             26760.7    |           
                    |        |   3 |             26842.3    |           
                    |        |   4 |             26974.0    |           
                    |        |     |                        |            
3d4                 | 3G     |   3 |             29817.1    |           
                    |        |   4 |             30147.0    |           
                    |        |   5 |             30430.1    |           
                    |        |     |                        |            
3d4                 | 1G2    |   4 |             36586.3    |           
                    |        |     |                        |            
3d4                 | 3D     |   3 |             36630.1    |           
                    |        |   2 |             36758.5    |           
                    |        |   1 |             36925.4    |           
                    |        |     |                        |            
3d4                 | 1I     |   6 |             37511.7    |           
                    |        |     |                        |            
3d4                 | 1S2    |   0 |             39633.4    |           
                    |        |     |                        |            
3d4                 | 1D2    |   2 |             46291.2    |           
                    |        |     |                        |            
3d4                 | 1F     |   3 |             52732.7    |           
                    |        |     |                        |            
3d4                 | 3P1    |   2 |             61854.4    |           
                    |        |     |                        |            
3d4                 | 3F1    |   4 |             62238.1    |           
                    |        |   2 |             62321.1    |           
                    |        |   3 |             62364.4    |           
                    |        |     |                        |            
3d4                 | 3P1    |   1 |             62914.2    |           
                    |        |   0 |             63420.0    |           
                    |        |     |                        |            
3d4                 | 1G1    |   4 |             71280.3    |           
                    |        |     |                        |            
3d4                 | 1D1    |   2 |             93832.3    |           
                    |        |     |                        |            
3d4                 | 1S1    |   0 |            121130.2    |           
                    |        |     |                        |            
3d3.(4F).4s         | 5F     |   1 |            186433.6    |           
                    |        |   2 |            186725.5    |           
                    |        |   3 |            187157.5    |           
                    |        |   4 |            187719.0    |           
                    |        |   5 |            188395.3    |           
                    |        |     |                        |            
3d3.(4F).4s         | 3F     |   2 |            195196.3    |           
                    |        |   3 |            195933.0    |           
                    |        |   4 |            196838.6    |           
                    |        |     |                        |            
3d3.(4P).4s         | 5P     |   1 |            204729.9    |           
                    |        |   2 |            204975.4    |           
                    |        |   3 |            205536.4    |           
                    |        |     |                        |            
3d3.(2G).4s         | 3G     |   3 |            208838.2    |           
                    |        |   4 |            209110.1    |           
                    |        |   5 |            209523.9    |           
                    |        |     |                        |            
3d3.(4P).4s         | 3P     |   0 |            212542.1    |           
                    |        |   1 |            212818.1    |           
                    |        |     |                        |            
3d3.(2G).4s         | 1G     |   4 |            213534.1    |           
                    |        |     |                        |            
