3p6.3d              | 2D     | 3/2 |                    0     |    L10266
                    |        | 5/2 |               10000.     |          
                    |        |     |                          |           
3p5.3d2             | 2F*    | 7/2 |              909200.     |          
                    |        |     |                          |           
3p5.3d2             | 2D*    | 5/2 |              974600.     |          
                    |        | 3/2 |              988500.+d   |          
                    |        |     |                          |           
3p6.4f              | 2F*    | 7/2 |             2340000.     |          
