4s2.4p5            | 2P*      | 3/2 |                 0     |       L10502
                   |          | 1/2 |             23274     |             
                   |          |     |                       |              
4s.4p6             | 2S       | 1/2 |            233830     |             
                   |          |     |                       |              
4s2.4p4.(3P).4d    | 4D       | 5/2 |            308699     |             
                   |          | 3/2 |            309938     |             
                   |          |     |                       |              
4s2.4p4.(1D).4d    | 2P       | 1/2 |            330800?    |             
                   |          |     |                       |              
4s2.4p4.(3P).4d    | 4F       | 3/2 |            335663     |             
                   |          |     |                       |              
4s2.4p4.(3P).4d    | 4P       | 1/2 |            336936     |             
                   |          |     |                       |              
4s2.4p4.(3P).4d    | 4F       | 5/2 |            337941     |             
                   |          |     |                       |              
4s2.4p4.(3P).4d    | 4P       | 3/2 |            339525     |             
                   |          |     |                       |              
4s2.4p4.4d         | 2D       | 3/2 |            341362     |             
                   |          |     |                       |              
4s2.4p4.(3P).4d    | 4P       | 5/2 |            346215     |             
                   |          |     |                       |              
4s2.4p4.4d         | 2P       | 3/2 |            348832     |             
                   |          |     |                       |              
4s2.4p4.4d         | 2D       | 5/2 |            353148     |             
                   |          |     |                       |              
4s2.4p4.(3P).4d    | 2F       | 5/2 |            357811     |             
                   |          |     |                       |              
4s2.4p4.(1D).4d    | 2F       | 5/2 |            371341     |             
                   |          |     |                       |              
4s2.4p4.(1S).4d    | 2D       | 3/2 |            394545     |             
                   |          | 5/2 |            404903     |             
                   |          |     |                       |              
4s2.4p4.(1D).4d    | 2S       | 1/2 |            411512     |             
                   |          |     |                       |              
4s2.4p4.(3P).4d    | 2P       | 3/2 |            421559     |             
                   |          |     |                       |              
4s2.4p4.(3P).4d    | 2D       | 5/2 |            426778     |             
                   |          |     |                       |              
4s2.4p4.(3P).4d    | 2P       | 1/2 |            430969     |             
                   |          |     |                       |              
4s2.4p4.(3P).4d    | 2D       | 3/2 |            447876     |             
                   |          |     |                       |              
4s2.4p4.(3P<2>).5s | (2,1/2)  | 5/2 |            521461     |             
                   |          | 3/2 |            527389     |             
                   |          |     |                       |              
4s2.4p4.(3P<0>).5s | (0,1/2)  | 1/2 |            538732     |             
                   |          |     |                       |              
4s2.4p4.(3P<1>).5s | (1,1/2)  | 3/2 |            543336     |             
                   |          | 1/2 |            548923     |             
                   |          |     |                       |              
4s2.4p4.(1D<2>).5s | (2,1/2)  | 5/2 |            558812     |             
                   |          | 3/2 |            559813     |             
                   |          |     |                       |              
4s2.4p4.(1S<0>).5s | (0,1/2)  | 1/2 |            595829     |             
                   |          |     |                       |              
4s2.4p4.(3P).5d    | 4P       | 1/2 |            730472     |             
                   |          |     |                       |              
4s2.4p4.(3P).5d    | 2D       | 3/2 |            731073     |             
                   |          | 5/2 |            733372     |             
                   |          |     |                       |              
4s2.4p4.(3P).5d    | 4F       | 3/2 |            741552     |             
                   |          | 5/2 |            744258     |             
                   |          |     |                       |              
