5d3.(4F).6p          | 3G*    |   3 |             72881.50    |    L10405
                     |        |     |                         |           
5d3.(4F).6p          | 3F*    |   2 |             73135.83    |    L10405
                     |        |     |                         |           
5d3.(4F).6p          | 5G*    |   5 |             73289.66    |    L10405
                     |        |     |                         |           
5d3.(4P).6p          | 5D*    |   3 |             73697.35    |    L10405
                     |        |     |                         |           
                     |        |   1 |             73804.59    |    L10405
                     |        |     |                         |           
                     |        |   4 |             74021.35    |    L10405
                     |        |     |                         |           
                     |        |   2 |             74791.95    |    L10405
                     |        |     |                         |           
5d3.(4P).6p          | 5D*    |   0 |             75142.73    |    L10405
                     |        |     |                         |           
5d3.(4F).6p          | 5G*    |   6 |             75697.21    |    L10405
                     |        |     |                         |           
                     |        |   5 |             75800.20    |    L10405
                     |        |     |                         |           
                     |        |   2 |             76039.80    |    L10405
                     |        |     |                         |           
                     |        |   3 |             76134.60    |    L10405
                     |        |     |                         |           
5d3.(4P).6p          | 5D*    |   1 |             76378.09    |    L10405
                     |        |   2 |             76831.39    |    L10405
                     |        |     |                         |           
5d3.(4F).6p          | 3F*    |   3 |             77071.73    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(3P*) | 5G*    |   2 |             77757.00    |    L10405
                     |        |     |                         |           
                     |        |   4 |             77827.64    |    L10405
                     |        |     |                         |           
5d3.(4F).6p          | 3G*    |   4 |             78408.35    |    L10405
                     |        |     |                         |           
5d3.(2P).6p          | 3P*    |   0 |             78507.70    |    L10405
                     |        |     |                         |           
5d3.(4P).6p          | 5P*    |   2 |             78786.47    |    L10405
                     |        |     |                         |           
                     |        |   3 |             79139.81    |    L10405
                     |        |     |                         |           
5d3.(4P).6p          | 5P*    |   1 |             79216.24    |    L10405
                     |        |     |                         |           
5d3.(4F).6p          | 3F*    |   4 |             79597.73    |    L10405
                     |        |     |                         |           
5d3.(4P).6p          | 5P*    |   3 |             79699.75    |    L10405
                     |        |     |                         |           
5d3.(4F).6p          | 3G*    |   5 |             80493.89    |    L10405
                     |        |     |                         |           
                     |        |   3 |             80558.62    |    L10405
                     |        |     |                         |           
5d3.(2H).6p          | 3I*    |   6 |             81013.46    |    L10405
                     |        |     |                         |           
                     |        |   1 |             81054.33    |    L10405
                     |        |     |                         |           
                     |        |   2 |             81293.43    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(3P*) | 5F*    |   1 |             82095.43    |    L10405
                     |        |     |                         |           
5d3.(2H).6p          | 3I*    |   5 |             82210.83    |    L10405
                     |        |     |                         |           
5d3.(2G).6p          | 3G*    |   4 |             82502.08    |    L10405
                     |        |     |                         |           
                     |        |   2 |             82801.82    |    L10405
                     |        |     |                         |           
5d3.(2G).6p          | 3F*    |   2 |             82980.19    |    L10405
                     |        |     |                         |           
5d3.(4P).6p          | 5D*    |   4 |             83571.04    |    L10405
                     |        |     |                         |           
                     |        |   1 |             83601.96    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(3P*) | 5G*    |   3 |             83611.69    |    L10405
                     |        |     |                         |           
5d3.(2G).6p          | 3G*    |   5 |             83957.03    |    L10405
                     |        |   3 |             84127.03    |    L10405
                     |        |     |                         |           
5d3.(2P).6p          | 3P*    |   1 |             84389.26    |    L10405
                     |        |     |                         |           
5d3.(2G).6p          | 3F*    |   4 |             84869.01    |    L10405
                     |        |     |                         |           
                     |        |   2 |             85044.18    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(3P*) | 5G*    |   4 |             85078.28    |    L10405
                     |        |     |                         |           
                     |        |   5 |             85222.97    |    L10405
                     |        |     |                         |           
                     |        |   2 |             85527.01    |    L10405
                     |        |     |                         |           
5d3.(2G).6p          | 3F*    |   3 |             85834.94    |    L10405
                     |        |     |                         |           
                     |        |   6 |             85965.60    |    L10405
                     |        |     |                         |           
                     |        |   4 |             86271.52    |    L10405
                     |        |     |                         |           
                     |        |   3 |             86283.75    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(3P*) | 5F*    |   2 |             86487.10    |    L10405
                     |        |     |                         |           
                     |        |   3 |             86578.41    |    L10405
                     |        |     |                         |           
                     |        |   1 |             86865.05    |    L10405
                     |        |     |                         |           
                     |        |   2 |             86867.50    |    L10405
                     |        |     |                         |           
                     |        |   4 |             87590.69    |    L10405
                     |        |     |                         |           
                     |        |   2 |             87621.20    |    L10405
                     |        |     |                         |           
                     |        |   5 |             87862.02    |    L10405
                     |        |     |                         |           
                     |        |   3 |             88429.94    |    L10405
                     |        |     |                         |           
                     |        |   3 |             88813.10    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(3P*) | 5D*    |   0 |             88867.52    |    L10405
                     |        |     |                         |           
                     |        |   6 |             88884.95    |    L10405
                     |        |     |                         |           
                     |        |   2 |             89240.38    |    L10405
                     |        |     |                         |           
5d3.(4P).6p          | 3D*    |   1 |             89283.42    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(3P*) | 5F*    |   3 |             89329.95    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(3P*) | 5G*    |   5 |             89630.99    |    L10405
                     |        |     |                         |           
                     |        |   4 |             89700.42    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(3P*) | 5D*    |   1 |             89903.01    |    L10405
                     |        |     |                         |           
                     |        |   3 |             90097.20    |    L10405
                     |        |     |                         |           
                     |        |   1 |             90492.33    |    L10405
                     |        |     |                         |           
5d3.(2H).6p          | 3I*    |   7 |             90511.29    |    L10405
                     |        |     |                         |           
                     |        |   5 |             91161.95    |    L10405
                     |        |     |                         |           
5d3.(2P).6p          | 3P*    |   2 |             91362.35    |    L10405
                     |        |     |                         |           
                     |        |   3 |             91763.26    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(3P*) | 3F*    |   4 |             91776.22    |    L10405
                     |        |   2 |             91973.61    |    L10405
                     |        |     |                         |           
                     |        |   0 |             92089.69    |    L10405
                     |        |     |                         |           
                     |        |   4 |             92117.89    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(3P*) | 5D*    |   2 |             92358.71    |    L10405
                     |        |     |                         |           
                     |        |   1 |             92882.06    |    L10405
                     |        |     |                         |           
5d3.(4P).6p          | 3D*    |   2 |             93226.03    |    L10405
                     |        |   3 |             93358.07    |    L10405
                     |        |     |                         |           
5d2.(3P).6s.6p.(3P*) | 5D*    |   1 |             93778.68    |    L10405
                     |        |     |                         |           
                     |        |   5 |             93778.68    |    L10405
                     |        |     |                         |           
                     |        |   4 |             93867.25    |    L10405
                     |        |     |                         |           
5d3.(2H).6p          | 1I*    |   6 |             93870.12    |    L10405
                     |        |     |                         |           
5d3.(2F).6p          | 3G*    |   4 |             94374.63    |    L10405
                     |        |     |                         |           
                     |        |   3 |             94508.46    |    L10405
                     |        |     |                         |           
5d2.(3P).6s.6p.(3P*) | 5D*    |   2 |             95134.61    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(3P*) | 5F*    |   5 |             95137.13    |    L10405
                     |        |     |                         |           
                     |        |   1 |             95363.16    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(3P*) | 5D*    |   3 |             95422.00    |    L10405
                     |        |     |                         |           
                     |        |   1 |             96530.77    |    L10405
                     |        |     |                         |           
                     |        |   2 |             96561.09    |    L10405
                     |        |     |                         |           
                     |        |   3 |             96630.14    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(3P*) | 5D*    |   4 |             96704.93    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(3P*) | 5G*    |   6 |             97039.60    |    L10405
                     |        |     |                         |           
                     |        |   4 |             97144.15    |    L10405
                     |        |     |                         |           
5d3.(2F).6p          | 3G*    |   5 |             97227.61    |    L10405
                     |        |     |                         |           
                     |        |   3 |             97531.10    |    L10405
                     |        |     |                         |           
                     |        |   2 |             98061.07    |    L10405
                     |        |     |                         |           
                     |        |   1 |             98188.14    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(1P*) | 3G*    |   3 |             99424.24    |    L10405
                     |        |     |                         |           
                     |        |   2 |             99814.69    |    L10405
                     |        |     |                         |           
                     |        |   4 |            100202.96    |    L10405
                     |        |     |                         |           
                     |        |   1 |            101307.86    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(3P*) | 3F*    |   3 |            101383.26    |    L10405
                     |        |     |                         |           
5d3.(2D1).6p         | 3F*    |   2 |            101947.18    |    L10405
                     |        |     |                         |           
                     |        |   1 |            102058.13    |    L10405
                     |        |     |                         |           
5d2.(3P).6s.6p.(3P*) | 5D*    |   3 |            102348.13    |    L10405
                     |        |     |                         |           
                     |        |   2 |            102576.20    |    L10405
                     |        |     |                         |           
5d2.(3P).6s.6p.(3P*) | 5D*    |   4 |            102826.51    |    L10405
                     |        |     |                         |           
                     |        |   3 |            103127.98    |    L10405
                     |        |     |                         |           
                     |        |   1 |            103272.45    |    L10405
                     |        |     |                         |           
5d2.(1G).6s.6p.(3P*) | 3H*    |   5 |            104191.52    |    L10405
                     |        |     |                         |           
                     |        |   2 |            104287.86    |    L10405
                     |        |     |                         |           
                     |        |   2 |            104761.77    |    L10405
                     |        |     |                         |           
                     |        |   3 |            105033.31    |    L10405
                     |        |     |                         |           
5d2.(3F).6s.6p.(1P*) | 3G*    |   4 |            105064.05    |    L10405
                     |        |     |                         |           
5d2.(1G).6s.6p.(3P*) | 3H*    |   4 |            105628.72    |    L10405
                     |        |     |                         |           
                     |        |   2 |            105670.02    |    L10405
                     |        |     |                         |           
                     |        |   3 |            106044.97    |    L10405
                     |        |     |                         |           
                     |        |   1 |            106699.96    |    L10405
                     |        |     |                         |           
                     |        |   3 |            107269.17    |    L10405
                     |        |     |                         |           
                     |        |   2 |            107611.49    |    L10405
                     |        |     |                         |           
5d2.(1G).6s.6p.(3P*) | 3F*    |   4 |            107840.81    |    L10405
                     |        |     |                         |           
                     |        |   3 |            108249.41    |    L10405
                     |        |     |                         |           
                     |        |   1 |            109744.12    |    L10405
                     |        |     |                         |           
                     |        |   4 |            109818.37    |    L10405
                     |        |     |                         |           
                     |        |   2 |            109841.13    |    L10405
                     |        |     |                         |           
                     |        |   3 |            109950.38    |    L10405
                     |        |     |                         |           
                     |        |   2 |            110863.47    |    L10405
                     |        |     |                         |           
                     |        |   3 |            111063.06    |    L10405
                     |        |     |                         |           
5d3.(2D1).6p         | 3F*    |   4 |            111196.15    |    L10405
                     |        |     |                         |           
                     |        |   3 |            111610.84    |    L10405
                     |        |     |                         |           
5d2.(1G).6s.6p.(3P*) | 3H*    |   6 |            112353.65    |    L10405
                     |        |     |                         |           
                     |        |   2 |            112844.05    |    L10405
                     |        |     |                         |           
                     |        |   3 |            113709.40    |    L10405
                     |        |     |                         |           
                     |        |   1 |            113730.91    |    L10405
                     |        |     |                         |           
                     |        |   1 |            115619.98    |    L10405
                     |        |     |                         |           
                     |        |   3 |            115795.95    |    L10405
                     |        |     |                         |           
                     |        |   2 |            116620.34    |    L10405
                     |        |     |                         |           
                     |        |   4 |            116735.40    |    L10405
                     |        |     |                         |           
5d2.(1G).6s.6p.(3P*) | 3F*    |   3 |            116774.06    |    L10405
                     |        |     |                         |           
                     |        |   3 |            118243.40    |    L10405
                     |        |     |                         |           
5d2.(1G).6s.6p.(3P*) | 3F*    |   2 |            119448.46    |    L10405
                     |        |     |                         |           
5d2.(1G).6s.6p.(1P*) | 1H*    |   5 |            120680.26    |    L10405
                     |        |     |                         |           
5d2.(1G).6s.6p.(1P*) | 1G*    |   4 |            121296.58    |    L10405
                     |        |     |                         |           
5d2.(3P).6s.6p.(1P*) | 3D*    |   3 |            125865.71    |    L10405
