1s2.2s           | 2S     |  1/2 |                0.0    |     L7288
                 |        |      |                       |           
1s2.2p           | 2P*    |  1/2 |            80463.2    |          
                 |        |  3/2 |            80721.9    |          
                 |        |      |                       |           
1s2.3s           | 2S     |  1/2 |           456126.6    |          
                 |        |      |                       |           
1s2.3p           | 2P*    |  1/2 |           477765.7    |          
                 |        |  3/2 |           477842.0    |          
                 |        |      |                       |           
1s2.3d           | 2D     |  3/2 |           484404.3    |          
                 |        |  5/2 |           484426.3    |          
                 |        |      |                       |           
1s2.4s           | 2S     |  1/2 |           606348.8    |          
                 |        |      |                       |           
1s2.4p           | 2P*    |  1/2 |           615141.0    |          
                 |        |  3/2 |           615173.8    |          
                 |        |      |                       |           
1s2.4d           | 2D     |  3/2 |           617916.3    |          
                 |        |  5/2 |           617925.5    |          
                 |        |      |                       |           
1s2.4f           | 2F*    |  5/2 |           618059.3    |          
                 |        |  7/2 |           618064.1    |          
                 |        |      |                       |           
1s2.5s           | 2S     |  1/2 |           673886.2    |          
                 |        |      |                       |           
1s2.5p           | 2P*    |  1/2 |           678300.4    |          
                 |        |  3/2 |           678316.5    |          
                 |        |      |                       |           
