5s2.5p3                | 4S*    | 3/2 |                  0.0    |    L11447
                       |        |     |                         |           
5s2.5p3                | 2D*    | 3/2 |              17260.6    |    L11447
                       |        | 5/2 |              23547.2    |    L11447
                       |        |     |                         |           
5s2.5p3                | 2P*    | 1/2 |              36155.7    |    L11447
                       |        | 3/2 |              49621.0    |    L11447
                       |        |     |                         |           
5s.(2S).5p4.(3P)       | 4P     | 5/2 |             128436.3    |    L11447
                       |        | 3/2 |             139920.1    |    L11447
                       |        | 1/2 |             142851.9    |    L11447
                       |        |     |                         |           
5s.(2S).5p4.(1D)       | 2D     | 3/2 |             158158.4    |    L11447
                       |        | 5/2 |             163566.3    |    L11447
                       |        |     |                         |           
5s2.5p2.(3P).5d        | 2P     | 3/2 |             176498.0    |    L11447
                       |        |     |                         |           
5s.(2S).5p4.(3P)       | 2P     | 1/2 |             179076.6    |    L11447
                       |        |     |                         |           
5s2.5p2.(3P).5d        | 4F     | 3/2 |             180293.1    |    L11447
                       |        | 5/2 |             183552.2    |    L11447
                       |        |     |                         |           
5s2.5p2.(1D).5d        | 2F     | 5/2 |             191382.2    |    L11447
                       |        |     |                         |           
5s2.5p2.(3P).5d        | 4F     | 7/2 |             192561.2    |    L11447
                       |        |     |                         |           
5s2.5p2.(3P).5d        | 4D     | 1/2 |             193882.1    |    L11447
                       |        | 7/2 |             196130.2    |    L11447
                       |        | 3/2 |             197255.4    |    L11447
                       |        |     |                         |           
