3p6.17s               | 2S     |     1/2 |               34510.1190      |             L5451
                      |        |         |                               |                   
3p6.17p               | 2P*    |     1/2 |               34540.1250      |             L5783
                      |        |     3/2 |               34540.3088      |             L5783
                      |        |         |                               |                   
3p6.16d               | 2D     |     5/2 |               34566.1420      |             L5451
                      |        |     3/2 |               34566.1522      |             L5451
                      |        |         |                               |                   
3p6.18s               | 2S     |     1/2 |               34571.3017      |             L5451
                      |        |         |                               |                   
3p6.18p               | 2P*    |     1/2 |               34596.0448      |             L5783
                      |        |     3/2 |               34596.1996      |             L5783
                      |        |         |                               |                   
3p6.17d               | 2D     |     5/2 |               34617.5815      |             L5451
                      |        |     3/2 |               34617.5899      |             L5451
                      |        |         |                               |                   
3p6.19s               | 2S     |     1/2 |               34621.8976      |             L5451
                      |        |         |                               |                   
3p6.19p               | 2P*    |     3/2 |               34642.6698      |             L5783
                      |        |         |                               |                   
3p6.18d               | 2D     |     5/2 |               34660.5702      |             L5451
                      |        |     3/2 |               34660.5772      |             L5451
                      |        |         |                               |                   
3p6.20s               | 2S     |     1/2 |               34664.2161      |             L5451
                      |        |         |                               |                   
3p6.20p               | 2P*    |     3/2 |               34681.7220      |             L5783
                      |        |         |                               |                   
3p6.19d               | 2D     |     5/2 |               34696.8629      |             L5451
                      |        |     3/2 |               34696.8689      |             L5451
                      |        |         |                               |                   
3p6.21s               | 2S     |     1/2 |               34699.9692      |             L5451
                      |        |         |                               |                   
3p6.21p               | 2P*    |     3/2 |               34714.8646      |             L5783
                      |        |         |                               |                   
3p6.20d               | 2D     |     5/2 |               34727.7798      |             L5451
                      |        |     3/2 |               34727.7849      |             L5451
                      |        |         |                               |                   
3p6.22s               | 2S     |     1/2 |               34730.4476      |             L5451
                      |        |         |                               |                   
3p6.21d               | 2D     |     5/2 |               34754.3327      |             L5451
                      |        |     3/2 |               34754.3371      |             L5451
                      |        |         |                               |                   
3p6.23s               | 2S     |     1/2 |               34756.6407      |             L5451
                      |        |         |                               |                   
3p6.22d               | 2D     |     5/2 |               34777.3058      |             L5451
                      |        |     3/2 |               34777.3096      |             L5451
                      |        |         |                               |                   
3p6.24s               | 2S     |     1/2 |               34779.3147      |             L5451
                      |        |         |                               |                   
3p6.23d               | 2D     |     5/2 |               34797.3141      |             L5451
                      |        |     3/2 |               34797.3174      |             L5451
                      |        |         |                               |                   
3p6.25s               | 2S     |     1/2 |               34799.0740      |             L5451
                      |        |         |                               |                   
3p6.24d               | 2D     |     5/2 |               34814.8472      |             L5451
                      |        |     3/2 |               34814.8502      |             L5451
                      |        |         |                               |                   
3p6.26s               | 2S     |     1/2 |               34816.3971      |             L5451
                      |        |         |                               |                   
3p6.25d               | 2D     |     5/2 |               34830.2969      |             L5451
                      |        |     3/2 |               34830.2994      |             L5451
                      |        |         |                               |                   
3p6.27s               | 2S     |     1/2 |               34831.6690      |             L5451
                      |        |         |                               |                   
3p6.26d               | 2D     |     5/2 |               34843.9804      |             L5451
                      |        |     3/2 |               34843.9827      |             L5451
                      |        |         |                               |                   
3p6.28s               | 2S     |     1/2 |               34845.2004      |             L5451
                      |        |         |                               |                   
3p6.27d               | 2D     |     5/2 |               34856.1570      |             L5451
                      |        |     3/2 |               34856.1590      |             L5451
                      |        |         |                               |                   
3p6.29s               | 2S     |     1/2 |               34857.2470      |             L5451
                      |        |         |                               |                   
3p6.28d               | 2D     |     5/2 |               34867.0404      |             L5451
                      |        |     3/2 |               34867.0423      |             L5451
                      |        |         |                               |                   
3p6.30s               | 2S     |     1/2 |               34868.0180      |             L5451
                      |        |         |                               |                   
