2p6.3s2               | 1S     |   0 |                    0     |    L10502
                      |        |     |                          |           
3s.3p                 | 3P*    |   0 |               487560     |          
                      |        |   1 |               525030     |          
                      |        |   2 |               698160     |          
                      |        |     |                          |           
3s.3p                 | 1P*    |   1 |               862060     |          
                      |        |     |                          |           
3p2                   | 3P     |   0 |              1168780     |          
                      |        |     |                          |           
3p2                   | 1D     |   2 |              1329950     |          
                      |        |     |                          |           
3p2                   | 3P     |   1 |              1335450     |          
                      |        |   2 |              1518870     |          
                      |        |     |                          |           
3s.3d                 | 3D     |   1 |              1543100     |          
                      |        |   2 |              1560630     |          
                      |        |   3 |              1585980     |          
                      |        |     |                          |           
3p2                   | 1S     |   0 |              1664960     |          
                      |        |     |                          |           
3s.3d                 | 1D     |   2 |              1739970     |          
                      |        |     |                          |           
3p.3d                 | 3F*    |   2 |              2069150+x   |          
                      |        |   3 |              2162220+x   |          
                      |        |     |                          |           
3p.3d                 | 1D*    |   2 |              2177240     |          
                      |        |     |                          |           
3p.3d                 | 3D*    |   1 |              2189530     |          
                      |        |   2 |              2319210     |          
                      |        |     |                          |           
3p.3d                 | 3F*    |   4 |              2320910     |          
                      |        |     |                          |           
3p.3d                 | 3D*    |   3 |              2362430     |          
                      |        |     |                          |           
3p.3d                 | 3P*    |   1 |              2368610     |          
                      |        |     |                          |           
3p.3d                 | 1F*    |   3 |              2490670     |          
                      |        |     |                          |           
3d2                   | 3F     |   2 |              3124800+x   |          
                      |        |   3 |              3157940+x   |          
                      |        |   4 |              3186340     |          
                      |        |     |                          |           
3d2                   | 3P     |   0 |              3207640     |          
                      |        |     |                          |           
3d2                   | 1D     |   2 |              3213700     |          
                      |        |     |                          |           
3d2                   | 3P     |   1 |              3225800     |          
                      |        |     |                          |           
3d2                   | 1G     |   4 |              3248790     |          
                      |        |     |                          |           
3s.4p                 | 3P*    |   1 |              6698800     |          
                      |        |     |                          |           
3s.4p                 | 1P*    |   1 |              6782000     |          
                      |        |     |                          |           
3s.4f                 | 3F*    |   3 |              7275000     |          
                      |        |   2 |              7275100     |          
                      |        |   4 |              7282000     |          
                      |        |     |                          |           
3s.4f                 | 1F*    |   3 |              7335700     |          
