2s2.2p             | 2P*    | 1/2 |                  0     |     L7185
                   |        | 3/2 |             163960     |          
                   |        |     |                        |           
2s.2p2             | 4P     | 1/2 |             457440     |          
                   |        | 3/2 |             539715     |          
                   |        | 5/2 |             608975     |          
                   |        |     |                        |           
2s.2p2             | 2D     | 3/2 |             843500     |          
                   |        | 5/2 |             884100     |          
                   |        |     |                        |           
2s.2p2             | 2P     | 1/2 |             955790     |          
                   |        |     |                        |           
2s.2p2             | 2S     | 1/2 |            1129710     |          
                   |        |     |                        |           
2s.2p2             | 2P     | 3/2 |            1143250     |          
                   |        |     |                        |           
2p3                | 4S*    | 3/2 |            1423900     |          
                   |        |     |                        |           
2p3                | 2D*    | 3/2 |            1581900     |          
                   |        | 5/2 |            1626200     |          
                   |        |     |                        |           
2p3                | 2P*    | 1/2 |            1781100     |          
                   |        | 3/2 |            1873000     |          
