2s2.2p3            | 4S*    | 3/2 |                    0     |     L9171
                   |        |     |                          |           
2s2.2p3            | 2D*    | 3/2 |               188130     |          
                   |        | 5/2 |               254110     |          
                   |        |     |                          |           
2s2.2p3            | 2P*    | 1/2 |               357130     |          
                   |        | 3/2 |               501140+x   |          
                   |        |     |                          |           
2s.2p4             | 4P     | 5/2 |               956600     |          
                   |        | 3/2 |              1084810     |          
                   |        | 1/2 |              1110540     |          
                   |        |     |                          |           
2s.2p4             | 2D     | 3/2 |              1328550     |          
                   |        | 5/2 |              1371750     |          
                   |        |     |                          |           
2s.2p4             | 2S     | 1/2 |              1516340     |          
                   |        |     |                          |           
2s.2p4             | 2P     | 3/2 |              1578630     |          
                   |        | 1/2 |              1767650+x   |          
                   |        |     |                          |           
2p5                | 2P*    | 3/2 |              2451700     |          
                   |        | 1/2 |              2657600+x   |          
