1s2.2s2             | 1S     |   0 |                 0     |     L4714
                    |        |     |                       |           
1s2.2s.2p           | 3P*    |   0 |            155148     |          
                    |        |   1 |            156798     |          
                    |        |   2 |            160429     |          
                    |        |     |                       |           
1s2.2s.2p           | 1P*    |   1 |            300490     |          
                    |        |     |                       |           
1s2.2p2             | 3P     |   0 |            404574     |          
                    |        |   1 |            406517     |          
                    |        |   2 |            409690     |          
                    |        |     |                       |           
1s2.2p2             | 1D     |   2 |            449732     |          
                    |        |     |                       |           
1s2.2p2             | 1S     |   0 |            553783     |          
                    |        |     |                       |           
1s2.2s.3s           | 3S     |   1 |           1855760     |          
                    |        |     |                       |           
1s2.2s.3s           | 1S     |   0 |           1884420     |          
                    |        |     |                       |           
1s2.2s.3p           | 1P*    |   1 |           1923850     |          
                    |        |     |                       |           
1s2.2s.3d           | 3D     |   1 |           1965860     |          
                    |        |   2 |           1966080     |          
                    |        |   3 |           1966300     |          
                    |        |     |                       |           
1s2.2s.3d           | 1D     |   2 |           1992340     |          
                    |        |     |                       |           
1s2.2p.3s           | 3P*    |   2 |           2057140?    |          
                    |        |     |                       |           
1s2.2p.3s           | 1P*    |   1 |           2091870?    |          
                    |        |     |                       |           
1s2.2p.3p           | 1P     |   1 |           2094820     |          
                    |        |     |                       |           
1s2.2p.3p           | 3D     |   1 |           2102330     |          
                    |        |   2 |           2103900     |          
                    |        |   3 |           2107390     |          
                    |        |     |                       |           
1s2.2p.3p           | 3S     |   1 |           2119690     |          
                    |        |     |                       |           
1s2.2p.3p           | 3P     |   1 |           2128680     |          
                    |        |   2 |           2130410     |          
                    |        |     |                       |           
1s2.2p.3d           | 1D*    |   2 |           2141580     |          
                    |        |     |                       |           
1s2.2p.3p           | 1D     |   2 |           2148410     |          
                    |        |     |                       |           
1s2.2p.3d           | 3D*    |   1 |           2160650?    |          
                    |        |   2 |           2161960     |          
                    |        |   3 |           2163340     |          
                    |        |     |                       |           
1s2.2p.3d           | 3P*    |   2 |           2170190     |          
                    |        |   1 |           2171680     |          
                    |        |     |                       |           
1s2.2p.3d           | 1F*    |   3 |           2192860     |          
                    |        |     |                       |           
1s2.2s.4d           | 1D     |   2 |           2527560?    |          
                    |        |     |                       |           
1s2.2s.4f           | 3F*    |   4 |           2528570     |          
                    |        |   3 |           2528570     |          
                    |        |   2 |           2528570     |          
                    |        |     |                       |           
1s2.2p.4p           | 1D     |   2 |           2696850?    |          
                    |        |     |                       |           
1s2.2s.5d           | 1D     |   2 |           2774450?    |          
