5d10                | 1S          |   0 |                0.0    |    L3466 
                    |             |   5 |           184879.4    |    L10932
                    |             |     |                       |           
5d9.6d              | (5/2,3/2)   |   3 |           185064.4    |    L10932
                    |             |     |                       |           
5d9.6d              | (5/2,5/2)   |   3 |           186124.4    |    L10932
                    |             |   2 |           186222.0    |    L10932
                    |             |   4 |           186520.6    |    L10932
                    |             |     |                       |           
5d8.6s.6p           | 44*         |   3 |           187028.5    |    L3466 
                    |             |     |                       |           
5d9.6d              | (5/2,5/2)   |   0 |           189708.0    |    L10932
                    |             |     |                       |           
5d9.7s              | (3/2,1/2)   |   1 |           194076.7    |    L10932
                    |             |   2 |           194475.9    |    L10932
                    |             |     |                       |           
5d8.6s.6p           | 45*         |   2 |           194904.0    |    L3466 
                    |             |     |                       |           
5d8.6s.6p           | 46*         |   2 |           196377.9    |    L3466 
                    |             |     |                       |           
5d9.6d              | (3/2,3/2)   |   1 |           199128.0    |    L10932
                    |             |   3 |           199490.3    |    L10932
                    |             |     |                       |           
5d9.6d              | (3/2,5/2)   |   1 |           200355.3    |    L10932
                    |             |   4 |           200930.8    |    L10932
                    |             |     |                       |           
5d9.6d              | (3/2,3/2)   |   2 |           200949.2    |    L10932
                    |             |     |                       |           
5d9.6d              | (3/2,5/2)   |   2 |           201465.3    |    L10932
                    |             |   3 |           202037.2    |    L10932
                    |             |     |                       |           
